,0,TF
UP00152|Arx,0.06724199374853584,Arx
M01081|ZNF628,0.06817241126200668,ZNF628
MC00195|Myf5,0.07233377769442406,Myf5
MS00436|DPRX,0.07257255380840362,DPRX
MS00521|Hoxd3,0.07271671665721821,Hoxd3
UP00125|PITX2,0.07373982797396154,PITX2
MC00351|FOSL1,0.0738561637269495,FOSL1
MS00343|FOXB1,0.07491470467482175,FOXB1
MC00280|NR4A1,0.07569345921639012,NR4A1
MS00224|TEAD4,0.08518062647563537,TEAD4
MS00505|HOXC13,0.09157053156032648,HOXC13
MS00282|Srebf1,0.09377679615981016,Srebf1
MS00272|NEUROG2,0.09412763266642946,NEUROG2
MC00111|Bcl6,0.09555055727622203,Bcl6
UP00249|NKX2-5,0.09648122562264665,NKX2-5
MC00453|STAT5A,0.09994151931511815,STAT5A
M00999|AIRE,0.10314266715684521,AIRE
M00495|BACH1,0.10407126706777291,BACH1
MC00204|Stat5b,0.10470410361255762,Stat5b
MC00121|Cebpb,0.10512940503484879,Cebpb
UP00033|Zfp410,0.10583777719215276,Zfp410
M01312|NKX2-1,0.11115127322957283,NKX2-1
MA0365|RFX1,0.1145731050366587,RFX1
MS00441|EMX1,0.11624610390206017,EMX1
MS00083|MEIS2,0.11775724766451061,MEIS2
MS00811|RARB,0.11939555651698353,RARB
UP00117|Hoxd11,0.12046822894072191,Hoxd11
MS00527|IRX5,0.12649352586434665,IRX5
M00133|POU3F1,0.12768516384440037,POU3F1
MC00329|Srf,0.1283410258595372,Srf
MS00496|HOXC10,0.12866352985827428,HOXC10
MS00739|E2F8,0.13383476403001196,E2F8
MS00794|Sox10,0.1351788778393023,Sox10
M00420|MEIS1::HOXA9,0.13567826191191704,MEIS1::HOXA9
MS00525|Hoxd9,0.1361145698818665,Hoxd9
M00621|CEBPD,0.13656176831059252,CEBPD
MS00472|HMBOX1,0.14949070045367627,HMBOX1
M01262|TBX18,0.15028867813943741,TBX18
MA0125|Nobox,0.15308504860097844,Nobox
MS00351|FOXC1,0.15411664378602197,FOXC1
UP00221|PHOX2A,0.15707626752914505,PHOX2A
MS00526|IRX2,0.16224676932739696,IRX2
MS00756|E2F7,0.16656879372536962,E2F7
MS00837|HOXD12,0.1680590233910471,HOXD12
MS00807|MSC,0.1683850746690631,MSC
MS00053|TCF7L1,0.17294445684155407,TCF7L1
UP00197|HOXC9,0.1740649457264038,HOXC9
MC00217|FOXA2,0.17447877344097037,FOXA2
MS00515|Hoxa11,0.18297884517179513,Hoxa11
MS00489|HOXB13,0.18323492651841436,HOXB13
MS00599|PRRX1,0.185914818797036,PRRX1
MS00785|SOX9,0.18687781481073867,SOX9
MC00330|FOS,0.18951710770605032,FOS
MS00190|SCRT2,0.1909957211618183,SCRT2
MS00617|UNCX,0.19520650365987272,UNCX
UP00120|Lbx2,0.19578579566727008,Lbx2
UP00231|NKX2-2,0.19657830200219611,NKX2-2
M01151|Dmrtc2,0.1985237758404173,Dmrtc2
MS00372|FOXL1,0.19957941099183704,FOXL1
MS00250|BHLHE23,0.20044662433252894,BHLHE23
MC00341|Olig2,0.20051019167868772,Olig2
MS00011|BCL6B,0.2011397397705435,BCL6B
MS00317|HLF,0.20235843226955302,HLF
