,0,TF
63122|MBD1_isoform2,0.00011458792241323415,MBD1_isoform2
63903|ZXDB,0.00011906148200122798,ZXDB
38739|ELF2,0.0001256117768904761,ELF2
64414|HMBOX1,0.00012646420851081515,HMBOX1
46251|MBD4,0.00012812568841273262,MBD4
73965|ZNF263,0.00012908981876971426,ZNF263
32847|HOTAIR,0.0001314970132650826,HOTAIR
67615|ELF3,0.00013351201116831808,ELF3
64107|KDM4B,0.00013689282889914832,KDM4B
77146|ZNF284,0.00013710162071927471,ZNF284
77081|ZNF585A,0.00013770541045439357,ZNF585A
45895|CCNT2,0.00014209364978497548,CCNT2
62888|ZNF518A,0.00014470522138520757,ZNF518A
74346|NEUROD1,0.0001477948912070686,NEUROD1
42176|MITF,0.0001528085958697401,MITF
64887|NCOA1,0.00015302854299343812,NCOA1
7487|JUNB,0.0001640284974212556,JUNB
49778|CHD8,0.00016496098976532454,CHD8
38826|ZIC2,0.00017450727832778445,ZIC2
62762|PKNOX1,0.00018877170934620622,PKNOX1
46295|ZBTB7A,0.0001922429982373887,ZBTB7A
53493|SOX9,0.00019279551745976669,SOX9
77258|ZNF701,0.00020018287748596543,ZNF701
46358|PBX3,0.0002058431065078745,PBX3
74939|CUX1,0.00020902864883074463,CUX1
45901|GTF3C2,0.0002147215207156969,GTF3C2
64369|MYNN,0.00022026310066904992,MYNN
54657|TLX1,0.00022774030064523393,TLX1
36085|CTBP1,0.0002443896025337844,CTBP1
280|BRD7,0.00025243061847014683,BRD7
45801|MAFF,0.0002631209356389649,MAFF
1794|SND1,0.0002633496907832047,SND1
70175|DNMT3A,0.00027199671610409187,DNMT3A
73715|KMT2A,0.00028257429726613956,KMT2A
62899|ZNF346,0.0002849164256911778,ZNF346
77259|WDHD1,0.00029513829810294003,WDHD1
64981|PATZ1,0.00029587760995532204,PATZ1
45228|KDM4A,0.0003102230680684194,KDM4A
45607|SREBF2,0.000312926862817869,SREBF2
45920|HMGN3,0.00031795028531656,HMGN3
68569|POU3F2,0.00032411626436288624,POU3F2
41831|ZBTB17,0.00032486546677603024,ZBTB17
62920|ZSCAN29,0.0003460531876007166,ZSCAN29
56850|KRAB,0.0003506500608994707,KRAB
63538|ZNF692,0.00036826808696702407,ZNF692
46115|POU2F2,0.0003725103889289794,POU2F2
65165|ZNF449,0.00038178487453842424,ZNF449
77448|H2AFX,0.0003838591878525953,H2AFX
68236|POU2F1,0.00038483303600315804,POU2F1
65207|MZF1,0.0003921946548884439,MZF1
48638|SPIB,0.0004100287075777435,SPIB
77059|ZNF695,0.00041047068429938703,ZNF695
44098|FOXP3,0.00041941610075242044,FOXP3
46131|RUNX3,0.0004197704778246108,RUNX3
54106|DNMT1,0.00043009240914426483,DNMT1
77131|ZNF383,0.00043672901385447644,ZNF383
62526|ZNF2,0.0004414577238293388,ZNF2
64787|ZNF687,0.00044558510357149304,ZNF687
65170|ZNF121,0.0004522814135261429,ZNF121
8799|SAP30,0.0004527975708645367,SAP30
45693|CTBP2,0.0004633552879474445,CTBP2
43676|CDK2,0.0004662477337969074,CDK2
38812|ASCL2,0.00047373109096739407,ASCL2
64139|HHEX,0.00048361329223124385,HHEX
77164|ZNF189,0.0004839525131013194,ZNF189
6710|SRC,0.00048694859558942426,SRC
76849|EBF3,0.0004896644817920787,EBF3
