Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Nr2f2,UP00009;1.30E-04,,,,
NFYA,MC00364;1.32E-04,,,,
MGA,MS00186;1.33E-04,MS00188;5.14E-04,,,
PPARG,MC00142;1.38E-04,MA0066;1.11E-03,,,
AR,MC00468;1.43E-04,,,,
ETV3,MC00160;1.45E-04,,,,
ZNF282,MS00729;1.49E-04,,,,
Nkx2-5,MC00178;1.54E-04,,,,
Klf1,MC00110;1.63E-04,,,,
ZNF524,MS00423;1.64E-04,,,,
SREBF1,M00749;1.66E-04,M00220;1.67E-02,,,
Tfcp2,MC00518;1.70E-04,,,,
E2F1::TFDP1,M00736;1.70E-04,,,,
Hic1,MS00101;1.70E-04,,,,
TBX1,MS00197;1.71E-04,,,,
TBX5,MS00216;1.71E-04,MS00217;3.75E-03,,,
NR3C2,MS00662;1.77E-04,,,,
PAX3,M00327;1.77E-04,MS00119;8.89E-01,,,
ATF2,M00179;1.81E-04,,,,
CREB3,MS00308;1.83E-04,,,,
E2F1,MC00182;1.85E-04,MS00815;9.32E-04,,,
ETV4,MS00018;1.93E-04,,,,
NR0B1,M01248;1.97E-04,,,,
ETV7,M00678;1.98E-04,,,,
GLI2,MS00843;2.00E-04,,,,
Klf12,MS00157;2.06E-04,,,,
ETV2,MS00016;2.20E-04,,,,
PLAG1,MA0163;2.25E-04,,,,
TBX21,MS00207;2.26E-04,MS00208;7.37E-03,,,
Creb3l2,MS00311;2.35E-04,,,,
Zfp128,UP00094;2.47E-04,,,,
Klf4,MC00109;2.51E-04,,,,
E2F1::TFDP2,M00737;2.74E-04,,,,
YY1,MC00342;2.76E-04,,,,
ZBTB49,MS00727;2.82E-04,,,,
NFIX,MS00115;2.87E-04,MS00822;1.19E-02,,,
RELA,MC00193;2.90E-04,,,,
TGIF1,MS00094;3.02E-04,,,,
Rxrg,MC00511;3.15E-04,,,,
Rarg,MC00476;3.17E-04,MS00704;2.59E-03,MS00705;1.98E-02,,
TCF3,M00222;3.20E-04,UP00058;2.40E-01,,,
TBX4,MS00214;3.35E-04,,,,
Stat3,MC00140;3.46E-04,,,,
Hmx3,M00433;3.47E-04,,,,
ATF4,M00514;3.48E-04,MS00293;2.51E-01,,,
HEY2,MS00260;3.64E-04,,,,
CUX1,M00105;3.64E-04,MS00612;4.01E-01,MS00601;5.96E-01,,
SMAD3,UP00000;3.68E-04,MC00503;2.12E-03,MS00080;3.41E-01,,
RXRA,MC00467;3.70E-04,,,,
MYBL1,MS00100;3.70E-04,MS00097;4.54E-03,,,
PRDM4,MS00726;3.84E-04,,,,
MEIS3,MS00085;3.85E-04,MS00084;2.42E-01,,,
RFX3,MC00203;3.93E-04,,,,
ZNF238,MS00390;4.03E-04,,,,
NFIC,MA0161;4.13E-04,,,,
GLI1,M01037;4.15E-04,,,,
CLOCK,MS00253;4.26E-04,,,,
TGIF2,MS00096;4.61E-04,,,,
Elf5,MS00022;4.69E-04,,,,
Ascl2,MS00243;4.72E-04,,,,
