,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
63894|NFE2L1,0.18503937330763887,Homo sapiens,NFE2L1,tf,K562,Erythroblast,Bone Marrow,1,NFE2L1
73934|ZNF669,0.18510854192262727,Homo sapiens,ZNF669,,293T,None,None,1,ZNF669
62587|MCM7,0.1852645455755902,Homo sapiens,MCM7,,K562,Erythroblast,Bone Marrow,1,MCM7
55542|RAG1,0.18529024508898934,Homo sapiens,RAG1,cr,Ramos,Thymocyte,None,1,RAG1
77133|ZNF343,0.1861661087991312,Homo sapiens,ZNF343,tf,293T,None,None,1,ZNF343
77115|ZNF45,0.18656497688147375,Homo sapiens,ZNF45,other,293T,None,None,0,ZNF45
72942|TBX5,0.1885241661081115,Homo sapiens,TBX5,tf,None,Cardiomyocyte,None,1,TBX5
67859|EBNA2,0.18956158716700588,Homo sapiens,EBNA2,other,GM12878,B Lymphocyte,Blood,0,EBNA2
77062|ZNF682,0.1896632239559752,Homo sapiens,ZNF682,tf,293T,None,None,1,ZNF682
77188|ZFP90,0.1906619384986961,Homo sapiens,ZFP90,tf,293T,None,None,1,ZFP90
54631|NCAPG2,0.19200622830000932,Homo sapiens,NCAPG2,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,NCAPG2
77261|ZNF597,0.19505475356121293,Homo sapiens,ZNF597,tf,GM12878,B Lymphocyte,Blood,1,ZNF597
65078|ZNF317,0.19506092579599754,Homo sapiens,ZNF317,,HEK293,Epithelium,Embryonic Kidney,1,ZNF317
68102|CRY1,0.19697590440234325,Homo sapiens,CRY1,not sure,U2OS,None,Bone,1,CRY1
1221|GLYR1,0.197090276623899,Homo sapiens,GLYR1,cr,HeLa,Epithelium,Cervix,1,GLYR1
77049|ZNF74,0.19751041613986908,Homo sapiens,ZNF74,tf,293T,None,None,0,ZNF74
77175|ZNF133,0.19789645004969694,Homo sapiens,ZNF133,tf,293T,None,None,1,ZNF133
65071|KLF12,0.1984974502357209,Homo sapiens,KLF12,,HEK293,Epithelium,Embryonic Kidney,1,KLF12
62647|MCM5,0.20331452069253156,Homo sapiens,MCM5,,K562,Erythroblast,Bone Marrow,1,MCM5
68963|CBFA2T2,0.20534631932335493,Homo sapiens,CBFA2T2,tf,NCCIT,Embryonal carcinoma cell,None,1,CBFA2T2
77103|ZNF519,0.20555214571875896,Homo sapiens,ZNF519,tf,293T,None,None,1,ZNF519
43088|7SK,0.2056264674354976,Homo sapiens,7SK,other,HEK293T,Epithelium,Embryonic Kidney,0,7SK
63514|PYGO2,0.2056471633501732,Homo sapiens,PYGO2,,K562,Erythroblast,Bone Marrow,1,PYGO2
77128|ZNF425,0.20719127777806454,Homo sapiens,ZNF425,other,293T,None,None,1,ZNF425
62531|ZNF585B,0.2081876548682696,Homo sapiens,ZNF585B,,HEK293,Epithelium,Embryonic Kidney,1,ZNF585B
77032|ZNF793,0.2084428027859379,Homo sapiens,ZNF793,other,293T,None,None,1,ZNF793
77077|ZNF613,0.21113302647781584,Homo sapiens,ZNF613,tf,293T,None,None,1,ZNF613
64289|ZSCAN23,0.21133454875818414,Homo sapiens,ZSCAN23,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN23
73980|ZFP57,0.21141314804574374,Homo sapiens,ZFP57,tf,293T,None,None,1,ZFP57
64495|ZNF781,0.21155942745836095,Homo sapiens,ZNF781,,HEK293,Epithelium,Embryonic Kidney,1,ZNF781
5563|CARM1,0.21169491786785266,Homo sapiens,CARM1,cr,H3396,Epithelium,Mammary Gland,0,CARM1
62513|ID3,0.2129215890277276,Homo sapiens,ID3,tf,K562,Erythroblast,Bone Marrow,1,ID3
42869|TCFL5,0.2130206480807847,Homo sapiens,TCFL5,tf,LoVo,None,Colon,0,TCFL5
77064|ZNF675,0.21402050455939411,Homo sapiens,ZNF675,tf,293T,None,None,1,ZNF675
77105|ZNF496,0.21544237401158975,Homo sapiens,ZNF496,tf,293T,None,None,0,ZNF496
38174|EBNA3,0.21592588263397214,Homo sapiens,EBNA3,other,Mutu III,B Lymphocyte,None,1,EBNA3
77145|ZNF285,0.21614947247315808,Homo sapiens,ZNF285,other,293T,None,None,0,ZNF285
77154|ZNF254,0.2169123426800703,Homo sapiens,ZNF254,tf,293T,None,None,1,ZNF254
76859|IRAK1,0.21790256186555254,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
36349|PTPN11,0.22045992645236492,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
45787|SMARCC2,0.22084920402385694,Homo sapiens,SMARCC2,cr,HeLa-S3,Epithelium,Cervix,1,SMARCC2
77134|ZNF33B,0.2216405542771258,Homo sapiens,ZNF33B,tf,293T,None,None,0,ZNF33B
77172|ZNF154,0.2257410677162585,Homo sapiens,ZNF154,tf,293T,None,None,1,ZNF154
2|GAPDH,0.2259618385759461,Homo sapiens,GAPDH,not sure,HeLa,Epithelium,Cervix,0,GAPDH
58061|ZNF165,0.22712481837320495,Homo sapiens,ZNF165,tf,WHIM12,Epithelium,Breast,0,ZNF165
65196|ZNF586,0.22810560079673364,Homo sapiens,ZNF586,,HEK293,Epithelium,Embryonic Kidney,1,ZNF586
65141|ZNF320,0.2287855337842969,Homo sapiens,ZNF320,,HEK293,Epithelium,Embryonic Kidney,1,ZNF320
38800|RORA,0.2291306561049719,Homo sapiens,RORA,tf,LoVo,None,Colon,0,RORA
38753|ZNF250,0.2292541865261431,Homo sapiens,ZNF250,tf,LoVo,None,Colon,1,ZNF250
