,0,TF
UP00035|HIC1,1.5700795027323563e-07,HIC1
UP00040|Irf5,1.8265631781793123e-07,Irf5
M00644|UBP1,2.026591736765154e-07,UBP1
M00964|NR1I2,2.1176585354385348e-07,NR1I2
MS00311|Creb3l2,2.2031761810821782e-07,Creb3l2
UP00010|Tcfap2b,2.3407837536489404e-07,Tcfap2b
MS00333|Mafb,2.962922489324954e-07,Mafb
MC00362|Arntl,3.165757996236679e-07,Arntl
MS00061|HSFY2,3.2300625922217654e-07,HSFY2
MC00124|MAX,3.3802599137121863e-07,MAX
MA0073|RREB1,3.753088673758249e-07,RREB1
MA0163|PLAG1,5.77362720417689e-07,PLAG1
MC00506|Spi1,6.783142669287164e-07,Spi1
MC00130|Pparg,1.0935863498860555e-06,Pparg
MS00110|NFKB1,1.2793789637878584e-06,NFKB1
UP00056|RFX4,1.3692029533828195e-06,RFX4
MC00439|TP63,1.439346416174961e-06,TP63
M00483|ATF6,1.453989594390593e-06,ATF6
MS00739|E2F8,1.459165954276301e-06,E2F8
MS00171|Rfx2,1.6099070312674234e-06,Rfx2
MS00125|PAX6,1.61916130115369e-06,PAX6
MS00065|IRF4,1.6722923117019138e-06,IRF4
M01037|GLI1,2.067152960271857e-06,GLI1
MS00512|Zfp740,2.3183911341897853e-06,Zfp740
MS00162|RFX2,2.3516700131345277e-06,RFX2
MS00729|ZNF282,2.604140926297276e-06,ZNF282
MS00256|HES7,2.74668895786457e-06,HES7
MS00327|MAFG,2.881989481132373e-06,MAFG
MC00359|TP53,2.907702379275715e-06,TP53
MS00072|IRF8,3.0485127673854863e-06,IRF8
MS00371|FOXK1,3.371434929202067e-06,FOXK1
UP00031|Zbtb3,4.190360590796122e-06,Zbtb3
MC00132|TP73,4.476806476522856e-06,TP73
MS00255|HES5,5.241098693355083e-06,HES5
M00694|E4F1,5.8284412855228825e-06,E4F1
M00115|CNTN2::CREB1,5.909505004699731e-06,CNTN2::CREB1
MC00134|Ppara,5.940895184156268e-06,Ppara
MC00321|JUN,6.007163269066533e-06,JUN
M01656|Trp63,6.316052523030144e-06,Trp63
MC00467|RXRA,7.86667193940513e-06,RXRA
MS00694|RXRG,8.118789902903404e-06,RXRG
MS00160|PROX1,8.198306997922423e-06,PROX1
MA0155|INSM1,8.415616540275147e-06,INSM1
MS00265|MLXIPL,8.923607687293641e-06,MLXIPL
MC00374|TFAP2C,9.386480001314254e-06,TFAP2C
MC00169|Usf2,9.51809698999828e-06,Usf2
MS00710|THRB,1.0076914394361017e-05,THRB
MS00383|FOXO4,1.0851443151789997e-05,FOXO4
M00495|BACH1,1.107495331116377e-05,BACH1
M00072|TFCP2,1.229533175214778e-05,TFCP2
UP00018|Irf4,1.2901068518856422e-05,Irf4
MS00177|RUNX3,1.3460107563458415e-05,RUNX3
UP00199|SIX4,2.190690239761224e-05,SIX4
MC00281|PBX3,2.6294529007558207e-05,PBX3
M01466|Obox3,3.117866977321806e-05,Obox3
MS00386|FOXO6,3.199561308823154e-05,FOXO6
MC00191|Nfya,3.5545836782653727e-05,Nfya
M01334|Nkx1-1,5.2513298573467494e-05,Nkx1-1
MC00475|Nfic,5.746856386316856e-05,Nfic
MS00088|Meis3,6.521556812620833e-05,Meis3
MC00339|NFE2L2,6.738471792428392e-05,NFE2L2
MS00414|BARHL2,6.796057848354605e-05,BARHL2
MS00101|Hic1,7.650894733556045e-05,Hic1
MC00513|SFPI1,7.730935460967696e-05,SFPI1
MC00151|SPI1,8.53280441637839e-05,SPI1
MS00253|CLOCK,9.622768539517045e-05,CLOCK
MS00822|NFIX,9.876656880340795e-05,NFIX
MC00335|ESR1,0.00011559352218343641,ESR1
MS00217|TBX5,0.00011667874173823508,TBX5
MS00320|JDP2,0.00011900814788102976,JDP2
MS00266|MLX,0.0001304224698733814,MLX
MC00295|Esr1,0.00013996513613251773,Esr1
MC00170|PGR,0.00022507713582258748,PGR
MS00271|NEUROD2,0.0002269230157390913,NEUROD2
MS00331|MAFK,0.0002706965974453554,MAFK
UP00019|ZBTB12,0.00033286916493369166,ZBTB12
MS00709|THRA,0.00033314136363896075,THRA
MS00380|FOXO3,0.0003338762887396341,FOXO3
MS00270|Mlx,0.00040367478924731277,Mlx
MS00808|TFEC,0.00041875762261686325,TFEC
M01112|RBPJ,0.0004436959302070619,RBPJ
MS00708|Rxrb,0.0004976660106475873,Rxrb
M00646|HNF1B,0.000512900406550161,HNF1B
MS00251|BHLHE41,0.0005196090793755552,BHLHE41
MC00248|USF1,0.0005382292920140168,USF1
MC00408|Myb,0.0005542581100997558,Myb
MC00364|NFYA,0.0005615039426358937,NFYA
MC00223|SMAD2/3,0.0006350650222552013,SMAD2/3
MS00073|IRF9,0.0007666306290547607,IRF9
MS00398|Foxk1,0.0007833732563208458,Foxk1
MS00057|HIC2,0.000804818758941869,HIC2
UP00112|Gsc,0.0009126307279167442,Gsc
M00526|NR6A1,0.0009142815294268055,NR6A1
MC00356|Tbx21,0.0011436783069574763,Tbx21
MC00344|Hnf4a,0.0012037008118374244,Hnf4a
UP00148|Hdx,0.0012101751896550963,Hdx
M00706|GTF2I,0.0012359820931344982,GTF2I
M00433|Hmx3,0.001237873285792108,Hmx3
M00105|CUX1,0.0014502014966774259,CUX1
MS00114|NFIB,0.0014781187829462205,NFIB
M00648|MAF,0.0015926801431224028,MAF
MS00433|DMBX1,0.0016600587680484463,DMBX1
MC00192|ZNF263,0.001712604229287152,ZNF263
MS00338|NRL,0.0017205826419054687,NRL
UP00043|Bcl6b,0.0017600642887260149,Bcl6b
MS00060|HSF4,0.0017837948269817572,HSF4
MS00202|TBX20,0.001813165437100577,TBX20
MS00194|TBX19,0.002012405371557412,TBX19
M01728|NR2F6,0.0020488202802218048,NR2F6
MS00392|Foxg1,0.0022409297071239904,Foxg1
UP00177|Hoxd12,0.002539370246945627,Hoxd12
MS00294|ATF7,0.0027108737725758704,ATF7
UP00190|NKX2-3,0.0028365221878299874,NKX2-3
M00159|CEBPA,0.003044568483781963,CEBPA
MC00468|AR,0.003127233116279075,AR
MS00289|TFEB,0.0034983421268028787,TFEB
MS00525|Hoxd9,0.003550886669227518,Hoxd9
UP00184|Lhx8,0.003577416173151932,Lhx8
MS00218|T,0.003590790857048839,T
MA0116|Zfp423,0.003932988549862565,Zfp423
MS00692|RXRB,0.003985127202309011,RXRB
MC00370|Npas4,0.0041494029247131775,Npas4
M00141|IKZF1,0.004346896320264607,IKZF1
MS00041|Spic,0.004518353147101156,Spic
MC00511|Rxrg,0.004894531244961954,Rxrg
MC00388|Tal1,0.005056044096386885,Tal1
MS00421|Barhl1,0.005511590241578539,Barhl1
MS00313|Creb5,0.006416385855494869,Creb5
MS00282|Srebf1,0.006519419323473679,Srebf1
M00467|ZNF423,0.006732393811887999,ZNF423
MS00475|HMX3,0.007214794770321627,HMX3
MC00348|STAT1,0.007502493002097528,STAT1
MS00214|TBX4,0.007777738693812882,TBX4
M01069|GZF1,0.008463691458153701,GZF1
MS00571|NKX2-8,0.009373562459672361,NKX2-8
MS00296|BATF3,0.00991545519010037,BATF3
MC00304|FOXH1,0.010789741049792901,FOXH1
MS00325|Jdp2,0.010896381032646105,Jdp2
UP00095|Zfp691,0.011795991483562281,Zfp691
M01306|ZNF217,0.012492088224327819,ZNF217
MS00756|E2F7,0.013197844827340443,E2F7
M01733|MZF1,0.015005843438460833,MZF1
M00041|ATF2::JUN,0.019390389839661185,ATF2::JUN
MC00357|Crx,0.019474201757408126,Crx
MC00471|Rxra,0.019961333143064273,Rxra
MC00465|NR3C1,0.021485719542032284,NR3C1
M01288|NEUROD1,0.025781668710369826,NEUROD1
MS00436|DPRX,0.027209967705138092,DPRX
M01132|SF1,0.03532867377916753,SF1
MS00662|NR3C2,0.03653609029724762,NR3C2
MA0365|RFX1,0.03802337096664223,RFX1
MS00829|ESRRA,0.042348815912460515,ESRRA
MC00458|TAL1,0.04390618197273993,TAL1
UP00033|Zfp410,0.04754706609246809,Zfp410
MS00726|PRDM4,0.04761419276971269,PRDM4
M00155|NR2F2,0.048427929459853955,NR2F2
MS00361|FOXG1,0.05537677041077146,FOXG1
MS00609|RHOXF1,0.05848285337784635,RHOXF1
MA0017|NR2F1,0.05961391566559423,NR2F1
MC00368|Hsf1,0.059824981118167,Hsf1
MC00524|Nr1d1,0.06198814625342059,Nr1d1
MS00479|ZNF784,0.062148887077033484,ZNF784
MA0161|NFIC,0.06311515931609962,NFIC
MC00330|FOS,0.06464629046357734,FOS
UP00192|SIX1,0.06546152528207597,SIX1
UP00132|Evx2,0.06549871341787282,Evx2
M00133|POU3F1,0.06651337460233762,POU3F1
MS00168|PRDM1,0.06664863956763997,PRDM1
UP00117|Hoxd11,0.07009401200495202,Hoxd11
MS00468|ZNF75A,0.07022609270761192,ZNF75A
MS00326|MAFF,0.07490739538374065,MAFF
M00999|AIRE,0.07990480288995966,AIRE
MC00186|Nr1d2,0.08033267277508559,Nr1d2
MC00512|Esrrb,0.08917901118711112,Esrrb
MS00596|PITX3,0.09108469605654748,PITX3
MC00157|Tead4,0.0935406409910449,Tead4
MS00295|Atf4,0.10027919996657726,Atf4
MA0051|IRF2,0.10201084766170965,IRF2
MS00580|Nkx3-1,0.10225151734402266,Nkx3-1
MS00302|CEBPG,0.1022641942918311,CEBPG
M01450|Obox1,0.10432283986650556,Obox1
MC00121|Cebpb,0.11255515031303638,Cebpb
MS00343|FOXB1,0.11553476393594057,FOXB1
MS00169|RFX5,0.1268290306896868,RFX5
UP00231|NKX2-2,0.1403897656088641,NKX2-2
M01305|TEF,0.14282725123897294,TEF
M00220|SREBF1,0.1505152040612152,SREBF1
MS00626|VSX1,0.16058252658851266,VSX1
MS00527|IRX5,0.16412454590140815,IRX5
UP00119|Nkx2-9,0.16923837494746236,Nkx2-9
MC00358|Ebf1,0.17147490526524584,Ebf1
MS00730|ZNF435,0.17396878941693217,ZNF435
MS00514|Hoxa11,0.17757330191290904,Hoxa11
MC00141|Stat1,0.1780027471072289,Stat1
M00062|IRF1,0.18463712479433686,IRF1
MC00135|Rela,0.1921097210104779,Rela
MS00179|SCRT1,0.19435616620976665,SCRT1
MS00464|GSC,0.1959502062737694,GSC
MS00394|Foxj3,0.2064461592383587,Foxj3
UP00159|SIX2,0.21254622326453246,SIX2
MS00045|GATA5,0.234430981419781,GATA5
M00750|HMGA1,0.2516729353446564,HMGA1
MC00136|Hoxb4,0.2533838152829408,Hoxb4
UP00045|MAFB,0.25464093134732463,MAFB
MC00352|Nr5a2,0.25558298157412507,Nr5a2
MS00336|NFE2,0.27342628309520456,NFE2
MS00573|NKX3-2,0.29645931882954835,NKX3-2
MS00291|Tcf21,0.3047815078018303,Tcf21
MS00582|OTX1,0.3066322912024776,OTX1
MS00717|Tp53,0.3186407889795505,Tp53
MS00455|EVX2,0.3351869877446339,EVX2
MC00351|FOSL1,0.33610769870971996,FOSL1
MC00312|RUNX1,0.33653466631874923,RUNX1
MS00595|PITX1,0.33867493983579877,PITX1
MS00376|FOXO1,0.3480570093094346,FOXO1
M00621|CEBPD,0.3498415844901317,CEBPD
MS00700|Rarb,0.3545714297364245,Rarb
M01123|NANOG,0.3677514890935912,NANOG
M01480|Obox5,0.3779326568778265,Obox5
MS00300|CEBPE,0.38267608344529536,CEBPE
MS00243|Ascl2,0.3831795785058928,Ascl2
MS00490|ZSCAN4,0.39382747815210156,ZSCAN4
MC00111|Bcl6,0.39384016107568165,Bcl6
MS00084|MEIS3,0.3943328370195776,MEIS3
MS00337|NFIL3,0.39672947485145604,NFIL3
MS00449|EN1,0.40110005532986637,EN1
M01364|Obox2,0.40248129630855367,Obox2
MS00668|Nr2e1,0.4135218253878006,Nr2e1
MC00453|STAT5A,0.4155933160207499,STAT5A
MS00261|ID4,0.42403655238562954,ID4
UP00389|NKX3-1,0.432301185729962,NKX3-1
MC00193|RELA,0.4334698894815573,RELA
MS00836|HOXD12,0.4383644755964785,HOXD12
MC00413|Runx1,0.4465758565852247,Runx1
MS00526|IRX2,0.44792226080750686,IRX2
MA0108|TBP,0.45390048965053975,TBP
MC00347|STAT4,0.4628172814120952,STAT4
MS00250|BHLHE23,0.46677183746379425,BHLHE23
MS00463|GSC2,0.4810571149426728,GSC2
MS00192|TBX15,0.49932942777917033,TBX15
MS00653|NR2E1,0.49983680102949424,NR2E1
MC00280|NR4A1,0.5028177535573659,NR4A1
MC00293|Gfi1b,0.5069949470483324,Gfi1b
UP00137|Hoxb3,0.5088894075313163,Hoxb3
MC00276|EOMES,0.510020502232114,EOMES
MS00190|SCRT2,0.5220260817952376,SCRT2
MS00585|OTX2,0.5296800165230378,OTX2
MC00211|NFATC1,0.5351675985479445,NFATC1
MC00396|Nr3c1,0.5616853939536262,Nr3c1
MS00521|Hoxd3,0.5623093789878189,Hoxd3
MC00126|TCF12,0.5623320477420566,TCF12
UP00401|SOX4,0.5744453212841083,SOX4
M01312|NKX2-1,0.5766774781354418,NKX2-1
MS00419|BSX,0.5826197282367453,BSX
MC00452|STAT5B,0.5829183870109127,STAT5B
UP00114|Homez,0.605163778389056,Homez
MS00503|HOXC12,0.6071843221448567,HOXC12
MS00586|Otx1,0.6079765530904402,Otx1
MS00474|HMX2,0.6111833523564509,HMX2
MS00669|Nr2f6,0.616740491012712,Nr2f6
MC00371|JUNB,0.6203182392883837,JUNB
MS00641|Esrra,0.6418621670470912,Esrra
MS00454|EVX1,0.6479621865940202,EVX1
MC00329|Srf,0.6728893655549161,Srf
MS00086|Meis2,0.6821844608352461,Meis2
MA0164|NR2E3,0.6922390791762733,NR2E3
MC00456|JUND,0.6955638607000718,JUND
MS00317|HLF,0.7108160876215546,HLF
MS00070|IRF7,0.7174251032438581,IRF7
MS00480|HOXA10,0.735740041718027,HOXA10
MS00731|ZNF713,0.751911989434439,ZNF713
MS00492|HOXB3,0.7521632724110041,HOXB3
MS00315|DBP,0.7597193255294997,DBP
MS00511|HOXD13,0.7929273786923074,HOXD13
MS00505|HOXC13,0.8043095102668203,HOXC13
M01694|Yy2,0.8087888991721617,Yy2
UP00125|PITX2,0.8089311382224774,PITX2
MS00254|FIGLA,0.8090276249518124,FIGLA
UP00261|LHX4,0.8119068880818145,LHX4
M01709|MAFA,0.8123300681463963,MAFA
MS00820|NFIA,0.8210639604814188,NFIA
MC00341|Olig2,0.8264510771783738,Olig2
MS00489|HOXB13,0.8292234399978806,HOXB13
M00478|CDC5L,0.8329752840911914,CDC5L
MC00154|Jund,0.8337865508962383,Jund
MS00528|ISL2,0.8390602299091836,ISL2
UP00138|Bsx,0.8440113915575762,Bsx
MC00305|Sox6,0.8445464501431504,Sox6
MS00053|TCF7L1,0.8448225379759505,TCF7L1
M01268|NR1H4,0.8452877944838577,NR1H4
MC00369|Myod1,0.8604384094843615,Myod1
MS00728|ZNF232,0.8643183636955821,ZNF232
MC00204|Stat5b,0.8675009156286522,Stat5b
M01445|Obox6,0.8791852472354252,Obox6
MS00501|Zfp652,0.8848468521502451,Zfp652
UP00388|SIX6,0.8849727711188027,SIX6
MS00224|TEAD4,0.8874909616731664,TEAD4
M01722|RORB,0.8877627726330499,RORB
MC00505|POLR2B,0.8883116158267792,POLR2B
MS00201|SNAI2,0.8949403989188195,SNAI2
MC00162|LMO2,0.8955848217759875,LMO2
MS00092|PKNOX2,0.8963537445047534,PKNOX2
MS00093|Pknox2,0.8992529622944152,Pknox2
MS00744|SOX10,0.9099338355515202,SOX10
MC00414|Atoh1,0.912161912884738,Atoh1
MC00265|Tcf3,0.9145643032680151,Tcf3
UP00155|Hmx2,0.9159582279349058,Hmx2
UP00170|Isl2,0.9180843172463837,Isl2
M01081|ZNF628,0.9225730571242712,ZNF628
UP00147|Nkx2-6,0.9232112091135802,Nkx2-6
MC00195|Myf5,0.9244220169962847,Myf5
MS00197|TBX1,0.9251763510821605,TBX1
