,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46139|ZEB1,1.6362875798145996e-15,Homo sapiens,ZEB1,tf,GM12878,B Lymphocyte,Blood,1,ZEB1
37589|MYH11,1.6733905405357273e-15,Homo sapiens,MYH11,not sure,None,Hematopoietic Cell,None,0,MYH11
72878|MYF5,1.7113215750872268e-15,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
1874|RBL2,1.914047938565297e-15,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
63956|ZNF197,1.9247825170610404e-15,Homo sapiens,ZNF197,,K562,Erythroblast,Bone Marrow,1,ZNF197
45726|ZNF263,2.0872595686181953e-15,Homo sapiens,ZNF263,predicted transcription factor,HEK293T,Epithelium,Embryonic Kidney,1,ZNF263
75275|ZBTB48,2.176523412252039e-15,Homo sapiens,ZBTB48,,U2OS,None,None,1,ZBTB48
45386|SETDB1,2.3142809157172608e-15,Homo sapiens,SETDB1,cr,K562,Erythroblast,Bone Marrow,1,SETDB1
38647|ETV7,2.3930028706391484e-15,Homo sapiens,ETV7,tf,LoVo,None,Colon,1,ETV7
51839|MRE11A,2.623335873301291e-15,Homo sapiens,MRE11A,not sure,LNCaP,Epithelium,Prostate,1,MRE11A
50374|EZH1,2.765711309904169e-15,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1,EZH1
42890|ZNF83,2.899530178529069e-15,Homo sapiens,ZNF83,tf,LoVo,None,Colon,1,ZNF83
46241|MYBL2,3.1689387976814266e-15,Homo sapiens,MYBL2,tf,HepG2,Epithelium,Liver,1,MYBL2
59344|EBF1,3.511253416326201e-15,Homo sapiens,EBF1,tf,MutuI,B Lymphocyte,None,1,EBF1
46242|RXRA,3.6198653513623204e-15,Homo sapiens,RXRA,tf,HepG2,Epithelium,Liver,1,RXRA
64653|FOXJ2,4.06583244319854e-15,Homo sapiens,FOXJ2,tf,K562,Erythroblast,Bone Marrow,1,FOXJ2
77258|ZNF701,4.4537862710013856e-15,Homo sapiens,ZNF701,tf,MCF-7,None,None,1,ZNF701
76673|ZMYND8,4.64195946012993e-15,Homo sapiens,ZMYND8,cr,DU145,Epithelium,Prostate,1,ZMYND8
48634|SPIB,5.4610550224314576e-15,Homo sapiens,SPIB,tf,H929,B Lymphocyte,Bone Marrow,1,SPIB
65214|GLIS1,6.691699313451313e-15,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
38698|E2F7,7.631896070111489e-15,Homo sapiens,E2F7,tf,LoVo,None,Colon,1,E2F7
63876|MLLT1,8.678044251091999e-15,Homo sapiens,MLLT1,not sure,GM12878,B Lymphocyte,Blood,1,MLLT1
51333|ASH2L,9.46977883069592e-15,Homo sapiens,ASH2L,cr,VCaP,Epithelium,Prostate,1,ASH2L
8532|VEZF1,1.0417202812107302e-14,Homo sapiens,VEZF1,tf,HeLa-S3,Epithelium,Cervix,1,VEZF1
64786|ZNF687,1.1457718539227763e-14,Homo sapiens,ZNF687,,MCF-7,Epithelium,Breast,1,ZNF687
38635|FOXD2,1.2031985998668459e-14,Homo sapiens,FOXD2,tf,LoVo,None,Colon,1,FOXD2
46239|HNF4G,1.2464249933858306e-14,Homo sapiens,HNF4G,predicted transcription factor,HepG2,Epithelium,Liver,1,HNF4G
67601|KLF4,1.4390268108211157e-14,Homo sapiens,KLF4,tf,CFPAC-1,original PDAC cell line,Pancreatic ductal,1,KLF4
50411|PPARG,1.9631996133513286e-14,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
64092|KLF8,2.695617220017433e-14,Homo sapiens,KLF8,,HEK293,Epithelium,Embryonic Kidney,1,KLF8
77260|WDHD1,2.7028503387905214e-14,Homo sapiens,WDHD1,tf,MCF-7,None,None,1,WDHD1
63182|NBN,2.7540192268736548e-14,Homo sapiens,NBN,tf,GM12878,B Lymphocyte,Blood,1,NBN
63685|ZBTB8A,2.8061402178388262e-14,Homo sapiens,ZBTB8A,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB8A
73849|MEN1,3.356709909837399e-14,Homo sapiens,MEN1,tf,MCF-7,None,Breast,1,MEN1
76469|PHF2,3.4567278231474675e-14,Homo sapiens,PHF2,tf,None,Mesenchymal Cell,None,1,PHF2
46210|TEAD4,4.346494292379448e-14,Homo sapiens,TEAD4,tf,HCT-116,None,Colon,1,TEAD4
6958|BCLAF1,4.6326564152484494e-14,Homo sapiens,BCLAF1,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BCLAF1
63537|ZNF692,4.682117620271934e-14,Homo sapiens,ZNF692,,HEK293,Epithelium,Embryonic Kidney,1,ZNF692
76527|EPC1,4.682117620271934e-14,Homo sapiens,EPC1,tf,K562,Lymphoblast,None,1,EPC1
64377|BACH1,5.043179598143464e-14,Homo sapiens,BACH1,tf,K562,Erythroblast,Bone Marrow,1,BACH1
33988|TET3,6.134381853422357e-14,Homo sapiens,TET3,cr,HEK293T,Epithelium,Embryonic Kidney,1,TET3
64174|ZNF580,7.11139178847983e-14,Homo sapiens,ZNF580,,HEK293,Epithelium,Embryonic Kidney,1,ZNF580
50152|ARRB1,7.922132803699866e-14,Homo sapiens,ARRB1,tf,C4-2,Epithelium,None,1,ARRB1
55779|CTCFL,8.069349030117019e-14,Homo sapiens,CTCFL,predicted transcription factor,Ovcar8,None,None,1,CTCFL
74907|POLR3D,8.133261497621213e-14,Homo sapiens,POLR3D,tf,THP-1,Macrophage,None,1,POLR3D
63035|PRDM10,8.219252371651241e-14,Homo sapiens,PRDM10,,HEK293,Epithelium,Embryonic Kidney,1,PRDM10
54105|DAXX,8.460359889087179e-14,Homo sapiens,DAXX,not sure,PC-3,Epithelium,Prostate,1,DAXX
38739|ELF2,9.250385327947147e-14,Homo sapiens,ELF2,tf,LoVo,None,Colon,1,ELF2
40164|RUNX1T1,9.323476604143443e-14,Homo sapiens,RUNX1T1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1T1
1208|DDX5,1.0007353036108208e-13,Homo sapiens,DDX5,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,DDX5
53419|NCOR1,1.1800501959917766e-13,Homo sapiens,NCOR1,cr,Kasumi-1,Myeloblast,Blood,1,NCOR1
38772|CLOCK,1.2795188259550842e-13,Homo sapiens,CLOCK,tf,LoVo,None,Colon,1,CLOCK
74117|RUNX2,1.2795188259550842e-13,Homo sapiens,RUNX2,tf,MCF-7,None,None,1,RUNX2
42179|MITF,1.5595473745477882e-13,Homo sapiens,MITF,tf,COLO-829,Fibroblast,Skin,1,MITF
38731|TFDP1,1.5799476416552442e-13,Homo sapiens,TFDP1,tf,LoVo,None,Colon,1,TFDP1
1006|EOMES,1.5840590333474427e-13,Homo sapiens,EOMES,tf,H9,Embryonic Stem Cell,Embryo,1,EOMES
55355|PIAS1,1.7168568135113907e-13,Homo sapiens,PIAS1,other,VCaP,Epithelium,Prostate,1,PIAS1
75840|MYCN,1.7665588189520754e-13,Homo sapiens,MYCN,tf,Rh4,rhabdomyosarcoma,None,1,MYCN
76496|BRPF3,2.2357201714242043e-13,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
42752|BARX1,2.348117561933353e-13,Homo sapiens,BARX1,tf,LoVo,None,Colon,1,BARX1
54243|FOXO1,3.053211706760192e-13,Homo sapiens,FOXO1,tf,None,Stromal Cell,Endometrium,1,FOXO1
35268|SNAPC1,3.0926656170450927e-13,Homo sapiens,SNAPC1,not sure,MCF-10A,Epithelium,Breast,1,SNAPC1
64860|EGR2,3.230589193658427e-13,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
