,0,TF
MA0030|FOXF2,0.03854050231229165,FOXF2
MS00475|HMX3,0.0386728526424056,HMX3
MS00287|TFAP4,0.038770950605517135,TFAP4
MS00490|ZSCAN4,0.039187995918342045,ZSCAN4
MS00320|JDP2,0.03939125965201849,JDP2
MC00394|MYC,0.039575973768133065,MYC
MC00471|Rxra,0.039904579050126066,Rxra
MA0108|TBP,0.03999161572482012,TBP
MA0161|NFIC,0.04013389560284039,NFIC
MS00556|GRHL1,0.04037903102664532,GRHL1
MS00362|FOXI1,0.04085501864174112,FOXI1
MS00361|FOXG1,0.04265003124052561,FOXG1
M00222|TCF3,0.04280963566084256,TCF3
UP00052|Osr2,0.04305420126594305,Osr2
MS00495|HOXC10,0.04461898007402391,HOXC10
MS00533|LBX2,0.044752112985179,LBX2
MS00624|VENTX,0.045332285043005995,VENTX
MS00398|Foxk1,0.04544534014431927,Foxk1
MS00638|ESRRG,0.04555419592519288,ESRRG
MC00532|Mycn,0.04765506735010236,Mycn
MA0103|ZEB1,0.04898721340673853,ZEB1
UP00117|Hoxd11,0.049850092257996206,Hoxd11
M01466|Obox3,0.05038421702907749,Obox3
M01709|MAFA,0.05264421671272741,MAFA
M01268|NR1H4,0.0542845761403475,NR1H4
M01207|ETS2,0.05776250696209355,ETS2
UP00043|Bcl6b,0.058312562881602324,Bcl6b
MC00373|Mxi1,0.05933835009191321,Mxi1
MS00380|FOXO3,0.06024614916765165,FOXO3
MC00339|NFE2L2,0.06063846467052854,NFE2L2
MS00731|ZNF713,0.062267567352944385,ZNF713
MS00479|ZNF784,0.0629755261651636,ZNF784
MC00335|ESR1,0.06307122601672019,ESR1
MS00073|IRF9,0.06549921266125672,IRF9
M01305|TEF,0.06682728578019269,TEF
MS00372|FOXL1,0.06743740952008254,FOXL1
M01364|Obox2,0.06896526374690297,Obox2
MS00260|HEY2,0.0691780527757215,HEY2
MS00282|Srebf1,0.07064332762032444,Srebf1
MC00211|NFATC1,0.0707064917492664,NFATC1
