,0,TF
MC00377|Trp53,0.006589397605451652,Trp53
M00179|ATF2,0.006644965288339925,ATF2
MS00336|NFE2,0.006706273627570457,NFE2
MS00433|DMBX1,0.00684379057086667,DMBX1
MC00299|BRCA1,0.006876082837954321,BRCA1
MS00060|HSF4,0.006963737940929744,HSF4
UP00021|Zfp281,0.007020935330581557,Zfp281
UP00151|BARX2,0.007445515674954918,BARX2
MS00169|RFX5,0.007541757183843565,RFX5
UP00243|Isx,0.007743247625598257,Isx
MC00418|ZBTB33,0.007793657633894846,ZBTB33
MC00427|ETV1,0.007906835758974206,ETV1
M00159|CEBPA,0.00817254294242107,CEBPA
UP00038|Spdef,0.00824590882360787,Spdef
MC00128|CTCF,0.008519651528606599,CTCF
MS00838|ELF5,0.008781347870115443,ELF5
M01783|SP2,0.009255330199574172,SP2
MS00726|PRDM4,0.009257404189065748,PRDM4
MC00505|POLR2B,0.00990734319403955,POLR2B
MC00349|Jun,0.009957783489057877,Jun
UP00261|LHX4,0.010234421304393034,LHX4
MC00408|Myb,0.010812992216018554,Myb
MA0161|NFIC,0.010901681019364584,NFIC
MS00097|MYBL1,0.011169111993049444,MYBL1
MS00311|Creb3l2,0.011284955639676724,Creb3l2
MC00254|E2F6,0.011449318869406224,E2F6
MS00011|BCL6B,0.01230183143494725,BCL6B
MC00368|Hsf1,0.012467566327795944,Hsf1
M00490|BACH2,0.012577310786669479,BACH2
MS00061|HSFY2,0.012588938418117682,HSFY2
MC00524|Nr1d1,0.012603771479538376,Nr1d1
UP00048|RARA,0.012652126900755565,RARA
MS00023|Elk3,0.012760403281388999,Elk3
MC00248|USF1,0.013600427463052305,USF1
MC00370|Npas4,0.013738193222934214,Npas4
MC00342|YY1,0.013863505315879468,YY1
UP00031|Zbtb3,0.014009658362111235,Zbtb3
MS00423|ZNF524,0.014626539872076036,ZNF524
MS00725|MTF1,0.015065114740849334,MTF1
M00105|CUX1,0.015932709122873177,CUX1
MS00194|TBX19,0.015956248633112416,TBX19
MC00125|Rest,0.01601692078333806,Rest
M00220|SREBF1,0.01610810649300959,SREBF1
MS00401|ZNF306,0.016892223666301664,ZNF306
UP00040|Irf5,0.016985129389005683,Irf5
MS00811|RARB,0.01716767471013301,RARB
M01009|HES1,0.01778476410649149,HES1
MC00386|BCL6,0.01792357106275857,BCL6
MS00501|Zfp652,0.018867627213050627,Zfp652
MS00692|RXRB,0.018959235978759918,RXRB
MS00192|TBX15,0.019130136549915213,TBX15
MS00128|PAX9,0.019856900068731836,PAX9
MS00016|ETV2,0.020036181880311102,ETV2
M00133|POU3F1,0.020230900685460452,POU3F1
MS00285|TCF4,0.020247605925695918,TCF4
MC00162|LMO2,0.020360026982786918,LMO2
MS00101|Hic1,0.020652113803202983,Hic1
MS00387|FOXP3,0.020683360604275548,FOXP3
MC00224|EPAS1,0.021480190635261964,EPAS1
M00500|STAT6,0.021645208393214394,STAT6
MC00327|Gata1,0.022260155930865687,Gata1
MC00151|SPI1,0.02323783334387805,SPI1
M00222|TCF3,0.023375140044726298,TCF3
MC00193|RELA,0.023796322525239198,RELA
MS00191|TBR1,0.02403236895576747,TBR1
MS00490|ZSCAN4,0.024389030567009622,ZSCAN4
MC00461|Max,0.025908203216778825,Max
MS00710|THRB,0.026543778203666907,THRB
MS00380|FOXO3,0.026654345492312267,FOXO3
UP00199|SIX4,0.026808921379515106,SIX4
MS00093|Pknox2,0.027498460745187164,Pknox2
MS00533|LBX2,0.027671883802663597,LBX2
M01733|MZF1,0.028132716259395528,MZF1
MC00132|TP73,0.028767772645144123,TP73
MS00025|FEV,0.029957557982461153,FEV
UP00221|PHOX2A,0.03006495170149591,PHOX2A
MS00085|MEIS3,0.030435024208384214,MEIS3
MS00846|ERF,0.030589396753036156,ERF
M00088|IKZF1,0.030768885701437362,IKZF1
MA0163|PLAG1,0.031008868646742363,PLAG1
M01596|GLI3,0.033327986364865045,GLI3
MS00072|IRF8,0.033510161623045785,IRF8
MS00288|TFE3,0.03370904951919453,TFE3
MC00514|Cbfa2t2,0.03418146867293124,Cbfa2t2
MC00183|Snai1,0.03437380721965924,Snai1
UP00086|IRF3,0.0363873778767832,IRF3
UP00138|Bsx,0.03727009686791645,Bsx
MC00324|Gata4,0.03881579329332236,Gata4
MC00217|FOXA2,0.039153256987108,FOXA2
M01241|GTF2IRD1,0.039208595810922564,GTF2IRD1
MS00843|GLI2,0.03926022601564059,GLI2
MS00252|Bhlhb2,0.040180191313458465,Bhlhb2
MC00117|GATA6,0.04174520607091146,GATA6
M00518|PPARG::RXRA,0.04208919255850098,PPARG::RXRA
M01364|Obox2,0.042276640436529,Obox2
M00468|KLF12,0.04244823189464468,KLF12
M00115|CNTN2::CREB1,0.04462147096316778,CNTN2::CREB1
MC00502|HMGN1,0.04516340040237962,HMGN1
MS00115|NFIX,0.046091208385179445,NFIX
MC00456|JUND,0.04628445343359551,JUND
M01650|NR2E3,0.04746227439200309,NR2E3
MS00294|ATF7,0.04755095833399273,ATF7
MS00248|BHLHB3,0.04783927374608779,BHLHB3
UP00035|HIC1,0.04795405763283717,HIC1
UP00044|Mafk,0.049606505714968926,Mafk
MC00337|Ikzf3,0.04961665957090881,Ikzf3
MS00274|NHLH1,0.04967735584028641,NHLH1
MS00694|RXRG,0.050935565502478054,RXRG
MS00421|Barhl1,0.054402808603825716,Barhl1
UP00140|Hoxd1,0.05484855409014202,Hoxd1
M01450|Obox1,0.055520098902407375,Obox1
UP00112|Gsc,0.05570612909940269,Gsc
MA0051|IRF2,0.05889815280189688,IRF2
M00736|E2F1::TFDP1,0.058916618630703854,E2F1::TFDP1
MS00394|Foxj3,0.059329408555759404,Foxj3
MS00512|Zfp740,0.05970437635650819,Zfp740
MS00812|ELF3,0.060782681045855,ELF3
MS00160|PROX1,0.06083891671456394,PROX1
MC00305|Sox6,0.061797365524708735,Sox6
M00454|ARID5B,0.06199011462113014,ARID5B
UP00125|PITX2,0.06420747009803797,PITX2
M01075|ZBTB16,0.06432028056664264,ZBTB16
MS00270|Mlx,0.06470941886048152,Mlx
MS00794|Sox10,0.06550152245678463,Sox10
MC00281|PBX3,0.06569866472117927,PBX3
MC00385|Ets1,0.06578286211160207,Ets1
UP00009|Nr2f2,0.06759836917157595,Nr2f2
M01435|Rhox6,0.06772546288162898,Rhox6
MS00472|HMBOX1,0.06789840752048315,HMBOX1
MS00287|TFAP4,0.06942728793811344,TFAP4
M00241|NKX2-5,0.0694330945062686,NKX2-5
MS00386|FOXO6,0.07028468723553043,FOXO6
MC00330|FOS,0.07168244445510943,FOS
UP00252|HOXC5,0.07518845201953084,HOXC5
MS00267|MNT,0.07537387043272224,MNT
M01656|Trp63,0.07591940732013094,Trp63
MS00243|Ascl2,0.07761126121495196,Ascl2
M00750|HMGA1,0.07766797414675498,HMGA1
MC00140|Stat3,0.07811313533650772,Stat3
MS00376|FOXO1,0.07812171979195492,FOXO1
MS00383|FOXO4,0.07986286249130625,FOXO4
MS00657|NR2F1,0.0829662021786537,NR2F1
M00632|GATA4,0.08345316448345383,GATA4
MC00163|Creb1,0.08459544603247007,Creb1
MS00247|BHLHB2,0.08491530457770016,BHLHB2
UP00413|Elf4,0.08492651809319839,Elf4
MC00126|TCF12,0.08575504600075805,TCF12
UP00018|Irf4,0.08631680292017634,Irf4
UP00244|TLX2,0.08738084332195649,TLX2
M00526|NR6A1,0.08764280584205539,NR6A1
UP00248|Pax7,0.08770223071609859,Pax7
M01268|NR1H4,0.08799082009259403,NR1H4
UP00391|HOXA3,0.08801796103866039,HOXA3
MS00268|YY2,0.0897257410577694,YY2
M01312|NKX2-1,0.09012349607084193,NKX2-1
MS00369|FOXJ3,0.09098462267164001,FOXJ3
MS00553|MEOX2,0.09131588541000667,MEOX2
UP00045|MAFB,0.09188073704969467,MAFB
MS00282|Srebf1,0.09361886285968377,Srebf1
MS00059|HSF2,0.09436115211576399,HSF2
UP00019|ZBTB12,0.09444039338756204,ZBTB12
MA0081|SPIB,0.09908903308734242,SPIB
MC00513|SFPI1,0.1006053659592418,SFPI1
UP00043|Bcl6b,0.10129582142874072,Bcl6b
MS00251|BHLHE41,0.10593129336434652,BHLHE41
MS00256|HES7,0.10906263164012808,HES7
MC00276|EOMES,0.11056767618726603,EOMES
M01453|ALX1,0.11187833918172513,ALX1
UP00139|Nkx1-2,0.11222355157980256,Nkx1-2
MC00357|Crx,0.11269821412446326,Crx
MS00313|Creb5,0.11289116480156182,Creb5
MC00504|Scx,0.11298535038571947,Scx
M00332|FOXN1,0.11461962323244615,FOXN1
MC00118|GATA2,0.1152238425935357,GATA2
MS00271|NEUROD2,0.11559664390769744,NEUROD2
MC00413|Runx1,0.11563595112426121,Runx1
MC00129|Fli1,0.11753337466367368,Fli1
UP00041|Foxj1,0.11785556780605007,Foxj1
MS00668|Nr2e1,0.11994282050417564,Nr2e1
MC00174|REST,0.11999742163806147,REST
MS00700|Rarb,0.12030067586136334,Rarb
MC00475|Nfic,0.12157452362213265,Nfic
MC00373|Mxi1,0.12165980520499725,Mxi1
MS00114|NFIB,0.12338225088797494,NFIB
MS00070|IRF7,0.12517231599189935,IRF7
MS00489|HOXB13,0.12848582294017205,HOXB13
MS00446|EN1,0.12896247347450485,EN1
M01728|NR2F6,0.13098297754249838,NR2F6
M00433|Hmx3,0.1331424602966444,Hmx3
MS00253|CLOCK,0.1361215451546053,CLOCK
M01709|MAFA,0.13649864129476905,MAFA
MS00051|LEF1,0.13764691315121316,LEF1
MC00369|Myod1,0.13840170742133162,Myod1
MS00653|NR2E1,0.13861802161480707,NR2E1
UP00027|Osr1,0.14140847932185743,Osr1
MS00807|MSC,0.14160593772316524,MSC
UP00095|Zfp691,0.14377510532927915,Zfp691
MC00326|Gata3,0.1438755715376598,Gata3
MS00260|HEY2,0.14717170741582167,HEY2
MS00151|POU4F3,0.14987493595448378,POU4F3
MC00511|Rxrg,0.1514072053435393,Rxrg
MC00448|Nr1h2,0.1514569037244498,Nr1h2
M01247|NANOG,0.15163102900939754,NANOG
MC00532|Mycn,0.1534539705499517,Mycn
MS00436|DPRX,0.1534868927496473,DPRX
M01466|Obox3,0.15374916081589884,Obox3
M01262|TBX18,0.16035570351240516,TBX18
MC00396|Nr3c1,0.1607429456495077,Nr3c1
MS00626|VSX1,0.16396757995500655,VSX1
MS00045|GATA5,0.1691721841215742,GATA5
MS00302|CEBPG,0.16971516428541583,CEBPG
M01288|NEUROD1,0.17522151712836914,NEUROD1
