,0,TF
MS00401|ZNF306,0.0034507591625338205,ZNF306
MC00191|Nfya,0.0036645054294917254,Nfya
MC00337|Ikzf3,0.0038444862391178373,Ikzf3
M00041|ATF2::JUN,0.0038649698695992227,ATF2::JUN
MS00705|Rarg,0.003872322961097896,Rarg
MS00596|PITX3,0.0038746596184525725,PITX3
MS00527|IRX5,0.0041460964118519425,IRX5
MC00124|MAX,0.004148994090575561,MAX
MA0051|IRF2,0.004341764300835008,IRF2
M00467|ZNF423,0.004420565772730418,ZNF423
MC00260|Pax3,0.004429105926175315,Pax3
MS00288|TFE3,0.004462826631560911,TFE3
MS00548|Lhx8,0.004511707903066013,Lhx8
M01105|ZNF350,0.004553629444653104,ZNF350
UP00125|PITX2,0.004566473309931214,PITX2
M00646|HNF1B,0.004582925288159955,HNF1B
MC00248|USF1,0.004750369948378031,USF1
UP00231|NKX2-2,0.004995241747059943,NKX2-2
MS00694|RXRG,0.005001364165020687,RXRG
MC00262|ARNT,0.00506689987566768,ARNT
M00632|GATA4,0.005131067574655128,GATA4
UP00033|Zfp410,0.005647975738774777,Zfp410
MC00316|HIF1A,0.005931973128985873,HIF1A
M00456|BPTF,0.006252931262821353,BPTF
MC00134|Ppara,0.006505070178655806,Ppara
M00141|IKZF1,0.006614103795551491,IKZF1
M01123|NANOG,0.006762296076786676,NANOG
UP00011|IRF6,0.006912860061794792,IRF6
MS00247|BHLHB2,0.007228821440714535,BHLHB2
MS00251|BHLHE41,0.007506513869632572,BHLHE41
MS00808|TFEC,0.0075934422730239886,TFEC
MS00110|NFKB1,0.0077472907966574436,NFKB1
MS00115|NFIX,0.008072662194566548,NFIX
MS00217|TBX5,0.008306428079164381,TBX5
M00179|ATF2,0.008343539565152172,ATF2
MS00394|Foxj3,0.008505054408434793,Foxj3
MC00358|Ebf1,0.008518212786856232,Ebf1
MS00252|Bhlhb2,0.00919684440339694,Bhlhb2
MS00585|OTX2,0.009362953201953239,OTX2
MC00372|Yy1,0.009541749821821861,Yy1
M00072|TFCP2,0.009706805991145361,TFCP2
MS00290|ZBED1,0.009976120430998719,ZBED1
MS00325|Jdp2,0.010078010008100869,Jdp2
MS00343|FOXB1,0.01015448750825375,FOXB1
MA0081|SPIB,0.010164446305304348,SPIB
MS00371|FOXK1,0.01026584920582501,FOXK1
MS00256|HES7,0.010270137252056602,HES7
