,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
76926|CD74,0.041882947258466585,Homo sapiens,CD74,other,None,B Lymphocyte,None,1,CD74
64425|KLF16,0.041985520139291306,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
53330|CPSF3L,0.042397846943072734,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
6545|TP73,0.042605235260088116,Homo sapiens,TP73,predicted transcription factor,Saos-2,Osteosarcoma cell,Bone,1,TP73
76967|MBOAT4,0.042709236584036366,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
41850|ASCL1,0.042813443041743685,Homo sapiens,ASCL1,tf,None,Fibroblast,None,1,ASCL1
63425|DDX20,0.04291785490079547,Homo sapiens,DDX20,,K562,Erythroblast,Bone Marrow,1,DDX20
38724|GMEB2,0.04344300458079383,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
65123|ZFP64,0.04354865446644583,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
53323|INTS3,0.0436545116261376,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
69620|PSMA7,0.045376633622519265,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
47578|TTF1,0.04592586572790097,Homo sapiens,TTF1,tf,NCI-H441,Epithelium,Lung,1,TTF1
74686|KLF10,0.046257960675151186,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
49697|DEK,0.04737889110804228,Homo sapiens,DEK,predicted chromatin regulator,U937,None,Pleura,1,DEK
45878|GTF2F1,0.04760566805914841,Homo sapiens,GTF2F1,tf,K562,Erythroblast,Bone Marrow,1,GTF2F1
64265|HCFC1,0.04840624148865127,Homo sapiens,HCFC1,tf,MCF-7,Epithelium,Breast,1,HCFC1
59002|LYL1,0.0492175462784348,Homo sapiens,LYL1,predicted transcription factor,HL-60,Promyeloblast,Blood,1,LYL1
65079|ZNF317,0.04968600219805069,Homo sapiens,ZNF317,,HEK293,Epithelium,Embryonic Kidney,1,ZNF317
45871|ATF1,0.050276567364348296,Homo sapiens,ATF1,tf,K562,Erythroblast,Bone Marrow,1,ATF1
63743|FOXK2,0.050514354302747935,Homo sapiens,FOXK2,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,FOXK2
48799|ZNF750,0.05063358330146129,Homo sapiens,ZNF750,tf,None,Keratinocyte,Foreskin,1,ZNF750
4126|HDAC6,0.050872713677998685,Homo sapiens,HDAC6,cr,None,T Lymphocyte,Blood,1,HDAC6
73854|LMO1,0.05111274231904448,Homo sapiens,LMO1,not sure,Jurkat,T Lymphocyte,Blood,1,LMO1
9324|MEIS1,0.05159550283110605,Homo sapiens,MEIS1,tf,SEM,Pre-B Lymphocyte,None,1,MEIS1
64981|PATZ1,0.05195994683746346,Homo sapiens,PATZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,PATZ1
42738|NFYA,0.05195994683746346,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
77175|ZNF133,0.05294180197327837,Homo sapiens,ZNF133,tf,293T,None,None,1,ZNF133
74643|NFATC3,0.05331376952685292,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
64045|HINFP,0.05431581430176027,Homo sapiens,HINFP,tf,K562,Erythroblast,Bone Marrow,1,HINFP
52496|TCF21,0.055077080798491405,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
45793|SREBF1,0.05610518688686116,Homo sapiens,SREBF1,tf,HepG2,Epithelium,Liver,1,SREBF1
46054|SIX5,0.056364563689799266,Homo sapiens,SIX5,predicted transcription factor,A549,Epithelium,Lung,1,SIX5
8447|SMAD1,0.056886152119895186,Homo sapiens,SMAD1,predicted transcription factor,U937,None,Pleura,1,SMAD1
42714|ETV5,0.05754347423676701,Homo sapiens,ETV5,tf,LoVo,None,Colon,1,ETV5
77146|ZNF284,0.057808069961261074,Homo sapiens,ZNF284,tf,293T,None,None,1,ZNF284
50152|ARRB1,0.05807362127085245,Homo sapiens,ARRB1,tf,C4-2,Epithelium,None,1,ARRB1
65178|ZNF22,0.058340130217628135,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1,ZNF22
77116|ZNF44,0.0588760292176792,Homo sapiens,ZNF44,tf,293T,None,None,1,ZNF44
68310|NR4A1,0.05955132612405788,Homo sapiens,NR4A1,tf,Kasumi-1,Acute myeloid leukemia,None,1,NR4A1
46333|FOXP2,0.060095922054475025,Homo sapiens,FOXP2,tf,PFSK-1,Neuron,Brain,1,FOXP2
4632|KAT5,0.06092011806092351,Homo sapiens,KAT5,cr,None,T Lymphocyte,Blood,1,KAT5
52574|CHRM2,0.0613355168244699,Homo sapiens,CHRM2,predicted chromatin regulator,None,Stromal Cell,Endometrium,1,CHRM2
36226|DCP1A,0.0613355168244699,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
39577|BACH2,0.061474473763825976,Homo sapiens,BACH2,tf,OCI-Ly7,B cell lymphoma,Blood,1,BACH2
65120|ZBTB26,0.062032761660292125,Homo sapiens,ZBTB26,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB26
64395|NR2C2,0.06273617567988346,Homo sapiens,NR2C2,tf,K562,Erythroblast,Bone Marrow,1,NR2C2
64092|KLF8,0.06301927567545251,Homo sapiens,KLF8,,HEK293,Epithelium,Embryonic Kidney,1,KLF8
65164|ZNF770,0.06316119832735137,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
43398|XBP1,0.06358845989124508,Homo sapiens,XBP1,tf,MDA-MB-231,Epithelium,Breast,1,XBP1
76279|CALU,0.06401796709268963,Homo sapiens,CALU,other,Calu-3,None,Lung,1,CALU
559|VDR,0.06502892121768508,Homo sapiens,VDR,tf,GM10855,Lymphocyte,Blood,1,VDR
72110|SMARCC1,0.06561214763902598,Homo sapiens,SMARCC1,cr,TTC-549,Liver cell,Liver,1,SMARCC1
64038|HBP1,0.06575858606439827,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
44028|BRCA1,0.0661994216337343,Homo sapiens,BRCA1,predicted chromatin regulator,MCF-10A,Epithelium,Breast,1,BRCA1
69516|INO80,0.06649458137147314,Homo sapiens,INO80,predicted chromatin regulator,SKmel147,Melanoma Cell,None,1,INO80
65186|EGR3,0.0670879560942854,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
44695|LANA,0.0676854174557947,Homo sapiens,LANA,other,None,Endothelial Cell,None,1,LANA
