,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
53323|INTS3,0.012728769484508684,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1
63374|HES2,0.012729636896715024,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1
50892|RELA,0.012770193107692673,Homo sapiens,RELA,tf,None,None,None,1
76302|YY1,0.01282392807152316,Homo sapiens,YY1,tf,LCL,Lymphoblastoid,Blood,1
55393|SPI1,0.012825884407744848,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0
58333|MED1,0.012827178094951985,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
64786|ZNF687,0.012848880028395349,Homo sapiens,ZNF687,,MCF-7,Epithelium,Breast,1
71857|ESR1,0.01289342704534413,Homo sapiens,ESR1,tf,MCF-7,None,None,1
36028|RB1,0.012937281236379494,Homo sapiens,RB1,tf,None,Epithelium,Cervix,1
45711|CTCF,0.01297679084918596,Homo sapiens,CTCF,tf,None,Epithelium,Heart,1
67829|BRD4,0.012991934532694094,Homo sapiens,BRD4,cr,SUM159R,None,None,1
68638|KMT2D,0.013154424869677217,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1
55775|CTCFL,0.013157759890800425,Homo sapiens,CTCFL,predicted transcription factor,Delta47,None,None,1
32853|TERC,0.013239146478698172,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1
46183|SIN3A,0.013297477477939912,Homo sapiens,SIN3A,tf,H1,Embryonic Stem Cell,Embryo,1
64789|FOSL2,0.013314812469556403,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
45930|JUN,0.013335854214723608,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1
33467|ELF5,0.013378851450991658,Homo sapiens,ELF5,tf,T47D,Epithelium,Mammary Gland,1
46121|PBX3,0.013394393998262977,Homo sapiens,PBX3,tf,GM12878,B Lymphocyte,Blood,1
46292|MAX,0.013466405723176256,Homo sapiens,MAX,tf,K562,Erythroblast,Bone Marrow,1
45976|CTCF,0.013483867714787046,Homo sapiens,CTCF,tf,LNCaP,Epithelium,Prostate,1
76846|EBF3,0.013486438425125813,Homo sapiens,EBF3,tf,SK-N-SH,Neuroblastoma cell,Brain,0
74675|SMAD4,0.013487870079929187,Homo sapiens,SMAD4,predicted transcription factor,HepG2,Epithelium,Liver,1
57275|AR,0.013491331058786582,Homo sapiens,AR,tf,MDA-MB-453,Epithelium,Mammary Gland,0
4550|SPI1,0.013580379190899106,Homo sapiens,SPI1,predicted transcription factor,None,Haematopoietic Progenitor Cell,Cord blood,1
46287|SP2,0.01358752650532985,Homo sapiens,SP2,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1
50517|NIPBL,0.013593012688515649,Homo sapiens,NIPBL,not sure,Ramos,B Lymphocyte,None,1
68870|FOXA1,0.013657552836180531,Homo sapiens,FOXA1,tf,MCF-7,Embryonic Stem Cell,Breast,1
52682|FOXA2,0.01366087911306596,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1
55397|SPI1,0.013678426807409272,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0
71855|ESR1,0.013680941413056369,Homo sapiens,ESR1,tf,MCF-7,None,None,1
56049|CREB1,0.013686856331290909,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1
64671|CEBPB,0.013693147487138013,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
44600|BRD4,0.01370037891024134,Homo sapiens,BRD4,cr,VCaP,Epithelium,Prostate,1
51554|SMAD1,0.01372013340710626,Homo sapiens,SMAD1,predicted transcription factor,HUES64,Embryonic Stem Cell,Embryo,1
77450|NFKB2,0.01372171426193125,Homo sapiens,NFKB2,tf,L1236,Hodgkin Lymphoma Cell,None,1
52156|FAIRE,0.013721725396168671,Homo sapiens,FAIRE,other,None,Macrophage,None,1
45888|JUN,0.013744314166509786,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1
8657|HDAC1,0.013754936313710386,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1
46244|MAX,0.01377231153636943,Homo sapiens,MAX,tf,HepG2,Epithelium,Liver,1
38739|ELF2,0.013774517447414425,Homo sapiens,ELF2,tf,LoVo,None,Colon,1
1447|HNF4A,0.01379027817639128,Homo sapiens,HNF4A,tf,HepG2,Epithelium,Liver,1
75563|BRD4,0.013808299714441197,Homo sapiens,BRD4,cr,None,None,Retina,1
1226|TRRAP,0.013831388566966862,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1
67496|SMARCA4,0.013864151538445446,Homo sapiens,SMARCA4,cr,MDA-MB-231,Epithelium,Mammary Gland,1
55547|MEF2B,0.013871208248083133,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1
74344|OTX2,0.013875575581092925,Homo sapiens,OTX2,tf,D283 Med,None,None,1
73728|TAL1,0.01390328816196923,Homo sapiens,TAL1,tf,None,Hematopoietic stem and progenitor cell,Blood,0
63480|CTCF,0.013927090264206021,Homo sapiens,CTCF,tf,MM.1S,B Lymphoblast,Blood,1
63431|YY1,0.013937506509937858,Homo sapiens,YY1,tf,None,None,Liver,1
40156|LMO2,0.013943143785116685,Homo sapiens,LMO2,not sure,Kasumi-1,Myeloblast,Blood,0
63285|OSR2,0.013978636005775369,Homo sapiens,OSR2,,HEK293,Epithelium,Embryonic Kidney,1
64761|POLR2AphosphoS5,0.014024628095175018,Homo sapiens,POLR2AphosphoS5,,None,Neuron,None,1
50516|NIPBL,0.014028809335710823,Homo sapiens,NIPBL,not sure,Ramos,B Lymphocyte,None,1
67763|RUNX1,0.014036542116417972,Homo sapiens,RUNX1,tf,None,Hematopoietic stem and progenitor cell,Fetal Liver,1
41850|ASCL1,0.014041677177322243,Homo sapiens,ASCL1,tf,None,Fibroblast,None,1
44760|TP63,0.014051080510377845,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,Foreskin,1
9319|SMC1A,0.01406916624473109,Homo sapiens,SMC1A,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1
49263|BMI1,0.01407336423364508,Homo sapiens,BMI1,cr,293T-Rex,None,None,1
50991|CTCF,0.014086618027395914,Homo sapiens,CTCF,tf,H1,Embryonic Stem Cell,Embryo,1
67794|BRD4,0.014152690283662395,Homo sapiens,BRD4,cr,T47D,None,None,1
75278|ZBTB48,0.014158639732621991,Homo sapiens,ZBTB48,,U2OS,None,None,1
44336|E2F1,0.014159753931518082,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
56818|NR2F1,0.014182813912424541,Homo sapiens,NR2F1,tf,None,Neural crest cell,Cranial,1
39775|RUNX1,0.014205617530267167,Homo sapiens,RUNX1,tf,Kasumi-1,Myeloblast,Blood,1
58872|GATA2,0.014219755460935124,Homo sapiens,GATA2,tf,TF-1,Erythroblast,Bone Marrow,1
63319|NR2F2,0.014227612801951506,Homo sapiens,NR2F2,tf,None,None,Liver,1
4611|TAL1,0.01423150908030052,Homo sapiens,TAL1,tf,None,Proerythroblast,Bone Marrow,1
46005|FOS,0.014272074572672433,Homo sapiens,FOS,tf,MCF-10A,Epithelium,Breast,1
5042|CTCF,0.014279753904345993,Homo sapiens,CTCF,tf,GM12891,Lymphoblastoid,Blood,1
74350|OTX2,0.014293463400179118,Homo sapiens,OTX2,tf,D-341,None,None,1
35945|FOXA1,0.014310965764721462,Homo sapiens,FOXA1,tf,Huh7,Epithelium,Liver,1
36101|ESR1,0.014395272696524464,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,1
955|NANOG,0.014446577751496492,Homo sapiens,NANOG,tf,H1,Embryonic Stem Cell,Embryo,1
65204|YY1,0.014455559913404137,Homo sapiens,YY1,tf,HEK293,Epithelium,Embryonic Kidney,1
47276|KDM5B,0.01447824204041337,Homo sapiens,KDM5B,cr,SUM185PE,Epithelium,Mammary Gland,1
8769|CHD1,0.014503724445825983,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1
39443|FOXM1,0.014506571136426782,Homo sapiens,FOXM1,tf,MCF-7,Epithelium,Breast,1
74431|TFAP4,0.014518489469809659,Homo sapiens,TFAP4,,COLO-320,Colorectal cancer cell line,None,1
71226|AR,0.014573389978352613,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
43642|CDK8,0.014599863402263602,Homo sapiens,CDK8,tf,SW480,None,Colon,1
76812|NEUROG2,0.014649619041597617,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1
71040|ZNF143,0.014657338483126225,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1
37635|ERG,0.014662107863780915,Homo sapiens,ERG,other,K562,Erythroblast,Bone Marrow,0
42298|CTCF,0.014758525957161484,Homo sapiens,CTCF,tf,GM12890,Lymphoblastoid,Blood,1
53470|KDM1A,0.01476050885190705,Homo sapiens,KDM1A,cr,SH-SY5Y,None,Bone Marrow,1
46114|SRF,0.01477607064944958,Homo sapiens,SRF,tf,GM12878,B Lymphocyte,Blood,0
46341|REST,0.014807042881164245,Homo sapiens,REST,tf,SK-N-SH,Neuroblastoma cell,Brain,1
46261|GABPA,0.014809831365906245,Homo sapiens,GABPA,tf,HL-60,Promyeloblast,Blood,1
5188|GABPA,0.014840997763681973,Homo sapiens,GABPA,tf,None,Haematopoietic Progenitor Cell,Blood,1
44577|AR,0.014882600121180367,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
77173|ZNF141,0.014927131897506385,Homo sapiens,ZNF141,tf,293T,None,None,1
53878|MEF2B,0.01501786839913516,Homo sapiens,MEF2B,tf,HEK293A,None,None,1
46100|ESR1,0.01501949054776397,Homo sapiens,ESR1,tf,ECC-1,Epithelium,Endometrium,1
46069|REST,0.015034695615473936,Homo sapiens,REST,tf,A549,Epithelium,Lung,1
44227|SOX2,0.015051569394013142,Homo sapiens,SOX2,tf,TT,None,Thyroid,1
48993|AFF4,0.015073217072398337,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1
63299|FOSL2,0.01510124835525778,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
56820|TFAP2A,0.015157294929325382,Homo sapiens,TFAP2A,predicted transcription factor,None,Neural crest cell,Cranial,1
41788|EZH2,0.015228664667924885,Homo sapiens,EZH2,cr,None,iPSC,None,1
68958|SMARCA4,0.015229893862387822,Homo sapiens,SMARCA4,cr,MCF-10A,Epithelium,None,0
53330|CPSF3L,0.015304616001228066,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1
2401|TFAP2A,0.015346799263280642,Homo sapiens,TFAP2A,predicted transcription factor,MCF-7,Epithelium,Breast,1
63690|GLIS1,0.015419605896635047,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1
2398|STAG1,0.015426882140930742,Homo sapiens,STAG1,not sure,MCF-7,Epithelium,Breast,1
34394|MECP2,0.015430551727039776,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1
8653|AR,0.015435779190325682,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
64917|CBX1,0.015445722538358186,Homo sapiens,CBX1,cr,K562,Erythroblast,Bone Marrow,1
38778|SMC1A,0.015461741484909919,Homo sapiens,SMC1A,predicted chromatin regulator,LoVo,None,Colon,1
44313|E2F1,0.015471398834511263,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
59376|ESR1,0.01553876428465617,Homo sapiens,ESR1,tf,T47D,Epithelium,Mammary Gland,1
70805|MYC,0.01554522253013152,Homo sapiens,MYC,tf,HCT-116,Colon cancer cell,Colon,0
2389|RAD21,0.015645645797741636,Homo sapiens,RAD21,not sure,MCF-7,Epithelium,Breast,1
76964|CNOT3,0.015673094442307023,Homo sapiens,CNOT3,tf,HCT-116,Colorectal cancer cell line,None,1
56121|AR,0.015681666887625956,Homo sapiens,AR,tf,None,None,Prostate,1
64581|CBX1,0.015714206823966903,Homo sapiens,CBX1,cr,HepG2,Epithelium,Liver,1
45664|RELA,0.015775629899017596,Homo sapiens,RELA,tf,GM12892,Lymphoblastoid,Blood,1
45622|CTCF,0.015803644868558064,Homo sapiens,CTCF,tf,GM12878,B Lymphocyte,Blood,1
44337|E2F1,0.015804255463286843,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1
43045|BRD2,0.015816962475579732,Homo sapiens,BRD2,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1
2916|ERG,0.015828874252576786,Homo sapiens,ERG,other,VCaP,Epithelium,Prostate,1
68867|FOXA1,0.015839249549074064,Homo sapiens,FOXA1,tf,MCF-7,Embryonic Stem Cell,Breast,1
64927|HES2,0.015874088053062452,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1
46095|CREB1,0.015891865339376032,Homo sapiens,CREB1,tf,ECC-1,Epithelium,Endometrium,1
63450|HDAC1,0.015911770948736192,Homo sapiens,HDAC1,cr,K562,Erythroblast,Bone Marrow,1
52540|AR,0.01592924022325226,Homo sapiens,AR,tf,R1-AD1,Epithelium,Prostate,1
73189|FOXA1,0.01598875963459867,Homo sapiens,FOXA1,tf,MCF-7,asynchonous cells,Breast,1
33160|MED1,0.01601843269912473,Homo sapiens,MED1,predicted transcription factor,P493-6,B cell lymphoma,None,1
45757|RAD21,0.01603753080311604,Homo sapiens,RAD21,not sure,HeLa-S3,Epithelium,Cervix,1
68968|PR,0.016046804950378912,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1
57111|EPO,0.016053028978130823,Homo sapiens,EPO,not sure,RL95-2,None,Uterus,1
42588|STAG1,0.016080367604521972,Homo sapiens,STAG1,not sure,MS1,Lymphoblastoid,Blood,1
74354|OTX2,0.016089167886359168,Homo sapiens,OTX2,tf,D-341,None,None,1
45579|CTCF,0.016093157709376804,Homo sapiens,CTCF,tf,None,None,Brain,1
74138|FOXA1,0.016100666225327798,Homo sapiens,FOXA1,tf,T47D,None,Breast,1
67495|GATA3,0.016121438246644915,Homo sapiens,GATA3,tf,MDA-MB-231,Epithelium,Mammary Gland,1
74831|T,0.016124103102386267,Homo sapiens,T,tf,T47D,None,None,1
63689|GLIS1,0.016136105133733425,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1
75273|ZBTB48,0.01615739213011813,Homo sapiens,ZBTB48,,U2OS,None,None,1
44594|BRD2,0.016167641489135076,Homo sapiens,BRD2,predicted chromatin regulator,VCaP,Epithelium,Prostate,1
76813|NEUROG2,0.016207124506835147,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1
50246|NR3C1,0.01624538617553012,Homo sapiens,NR3C1,tf,None,Monocyte,None,1
64118|HES2,0.016300856756426563,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1
76494|BRPF3,0.016331866181482302,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1
46348|TEAD4,0.01636352134171115,Homo sapiens,TEAD4,tf,SK-N-SH,Neuroblastoma cell,Brain,1
42503|STAG1,0.01636649741291485,Homo sapiens,STAG1,not sure,GM19240,Lymphoblastoid,Blood,1
