,0,TF
MC00272|CEBPB,0.0117806497108822,CEBPB
UP00119|Nkx2-9,0.011899477359284255,Nkx2-9
MS00355|FOXD2,0.011969681312313652,FOXD2
MS00394|Foxj3,0.01201091125473183,Foxj3
MS00277|OLIG2,0.012046939089958577,OLIG2
UP00175|Lhx9,0.012351711221017853,Lhx9
MS00019|ETV5,0.012393969672822643,ETV5
MC00377|Trp53,0.012479483766224242,Trp53
UP00040|Irf5,0.012485270447430294,Irf5
MS00427|DLX1,0.012524425609553526,DLX1
MC00109|Klf4,0.01273635724730635,Klf4
MS00291|Tcf21,0.01279987428044773,Tcf21
MC00319|EGR2,0.013034419784543153,EGR2
MC00163|Creb1,0.013538304012927977,Creb1
MC00391|ZNF143,0.013758208009612406,ZNF143
MC00187|Ctcf,0.01414421941696282,Ctcf
MC00372|Yy1,0.014309486432378688,Yy1
MS00318|Hlf,0.014482685922944072,Hlf
MC00221|Tbx3,0.01457692386544014,Tbx3
M01148|DMRT3,0.01464918924286021,DMRT3
MC00140|Stat3,0.015054275936424773,Stat3
UP00187|ALX4,0.015160833105867865,ALX4
MS00476|HNF1A,0.015615025086866829,HNF1A
MS00335|Mafb,0.01566445349599802,Mafb
MS00789|Egr3,0.015759131081288614,Egr3
MC00458|TAL1,0.016020068324711985,TAL1
MS00492|HOXB3,0.016389357574899663,HOXB3
UP00330|XBP1,0.016467502214786205,XBP1
MS00354|FOXC2,0.01669484887600268,FOXC2
MS00559|MSX1,0.016705120099897507,MSX1
MC00324|Gata4,0.01677331687094422,Gata4
MC00233|Pou5f1,0.01736346254816736,Pou5f1
UP00033|Zfp410,0.017548747193119885,Zfp410
MS00399|Foxk1,0.017578596221110847,Foxk1
M01104|Ovol2,0.01771188810692138,Ovol2
MA0051|IRF2,0.017808642090418162,IRF2
MA0163|PLAG1,0.017896524312896418,PLAG1
MS00296|BATF3,0.018215236941763576,BATF3
MS00458|En2,0.018291046428765324,En2
MC00174|REST,0.01847945652375186,REST
MC00530|TFAP2A,0.01889960949679506,TFAP2A
MS00440|Dlx2,0.01907910167245448,Dlx2
MS00601|CUX1,0.01934265948028409,CUX1
UP00388|SIX6,0.019820297770415798,SIX6
MS00597|PROP1,0.02020568265242162,PROP1
M01399|Hlx,0.020294666932622926,Hlx
MC00467|RXRA,0.021095114974022937,RXRA
MC00376|ZBTB7A,0.02121766018262946,ZBTB7A
M01105|ZNF350,0.021709757102226585,ZNF350
M00088|IKZF1,0.021730915353335763,IKZF1
MC00120|GATA1,0.021769519716674887,GATA1
M01146|DMRT1,0.02203855155001779,DMRT1
MS00111|NFKB2,0.02224506327054398,NFKB2
MC00257|Pax5,0.022608577748038938,Pax5
MS00152|POU5F1P1,0.022738970874123385,POU5F1P1
MC00396|Nr3c1,0.022932418778252,Nr3c1
MS00438|DUXA,0.02293890135520754,DUXA
UP00389|NKX3-1,0.02297544085519049,NKX3-1
UP00218|Dbx2,0.023362561776643857,Dbx2
MS00713|THRB,0.02353143903917056,THRB
MS00388|Foxc1,0.024147657436204253,Foxc1
MS00441|EMX1,0.02446472040022743,EMX1
MS00787|SRY,0.02482632255236654,SRY
UP00241|HOXD3,0.024870581740236243,HOXD3
MC00347|STAT4,0.024996958931759447,STAT4
M01150|Dmrta2,0.025202226754856078,Dmrta2
MS00496|HOXC10,0.025358939557707884,HOXC10
MS00417|BARX1,0.025403121655226277,BARX1
M01009|HES1,0.02563686392198645,HES1
MC00339|NFE2L2,0.025663537342172513,NFE2L2
MS00802|Sox1,0.025687837246051327,Sox1
MS00662|NR3C2,0.025893886205910578,NR3C2
UP00023|Sox30,0.02603901456389427,Sox30
UP00107|Nkx2-4,0.026102702684351956,Nkx2-4
M00649|MAZ,0.02617695284571728,MAZ
UP00190|NKX2-3,0.026475689842049635,NKX2-3
MS00343|FOXB1,0.026593950443940906,FOXB1
UP00412|Etv5,0.02684135061334931,Etv5
MS00350|FOXC1,0.026854575290242478,FOXC1
M00495|BACH1,0.027297465962037363,BACH1
MC00448|Nr1h2,0.027438493444981345,Nr1h2
MS00290|ZBED1,0.02748851354166023,ZBED1
MS00812|ELF3,0.027506508458113428,ELF3
MA0365|RFX1,0.027634833640364596,RFX1
MS00575|NKX6-1,0.02818960243468321,NKX6-1
MS00424|CART1,0.028760954779578504,CART1
MS00366|FOXJ2,0.028797243526941744,FOXJ2
MS00470|HESX1,0.02905291966872715,HESX1
MC00427|ETV1,0.029689926471973063,ETV1
MS00334|ZIC1,0.02995476960103,ZIC1
MS00085|MEIS3,0.030247697444079458,MEIS3
MS00405|ARX,0.030307375287045333,ARX
UP00195|SIX3,0.0306565589476315,SIX3
UP00212|LHX5,0.030776805095354264,LHX5
MS00274|NHLH1,0.030927948664285203,NHLH1
MC00371|JUNB,0.03167968892903541,JUNB
MC00440|NANOG,0.031808459971897955,NANOG
MS00370|FOXJ3,0.032042084099872775,FOXJ3
MS00497|HOXC11,0.032176257339251516,HOXC11
MS00075|MEF2B,0.03251665289066933,MEF2B
M00515|PPARG::RXRA,0.032581836049802845,PPARG::RXRA
MS00523|Zic3,0.033126521111608444,Zic3
MS00815|E2F1,0.033245344821261257,E2F1
MS00533|LBX2,0.033262025189891,LBX2
MS00211|TBX2,0.033326645217754094,TBX2
M01230|ZNF333,0.03356889493770772,ZNF333
MC00510|E2f3,0.03403225612355995,E2f3
M00733|SMAD4,0.034256510945039134,SMAD4
UP00243|Isx,0.03427460087410604,Isx
MS00503|HOXC12,0.03436841707173476,HOXC12
UP00093|Klf7,0.034375347171830856,Klf7
MS00506|HOXD11,0.03451448932613667,HOXD11
MS00501|Zfp652,0.034783222533039,Zfp652
M01118|WT1,0.03496529208054482,WT1
MA0101|REL,0.035363460180777614,REL
MS00280|OLIG3,0.03614196172914392,OLIG3
M00041|ATF2::JUN,0.03639066157867748,ATF2::JUN
M01592|TFCP2L1,0.03641908969287306,TFCP2L1
MS00402|ALX3,0.03657401370506937,ALX3
MC00356|Tbx21,0.03669825777747381,Tbx21
M01288|NEUROD1,0.037034149511110746,NEUROD1
MS00606|RAX,0.0376300876005991,RAX
M01305|TEF,0.037701367528644884,TEF
MA0155|INSM1,0.0378009946560781,INSM1
UP00199|SIX4,0.038134417652655635,SIX4
M01744|ZFP42,0.03817217386093111,ZFP42
MS00557|MNX1,0.038369403240769526,MNX1
MS00728|ZNF232,0.03845195443782582,ZNF232
MS00208|TBX21,0.038793748412726495,TBX21
M01241|GTF2IRD1,0.03903432482667842,GTF2IRD1
MC00326|Gata3,0.03912645010531849,Gata3
MS00567|EGR3,0.03929054961085682,EGR3
MS00050|GCM2,0.039945442825162186,GCM2
MS00553|MEOX2,0.03997893548304519,MEOX2
MS00408|Alx4,0.04143386077143898,Alx4
MC00170|PGR,0.04188416015411103,PGR
MC00502|HMGN1,0.043504544019070064,HMGN1
UP00250|IRX5,0.04380342800676713,IRX5
UP00194|IRX4,0.043952214153415096,IRX4
MC00130|Pparg,0.0439890622328506,Pparg
MS00437|DRGX,0.0441774612249222,DRGX
M00341|GABPB1,0.044398159947663794,GABPB1
UP00237|Otp,0.04439989208409033,Otp
MS00794|Sox10,0.044718587263969295,Sox10
M00665|SP3,0.04482172064559209,SP3
UP00071|Sox21,0.04549871423616869,Sox21
M00717|PAX8,0.045575997620015234,PAX8
MS00686|RORA,0.045773829191616724,RORA
MS00336|NFE2,0.04582855754788984,NFE2
UP00094|Zfp128,0.04588182618287332,Zfp128
MC00357|Crx,0.04653367964195733,Crx
UP00028|Tcfap2e,0.0468170625472824,Tcfap2e
MS00188|MGA,0.04721612143068635,MGA
MS00433|DMBX1,0.04787806899576374,DMBX1
MS00581|Nkx6-1,0.04917084139430347,Nkx6-1
UP00404|ELF2,0.04933209340840712,ELF2
MC00504|Scx,0.049927705258749934,Scx
MC00122|Cebpa,0.0499422871488554,Cebpa
UP00038|Spdef,0.05057966592364327,Spdef
MS00797|Sox17,0.05237979401576574,Sox17
MS00157|Klf12,0.05277839913402787,Klf12
M01207|ETS2,0.052951741318600636,ETS2
MS00358|FOXD3,0.053322060513671055,FOXD3
MS00295|Atf4,0.05361285251206144,Atf4
MC00513|SFPI1,0.05408409665995704,SFPI1
M01742|Zscan10,0.05435821090722262,Zscan10
MS00177|RUNX3,0.05440513431173721,RUNX3
MS00452|ESX1,0.054764714602016165,ESX1
MS00766|SOX4,0.055310563145867145,SOX4
MS00726|PRDM4,0.05535412525855646,PRDM4
M01175|ZBTB7B,0.05645496654036077,ZBTB7B
UP00186|MEIS1,0.05673500305867023,MEIS1
UP00064|Sox18,0.057369627983059154,Sox18
M00456|BPTF,0.05810680394467536,BPTF
MC00311|FOXA1,0.05821261275843072,FOXA1
MS00268|YY2,0.05834442226833885,YY2
MS00423|ZNF524,0.05843778888007313,ZNF524
MS00516|Hoxa2,0.05861497814653377,Hoxa2
MS00110|NFKB1,0.05940622625738386,NFKB1
MC00333|ESR2,0.05950110375669955,ESR2
MS00243|Ascl2,0.0602779297826207,Ascl2
MS00240|Tcfap2a,0.060820336547006866,Tcfap2a
UP00130|LHX3,0.060841762841600006,LHX3
M00694|E4F1,0.06089454463555213,E4F1
M01069|GZF1,0.060977231546152366,GZF1
MC00118|GATA2,0.06111071155395667,GATA2
MC00110|Klf1,0.061589052224522586,Klf1
M00647|NR1H3,0.061971795132279524,NR1H3
UP00244|TLX2,0.062150500387826206,TLX2
M00467|ZNF423,0.0632599165811839,ZNF423
MS00302|CEBPG,0.06438988513547013,CEBPG
MA0040|Foxq1,0.06449845990865258,Foxq1
MS00330|MAFK,0.06462203473529256,MAFK
