,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
76529|MBTD1,0.1373068307724521,Homo sapiens,MBTD1,other,K562,Lymphoblast,None,1,MBTD1
45748|IRF3,0.13813187610599847,Homo sapiens,IRF3,tf,HeLa-S3,Epithelium,Cervix,1,IRF3
49781|CHD7,0.1384135240281898,Homo sapiens,CHD7,cr,None,iPSC,None,1,CHD7
37183|IRF5,0.1394201819935812,Homo sapiens,IRF5,tf,None,Monocyte,Blood,0,IRF5
77022|ZNF879,0.13983764734888215,Homo sapiens,ZNF879,tf,293T,None,None,1,ZNF879
76837|GCSAM,0.14049533780304896,Homo sapiens,GCSAM,other,HeLa,Epithelium,Cervix,1,GCSAM
38798|ZBED4,0.14081818047503697,Homo sapiens,ZBED4,tf,LoVo,None,Colon,0,ZBED4
47100|CBFA2T3,0.14110606112131946,Homo sapiens,CBFA2T3,tf,CAL-1,Dendritic Cell,None,1,CBFA2T3
77143|ZNF28,0.1411175349429023,Homo sapiens,ZNF28,tf,293T,None,None,1,ZNF28
4403|KAT8,0.14264539644630314,Homo sapiens,KAT8,cr,None,T Lymphocyte,Blood,1,KAT8
77089|ZNF562,0.14306023523670175,Homo sapiens,ZNF562,tf,293T,None,None,1,ZNF562
38815|MXD1,0.14324501607191814,Homo sapiens,MXD1,tf,LoVo,None,Colon,0,MXD1
64377|BACH1,0.14328133205097793,Homo sapiens,BACH1,tf,K562,Erythroblast,Bone Marrow,1,BACH1
64874|IRF9,0.14432041371725546,Homo sapiens,IRF9,tf,K562,Erythroblast,Bone Marrow,1,IRF9
76999|PITX3,0.1443715320283545,Homo sapiens,PITX3,tf,SH-SY5Y,Neuron,Midbrain,1,PITX3
36802|GREB1,0.14510132693178346,Homo sapiens,GREB1,not sure,MCF-7,Epithelium,Breast,1,GREB1
38708|HOXA2,0.14589223353962627,Homo sapiens,HOXA2,tf,LoVo,None,Colon,0,HOXA2
77171|ZNF157,0.14796713287753432,Homo sapiens,ZNF157,tf,293T,None,None,1,ZNF157
52170|PRDM11,0.14858973707679624,Homo sapiens,PRDM11,tf,U-2932,B Lymphocyte,None,1,PRDM11
33032|ARNT,0.1499472135414277,Homo sapiens,ARNT,predicted transcription factor,MCF-7,Epithelium,Breast,1,ARNT
1225|GLYR1,0.15047548636517882,Homo sapiens,GLYR1,cr,HeLa,Epithelium,Cervix,1,GLYR1
36252|NKX3-1,0.15048840283854487,Homo sapiens,NKX3-1,tf,LNCaP,Epithelium,Prostate,1,NKX3-1
76709|MGEA5,0.15159230775615035,Homo sapiens,MGEA5,other,BJAB,None,None,1,MGEA5
45929|SIRT6,0.15239572677455693,Homo sapiens,SIRT6,cr,K562,Erythroblast,Bone Marrow,1,SIRT6
62690|CEBPG,0.15287665709215625,Homo sapiens,CEBPG,tf,MCF-7,Epithelium,Breast,1,CEBPG
74646|TSC22D4,0.15299620231180533,Homo sapiens,TSC22D4,,GM12878,B Lymphocyte,Blood,1,TSC22D4
64816|ZMIZ1,0.15626763843738833,Homo sapiens,ZMIZ1,not sure,K562,Erythroblast,Bone Marrow,1,ZMIZ1
73945|ZNF486,0.15643059459660263,Homo sapiens,ZNF486,not sure,293T,None,None,1,ZNF486
72795|LMNA,0.15834528000917314,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1,LMNA
51550|SALL4,0.15865166391920038,Homo sapiens,SALL4,tf,HUES64,Embryonic Stem Cell,Embryo,0,SALL4
42717|HEYL,0.15909223721034593,Homo sapiens,HEYL,tf,LoVo,None,Colon,1,HEYL
38765|SREBF2,0.15951184411492364,Homo sapiens,SREBF2,tf,LoVo,None,Colon,0,SREBF2
54380|LMTK3,0.16036983691786366,Homo sapiens,LMTK3,not sure,MCF-7,Epithelium,Breast,1,LMTK3
76683|CCND2,0.16100692051784893,Homo sapiens,CCND2,other,MM1.S,B Lymphocyte,Blood,1,CCND2
1229|GTF3C1,0.16115111597980658,Homo sapiens,GTF3C1,tf,HeLa,Epithelium,Cervix,1,GTF3C1
39924|ICE2,0.16137911868845212,Homo sapiens,ICE2,other,HCT-116,None,Colon,1,ICE2
77066|ZNF671,0.16460531707908305,Homo sapiens,ZNF671,tf,293T,None,None,1,ZNF671
39918|ZC3H8,0.16473452322158444,Homo sapiens,ZC3H8,tf,HCT-116,None,Colon,1,ZC3H8
77169|ZNF169,0.16539775203655782,Homo sapiens,ZNF169,tf,293T,None,None,1,ZNF169
69247|SIX2,0.1683658196248819,Homo sapiens,SIX2,tf,None,Cortex,Kidney,1,SIX2
45803|GRP20,0.16875182467704453,Homo sapiens,GRP20,other,HepG2,Epithelium,Liver,1,GRP20
77104|ZNF506,0.16945090667831897,Homo sapiens,ZNF506,tf,293T,None,None,1,ZNF506
51251|KDM1B,0.1697434883517992,Homo sapiens,KDM1B,cr,HepG2,Epithelium,Liver,0,KDM1B
64130|ILK,0.17006637584729495,Homo sapiens,ILK,,K562,Erythroblast,Bone Marrow,1,ILK
77023|ZNF860,0.17024928621206015,Homo sapiens,ZNF860,other,293T,None,None,0,ZNF860
77092|ZNF555,0.1703214414901209,Homo sapiens,ZNF555,tf,293T,None,None,1,ZNF555
65174|ZNF8,0.17068607234504168,Homo sapiens,ZNF8,,HEK293,Epithelium,Embryonic Kidney,1,ZNF8
67367|ESRRA,0.17105063524043568,Homo sapiens,ESRRA,tf,BT-474,Human Breast Cancer Cell,Breast,1,ESRRA
77087|ZNF565,0.17131321672553312,Homo sapiens,ZNF565,tf,293T,None,None,1,ZNF565
51445|EOMES,0.17136247255155207,Homo sapiens,EOMES,tf,HUES64,Embryonic Stem Cell,Embryo,1,EOMES
73981|PRDM9,0.17154343589985388,Homo sapiens,PRDM9,predicted transcription factor,293T,None,None,0,PRDM9
69523|ZNF224,0.1723267742686324,Homo sapiens,ZNF224,,HEK293,HEK 293 Cell Line,None,1,ZNF224
38799|GMEB1,0.17439266564647526,Homo sapiens,GMEB1,tf,LoVo,None,Colon,1,GMEB1
77182|ZNF100,0.17476429830859014,Homo sapiens,ZNF100,other,293T,None,None,1,ZNF100
51613|THAP11,0.17589570304535457,Homo sapiens,THAP11,tf,HUES64,Embryonic Stem Cell,Embryo,1,THAP11
64561|SNRNP70,0.17609335127641718,Homo sapiens,SNRNP70,,K562,Erythroblast,Bone Marrow,1,SNRNP70
38838|LHX3,0.17622561403461656,Homo sapiens,LHX3,tf,LoVo,None,Colon,0,LHX3
73943|ZNF547,0.1768703273384047,Homo sapiens,ZNF547,,293T,None,None,1,ZNF547
