,0,TF
M01783|SP2,1.4549453387067043e-07,SP2
UP00065|Zfp161,1.4886965887632765e-07,Zfp161
M00468|KLF12,1.489542551159953e-07,KLF12
MA0017|NR2F1,1.6444889665892102e-07,NR2F1
MS00264|MESP1,1.7067943533808458e-07,MESP1
M00041|ATF2::JUN,1.7475443925984793e-07,ATF2::JUN
MS00294|ATF7,1.7583454127163697e-07,ATF7
MS00383|FOXO4,1.7755542305999392e-07,FOXO4
MC00316|HIF1A,1.813669774002785e-07,HIF1A
MC00333|ESR2,1.8185633299657907e-07,ESR2
UP00081|Mybl1,2.1152489698907963e-07,Mybl1
MC00321|JUN,2.1444164598962262e-07,JUN
M01592|TFCP2L1,2.1712956378828088e-07,TFCP2L1
MS00343|FOXB1,2.174961033874107e-07,FOXB1
MS00680|RARG,2.2598369307219915e-07,RARG
MS00260|HEY2,2.265436353650738e-07,HEY2
MC00457|ELF1,2.3614770811233717e-07,ELF1
MS00285|TCF4,2.419419649329138e-07,TCF4
MS00027|FLI1,2.7562571294874397e-07,FLI1
M00085|ZBTB6,2.908350456251783e-07,ZBTB6
MC00373|Mxi1,3.0001893849704663e-07,Mxi1
MS00727|ZBTB49,3.087929234785021e-07,ZBTB49
MC00502|HMGN1,3.1789283784792965e-07,HMGN1
MS00183|GMEB2,3.3410899077924846e-07,GMEB2
MS00023|Elk3,4.3008279848342037e-07,Elk3
MC00295|Esr1,4.534234544770633e-07,Esr1
MC00257|Pax5,4.6289013834695503e-07,Pax5
MC00377|Trp53,4.677738908669693e-07,Trp53
MC00341|Olig2,4.888303966695555e-07,Olig2
MS00711|THRB,4.944718643649167e-07,THRB
MC00473|ATF3,4.984784580685094e-07,ATF3
MS00290|ZBED1,5.372115861245197e-07,ZBED1
MS00685|RORA,5.518117935737774e-07,RORA
M00694|E4F1,5.578261625380473e-07,E4F1
MC00367|GABPA,6.144343757636641e-07,GABPA
M00678|ETV7,6.432770175515262e-07,ETV7
M00733|SMAD4,6.503087467457729e-07,SMAD4
M01248|NR0B1,6.541980136039694e-07,NR0B1
MC00351|FOSL1,6.579048498031861e-07,FOSL1
MS00808|TFEC,6.611586784153181e-07,TFEC
MS00311|Creb3l2,7.146447712894895e-07,Creb3l2
MS00331|MAFK,7.251700460715962e-07,MAFK
M01037|GLI1,7.939683603235439e-07,GLI1
MS00376|FOXO1,8.628803109750661e-07,FOXO1
