,0,TF
MS00313|Creb5,0.003375337594432069,Creb5
MC00312|RUNX1,0.003433602977325053,RUNX1
MC00339|NFE2L2,0.0035152828477259808,NFE2L2
MC00468|AR,0.0035431454574861767,AR
UP00011|IRF6,0.0036055442111251816,IRF6
MS00740|SOX10,0.003665522420330326,SOX10
MS00668|Nr2e1,0.003699574954219513,Nr2e1
MC00157|Tead4,0.003998009098426021,Tead4
MS00302|CEBPG,0.004023879247897352,CEBPG
M00737|E2F1::TFDP2,0.004033258373894258,E2F1::TFDP2
UP00023|Sox30,0.004033730327958688,Sox30
MS00337|NFIL3,0.004083892815812976,NFIL3
MS00327|MAFG,0.004089073672019684,MAFG
M00241|NKX2-5,0.004146070849531595,NKX2-5
MS00024|GLIS1,0.004213776239594945,GLIS1
UP00084|Gmeb1,0.004238715246561296,Gmeb1
MC00321|JUN,0.004243157853626107,JUN
MC00373|Mxi1,0.004291693813384546,Mxi1
MA0152|NFATC2,0.004398636301348716,NFATC2
MC00328|Zfx,0.004485724644863174,Zfx
M00062|IRF1,0.004495901899403844,IRF1
MS00708|Rxrb,0.004575504262766616,Rxrb
MC00211|NFATC1,0.004610804958769942,NFATC1
MS00333|Mafb,0.00474883772635266,Mafb
UP00413|Elf4,0.004902362530813428,Elf4
MS00756|E2F7,0.004938694969748966,E2F7
MS00260|HEY2,0.004970699064618172,HEY2
MS00325|Jdp2,0.005146506444464513,Jdp2
MS00653|NR2E1,0.005235514589407923,NR2E1
MC00364|NFYA,0.005285412546435126,NFYA
MS00805|Sox3,0.005292695126993533,Sox3
MC00388|Tal1,0.005339321352438621,Tal1
UP00215|Vax1,0.005519130445562066,Vax1
MS00290|ZBED1,0.005559171246323522,ZBED1
MC00295|Esr1,0.005600555021624178,Esr1
MS00685|RORA,0.005630745382731519,RORA
MS00378|FOXO3,0.0057066590786738,FOXO3
MC00427|ETV1,0.005731374663317507,ETV1
M01171|BCL6,0.005872848798980439,BCL6
MS00466|GSX2,0.0059026738340534615,GSX2
MS00596|PITX3,0.005926074416086381,PITX3
M01435|Rhox6,0.005964410138575578,Rhox6
MS00582|OTX1,0.00601314923270327,OTX1
MC00193|RELA,0.006026047179449756,RELA
MA0041|FOXD3,0.006064983990773084,FOXD3
MS00726|PRDM4,0.006217342874160617,PRDM4
MS00256|HES7,0.00631993448349737,HES7
MS00100|MYBL1,0.006642119017395254,MYBL1
M00222|TCF3,0.0067730473145198155,TCF3
MS00442|EMX1,0.00679266389421879,EMX1
M00736|E2F1::TFDP1,0.0069584339737522715,E2F1::TFDP1
MS00468|ZNF75A,0.007060534770182031,ZNF75A
UP00088|PLAGL1,0.007075617685563678,PLAGL1
MC00457|ELF1,0.007076740649604682,ELF1
MC00183|Snai1,0.007096814342319876,Snai1
UP00119|Nkx2-9,0.007452203248493074,Nkx2-9
MS00572|NKX3-1,0.007561809992875614,NKX3-1
M01288|NEUROD1,0.007631897838123976,NEUROD1
MS00450|EN2,0.00791581803443903,EN2
MS00320|JDP2,0.007924903048769215,JDP2
MC00110|Klf1,0.008006232363312363,Klf1
UP00145|BARHL2,0.008052304742068264,BARHL2
MS00488|HOXB13,0.008064027489213494,HOXB13
MC00104|Foxa1,0.008235469722196891,Foxa1
MS00709|THRA,0.008242369142557724,THRA
M00072|TFCP2,0.008257289949199149,TFCP2
UP00401|SOX4,0.0082733665212968,SOX4
MC00160|ETV3,0.009163056920251973,ETV3
MS00289|TFEB,0.009292762904815002,TFEB
MS00128|PAX9,0.009335627582462492,PAX9
M01479|POU6F1,0.009705746875513096,POU6F1
MC00151|SPI1,0.009730193870431416,SPI1
MS00440|Dlx2,0.009879838452651809,Dlx2
MS00171|Rfx2,0.009916594195431363,Rfx2
MS00446|EN1,0.010030913913361991,EN1
MC00192|ZNF263,0.010197862977491135,ZNF263
