,0,TF
M00518|PPARG::RXRA,3.37242393234459e-08,PPARG::RXRA
MS00194|TBX19,4.476839664744092e-08,TBX19
MC00359|TP53,4.615458791445115e-08,TP53
MS00421|Barhl1,6.180556437641047e-08,Barhl1
MS00338|NRL,7.037539787715864e-08,NRL
MC00364|NFYA,8.280651465790168e-08,NFYA
MS00115|NFIX,8.601524183797236e-08,NFIX
MS00177|RUNX3,9.477273268880705e-08,RUNX3
MS00111|NFKB2,1.123717756003226e-07,NFKB2
UP00066|HNF4A,1.1840280525471462e-07,HNF4A
UP00021|Zfp281,1.378615528533603e-07,Zfp281
MS00812|ELF3,1.6656483566544464e-07,ELF3
MC00465|NR3C1,1.6808425632832078e-07,NR3C1
MS00161|RFX2,1.7397259915146605e-07,RFX2
M01207|ETS2,1.8700042719758206e-07,ETS2
MA0155|INSM1,2.0095299506382536e-07,INSM1
M01105|ZNF350,2.187116007843356e-07,ZNF350
M00483|ATF6,2.6025044407438303e-07,ATF6
MS00243|Ascl2,3.651695181769282e-07,Ascl2
M01067|GFI1,4.3910826110051466e-07,GFI1
UP00045|MAFB,4.6225634782521173e-07,MAFB
UP00085|Sfpi1,4.67195065397366e-07,Sfpi1
MS00040|SPIC,6.663743038780019e-07,SPIC
MS00065|IRF4,6.758618458133465e-07,IRF4
MC00385|Ets1,8.414408190817629e-07,Ets1
MC00468|AR,8.931735935613366e-07,AR
MS00521|Hoxd3,9.082031664238161e-07,Hoxd3
MC00295|Esr1,9.153103037279883e-07,Esr1
MC00334|SIX5,9.876090735211847e-07,SIX5
M00041|ATF2::JUN,1.133123349745863e-06,ATF2::JUN
MC00339|NFE2L2,1.1463127088179247e-06,NFE2L2
MS00296|BATF3,1.1868335850266182e-06,BATF3
MS00684|RARG,1.5241005493040399e-06,RARG
MC00132|TP73,1.5284998878651346e-06,TP73
MA0101|REL,1.6008025834845462e-06,REL
MC00163|Creb1,1.6106648777454272e-06,Creb1
UP00184|Lhx8,1.6266906259287723e-06,Lhx8
MS00838|ELF5,1.7402363217338588e-06,ELF5
M01306|ZNF217,1.8402605023562143e-06,ZNF217
MS00638|ESRRG,1.8423210854653674e-06,ESRRG
MC00134|Ppara,2.1715778908413245e-06,Ppara
MA0161|NFIC,2.17500769463021e-06,NFIC
MS00503|HOXC12,2.3434984490409005e-06,HOXC12
MS00778|EHF,2.38297455523992e-06,EHF
MC00467|RXRA,2.449732188455026e-06,RXRA
UP00132|Evx2,2.6101293195015832e-06,Evx2
MS00392|Foxg1,2.7640792144598827e-06,Foxg1
MC00170|PGR,3.685164800409666e-06,PGR
M01037|GLI1,3.780341712098178e-06,GLI1
UP00190|NKX2-3,4.11105891866943e-06,NKX2-3
MS00315|DBP,4.301853337453678e-06,DBP
MS00445|ZNF740,4.929099302976795e-06,ZNF740
MS00070|IRF7,5.359355416319136e-06,IRF7
M00222|TCF3,6.677059912204584e-06,TCF3
