,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45648|ZZZ3,0.2342022216937568,Homo sapiens,ZZZ3,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,ZZZ3
67859|EBNA2,0.2349802336482531,Homo sapiens,EBNA2,other,GM12878,B Lymphocyte,Blood,0,EBNA2
77020|ZNF891,0.2412394519234897,Homo sapiens,ZNF891,other,293T,None,None,0,ZNF891
64288|ZSCAN23,0.24161679723777515,Homo sapiens,ZSCAN23,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN23
65175|ZBTB12,0.2423636234164394,Homo sapiens,ZBTB12,,HEK293,Epithelium,Embryonic Kidney,0,ZBTB12
38656|MSX1,0.24348524369662844,Homo sapiens,MSX1,tf,LoVo,None,Colon,0,MSX1
42695|MTF1,0.2437756128331243,Homo sapiens,MTF1,cr,LoVo,None,Colon,0,MTF1
34479|NFKBIA,0.2507990797023557,Homo sapiens,NFKBIA,other,None,Keratinocyte,Foreskin,0,NFKBIA
2|GAPDH,0.2546663570199408,Homo sapiens,GAPDH,not sure,HeLa,Epithelium,Cervix,0,GAPDH
77031|ZNF799,0.25719284250038743,Homo sapiens,ZNF799,tf,293T,None,None,1,ZNF799
62900|ZNF346,0.2579910312254504,Homo sapiens,ZNF346,,HEK293,Epithelium,Embryonic Kidney,1,ZNF346
77101|ZNF527,0.2607230722200633,Homo sapiens,ZNF527,tf,293T,None,None,0,ZNF527
65118|ZNF768,0.2614942710761373,Homo sapiens,ZNF768,,HEK293,Epithelium,Embryonic Kidney,1,ZNF768
63641|ZNF140,0.2635317714962305,Homo sapiens,ZNF140,,HEK293,Epithelium,Embryonic Kidney,1,ZNF140
43676|CDK2,0.2663971318645276,Homo sapiens,CDK2,not sure,T47D-MTVL,Epithelium,Mammary Gland,0,CDK2
65104|ZNF596,0.2696549785024221,Homo sapiens,ZNF596,,HEK293,Epithelium,Embryonic Kidney,0,ZNF596
42660|FOXQ1,0.2719404906844453,Homo sapiens,FOXQ1,tf,LoVo,None,Colon,0,FOXQ1
77505|None,0.272171106698979,Homo sapiens,None,None,None,Patient,None,1,None
77102|ZNF525,0.27260948452173384,Homo sapiens,ZNF525,other,293T,None,None,1,ZNF525
73091|RPA2,0.2744708651081647,Homo sapiens,RPA2,other,HeLa,Epithelium,Cervix,0,RPA2
42721|HOXA5,0.27651097381108314,Homo sapiens,HOXA5,tf,LoVo,None,Colon,0,HOXA5
77457|SON,0.2779688659850144,Homo sapiens,SON,,K562,Leukemia,None,1,SON
77167|ZNF180,0.27938598230213063,Homo sapiens,ZNF180,tf,293T,None,None,1,ZNF180
77143|ZNF28,0.28103883265074275,Homo sapiens,ZNF28,tf,293T,None,None,1,ZNF28
38757|NFIL3,0.29091149514644266,Homo sapiens,NFIL3,tf,LoVo,None,Colon,0,NFIL3
42697|NEUROD2,0.29091149514644266,Homo sapiens,NEUROD2,tf,LoVo,None,Colon,0,NEUROD2
63310|ZNF318,0.29112810963384583,Homo sapiens,ZNF318,,K562,Erythroblast,Bone Marrow,1,ZNF318
