,0,TF
MS00626|VSX1,0.00016818307238488365,VSX1
M01364|Obox2,0.00016873697592642898,Obox2
MS00179|SCRT1,0.00017411966985809012,SCRT1
M00141|IKZF1,0.00018213457011521196,IKZF1
M00062|IRF1,0.00018540687293802673,IRF1
MS00668|Nr2e1,0.0002029700323970489,Nr2e1
MC00342|YY1,0.00020422704012680086,YY1
MS00025|FEV,0.0002049839555742449,FEV
MC00104|Foxa1,0.0002057494908461176,Foxa1
M01656|Trp63,0.00020703603881943756,Trp63
M01445|Obox6,0.00020811848269024745,Obox6
UP00177|Hoxd12,0.00023267487609356883,Hoxd12
MC00223|SMAD2/3,0.0002450707743758318,SMAD2/3
MS00265|MLXIPL,0.0002476705959653076,MLXIPL
MS00290|ZBED1,0.0002603754856160937,ZBED1
UP00199|SIX4,0.0002823995033337587,SIX4
MC00385|Ets1,0.0002953288254450196,Ets1
MS00705|Rarg,0.0003129072694631425,Rarg
M01334|Nkx1-1,0.00033002407836807987,Nkx1-1
MS00252|Bhlhb2,0.000365198539211143,Bhlhb2
M00105|CUX1,0.00043125942657214786,CUX1
MC00273|CEBPA,0.00044722725428172883,CEBPA
MS00320|JDP2,0.0004799960658195405,JDP2
MS00016|ETV2,0.0004886620580757509,ETV2
MC00154|Jund,0.0004970415282766626,Jund
M01734|NFATC4,0.0005155810289677746,NFATC4
MS00846|ERF,0.0005186738037264191,ERF
M01450|Obox1,0.0005699188449807081,Obox1
MC00217|FOXA2,0.0005756297268866407,FOXA2
MS00326|MAFF,0.000577805030288585,MAFF
UP00243|Isx,0.000582600176527034,Isx
MC00206|ELK1,0.0006134817943313104,ELK1
MS00359|FOXD3,0.0006235211526004263,FOXD3
UP00085|Sfpi1,0.0006347270948537258,Sfpi1
MA0031|FOXD1,0.0006390087474971775,FOXD1
UP00043|Bcl6b,0.0006960970334145363,Bcl6b
MC00289|HSF1,0.0007597719042256939,HSF1
MC00389|CDX2,0.0007802088760728295,CDX2
UP00125|PITX2,0.0007987182986575272,PITX2
UP00213|HOXA9,0.0008763285774476936,HOXA9
MS00300|CEBPE,0.0008840679569052922,CEBPE
MS00618|Uncx,0.000899860703477142,Uncx
MS00617|UNCX,0.0009002864599334366,UNCX
UP00169|LMX1B,0.0009712998613824353,LMX1B
M00694|E4F1,0.0010070670753589846,E4F1
MS00251|BHLHE41,0.0010074147162570355,BHLHE41
MS00591|PHOX2A,0.0010283337364281984,PHOX2A
MS00315|DBP,0.0010408032553605804,DBP
MS00243|Ascl2,0.0011872414313434587,Ascl2
MS00466|GSX2,0.0012290942811193145,GSX2
MS00397|Foxj3,0.0012557390705904383,Foxj3
MS00709|THRA,0.0013016061145544044,THRA
MC00334|SIX5,0.0013203146328597056,SIX5
MC00250|Nkx3-1,0.0013389273010231682,Nkx3-1
M00041|ATF2::JUN,0.0013781387183973753,ATF2::JUN
M00646|HNF1B,0.0014135069561837957,HNF1B
M00983|MAF,0.0014206148294219874,MAF
MC00105|Foxa2,0.0014359693527641103,Foxa2
MC00312|RUNX1,0.0014711337897011943,RUNX1
M01247|NANOG,0.0014775461664682423,NANOG
UP00223|Irx3,0.0015007207858564395,Irx3
MS00421|Barhl1,0.0015475646584898759,Barhl1
MS00378|FOXO3,0.001648943618420057,FOXO3
MS00376|FOXO1,0.001823317562072873,FOXO1
MS00339|TEF,0.0018574543779418277,TEF
UP00193|Rhox11,0.0020099030147867664,Rhox11
UP00391|HOXA3,0.002010673635210971,HOXA3
MS00316|Dbp,0.0020162956600736095,Dbp
MS00444|EMX2,0.0020215678321535853,EMX2
MS00325|Jdp2,0.0020639303501517065,Jdp2
MC00416|Rbfox2,0.0022234680241571977,Rbfox2
M01480|Obox5,0.0022325846789353248,Obox5
MS00593|PHOX2B,0.002478772799823839,PHOX2B
MC00224|EPAS1,0.0025768423326230426,EPAS1
MA0101|REL,0.002579693377929806,REL
MC00411|BATF,0.0027561874888990512,BATF
M01207|ETS2,0.0027849999611065904,ETS2
UP00236|IRX2,0.003094281275906738,IRX2
M00433|Hmx3,0.0030988356938537673,Hmx3
MS00596|PITX3,0.003250747467525245,PITX3
MS00399|Foxk1,0.003263225815047706,Foxk1
MS00222|TEAD3,0.003280034318663837,TEAD3
MS00731|ZNF713,0.0033446996663645105,ZNF713
MC00348|STAT1,0.0033454433850473968,STAT1
MA0040|Foxq1,0.003365577393527496,Foxq1
MS00808|TFEC,0.0035702354933219048,TFEC
MS00729|ZNF282,0.003592614650019382,ZNF282
MS00282|Srebf1,0.003702134704039371,Srebf1
MS00313|Creb5,0.0037875099968161224,Creb5
UP00194|IRX4,0.0037959447080300993,IRX4
MS00343|FOXB1,0.00390682309943583,FOXB1
M01466|Obox3,0.00421212063739325,Obox3
MS00349|FOXC1,0.004392577081363139,FOXC1
MS00057|HIC2,0.004401209510838056,HIC2
MS00694|RXRG,0.004472184870289084,RXRG
MS00424|CART1,0.00455877761953262,CART1
MS00739|E2F8,0.0045651059819539035,E2F8
MC00413|Runx1,0.004616743624551704,Runx1
MS00465|GSX1,0.0047840048741746265,GSX1
UP00009|Nr2f2,0.004830723184048968,Nr2f2
MC00349|Jun,0.004863566687595362,Jun
MS00604|Prrx2,0.004945138216010417,Prrx2
UP00212|LHX5,0.004950404130477269,LHX5
MS00162|RFX2,0.005022015858034745,RFX2
MS00488|HOXB13,0.005176835182207799,HOXB13
MS00302|CEBPG,0.005345909960042686,CEBPG
UP00048|RARA,0.005554187565460612,RARA
MS00214|TBX4,0.005582839209406088,TBX4
MC00121|Cebpb,0.0056348816207990185,Cebpb
MS00484|HOXA13,0.00566022478991213,HOXA13
MS00361|FOXG1,0.00570264456564609,FOXG1
MS00270|Mlx,0.006002137534754893,Mlx
MS00437|DRGX,0.006244376571918123,DRGX
UP00207|HOXB9,0.006275454276147795,HOXB9
MS00692|RXRB,0.006581685783310839,RXRB
MS00602|PRRX1,0.006734270190177111,PRRX1
M00133|POU3F1,0.006905311096843221,POU3F1
MA0084|SRY,0.007126914149706721,SRY
MS00362|FOXI1,0.007255835659845685,FOXI1
