,0,TF
MS00065|IRF4,7.081104468497435e-09,IRF4
MS00194|TBX19,7.128403571674134e-09,TBX19
MC00125|Rest,9.052753964859488e-09,Rest
UP00019|ZBTB12,1.0672118786123988e-08,ZBTB12
MS00101|Hic1,1.2716401609763519e-08,Hic1
MS00218|T,1.5109702603606837e-08,T
MS00308|CREB3,1.687708107662526e-08,CREB3
UP00020|ATF1,2.012673772033047e-08,ATF1
MC00476|Rarg,2.492094576327388e-08,Rarg
M00649|MAZ,2.8286133199129636e-08,MAZ
MC00374|TFAP2C,3.0894567692686614e-08,TFAP2C
MC00170|PGR,3.134855892423608e-08,PGR
MS00331|MAFK,3.571674194566234e-08,MAFK
MS00846|ERF,3.98821016738028e-08,ERF
MA0116|Zfp423,4.152884048692587e-08,Zfp423
MA0163|PLAG1,6.294494829055364e-08,PLAG1
MS00338|NRL,6.471280322116651e-08,NRL
M00490|BACH2,7.38225902717013e-08,BACH2
M00648|MAF,7.577772563893774e-08,MAF
MS00072|IRF8,8.087379415723494e-08,IRF8
MC00335|ESR1,8.905039237486826e-08,ESR1
MC00169|Usf2,9.422334141146363e-08,Usf2
MS00251|BHLHE41,9.526080700384014e-08,BHLHE41
MS00211|TBX2,9.940356773596396e-08,TBX2
M01241|GTF2IRD1,1.0546423377795326e-07,GTF2IRD1
UP00193|Rhox11,1.2646316030315927e-07,Rhox11
UP00027|Osr1,1.4449856196101486e-07,Osr1
MC00359|TP53,1.5638144903035543e-07,TP53
MS00266|MLX,1.6757310259002824e-07,MLX
MC00344|Hnf4a,1.8932264365240893e-07,Hnf4a
MC00295|Esr1,1.9765102027729984e-07,Esr1
MS00694|RXRG,1.9846045742330629e-07,RXRG
MS00289|TFEB,2.542287786212457e-07,TFEB
MC00337|Ikzf3,2.581510095006576e-07,Ikzf3
MC00377|Trp53,3.2156866604302855e-07,Trp53
MC00448|Nr1h2,3.4436882690095245e-07,Nr1h2
M00115|CNTN2::CREB1,3.794926802240776e-07,CNTN2::CREB1
MS00110|NFKB1,4.0088666217392985e-07,NFKB1
M01037|GLI1,4.909959671194693e-07,GLI1
MC00289|HSF1,4.987076538142843e-07,HSF1
MC00130|Pparg,6.323194296557891e-07,Pparg
MS00285|TCF4,6.353251031797936e-07,TCF4
MS00710|THRB,6.441086859991732e-07,THRB
MS00202|TBX20,8.84478892017158e-07,TBX20
MS00294|ATF7,1.4729035729549277e-06,ATF7
MS00739|E2F8,1.5486848670992944e-06,E2F8
MS00445|ZNF740,1.606593276886102e-06,ZNF740
M00706|GTF2I,1.7033574971461898e-06,GTF2I
UP00035|HIC1,1.7227660885434005e-06,HIC1
MS00684|RARG,2.1482231962481954e-06,RARG
MC00370|Npas4,2.1867363257547764e-06,Npas4
MS00057|HIC2,2.4624427779362636e-06,HIC2
MS00270|Mlx,2.5982487892304444e-06,Mlx
MS00386|FOXO6,3.115931777664221e-06,FOXO6
MC00248|USF1,3.292370420658228e-06,USF1
MS00709|THRA,3.3607645296598853e-06,THRA
MS00125|PAX6,3.4856363199102367e-06,PAX6
MS00062|HSFY2,3.7319626676181877e-06,HSFY2
M01105|ZNF350,4.104878604762823e-06,ZNF350
MS00160|PROX1,4.445139653193879e-06,PROX1
MC00408|Myb,5.066370987753927e-06,Myb
UP00009|Nr2f2,5.393617054980293e-06,Nr2f2
MC00223|SMAD2/3,8.115382947115153e-06,SMAD2/3
M00467|ZNF423,8.127379910600322e-06,ZNF423
M01334|Nkx1-1,8.771398173052255e-06,Nkx1-1
MS00808|TFEC,9.63778241950652e-06,TFEC
MS00162|RFX2,1.0709871616916013e-05,RFX2
MC00192|ZNF263,1.2529358525645017e-05,ZNF263
M00483|ATF6,1.3942536413673486e-05,ATF6
MS00217|TBX5,1.3985899474157089e-05,TBX5
MC00468|AR,1.4820044039046764e-05,AR
MS00016|ETV2,1.7692117658756235e-05,ETV2
MS00778|EHF,2.033850780875188e-05,EHF
M00222|TCF3,2.4443731167319716e-05,TCF3
MC00163|Creb1,2.8013244024400087e-05,Creb1
MA0101|REL,2.952816745681622e-05,REL
MS00527|IRX5,2.992347886455453e-05,IRX5
UP00192|SIX1,3.0836049547935065e-05,SIX1
MS00756|E2F7,3.393701673670946e-05,E2F7
MS00822|NFIX,3.5894849540615954e-05,NFIX
MS00812|ELF3,4.2812845628717436e-05,ELF3
MS00327|MAFG,4.4964825013003164e-05,MAFG
MS00838|ELF5,4.861139896101682e-05,ELF5
MS00295|Atf4,4.876301122994044e-05,Atf4
MS00296|BATF3,5.285458957430296e-05,BATF3
M00155|NR2F2,5.631821240829998e-05,NR2F2
M01728|NR2F6,5.8828998364452036e-05,NR2F6
MS00073|IRF9,6.185392301615589e-05,IRF9
MA0161|NFIC,6.51294752222489e-05,NFIC
MS00436|DPRX,6.970259721101381e-05,DPRX
