,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
76292|YY1,0.000274383538864381,Homo sapiens,YY1,tf,LCL,Lymphoblastoid,Blood,1
5883|RXRA,0.0002749796754700382,Homo sapiens,RXRA,tf,THP-1,Monocyte,Blood,1
65074|ZNF382,0.00027557701840349796,Homo sapiens,ZNF382,,HEK293,Epithelium,Embryonic Kidney,1
54053|ESR1,0.00027557701840349796,Homo sapiens,ESR1,tf,T47D,Epithelium,Mammary Gland,1
36246|ERG,0.00027617556990096375,Homo sapiens,ERG,other,None,Haematopoietic Progenitor Cell,Blood,1
77164|ZNF189,0.0002773763075512152,Homo sapiens,ZNF189,other,293T,None,None,1
65135|SCRT1,0.0002773763075512152,Homo sapiens,SCRT1,,HEK293,Epithelium,Embryonic Kidney,0
35621|NR2F2,0.0002779784981949107,Homo sapiens,NR2F2,tf,None,Neural crest cell,Cranial,1
49727|ASCL1,0.0002797923844236705,Homo sapiens,ASCL1,tf,NCI-H2107,Epithelium,Lung,1
47847|REST,0.00028039945879401534,Homo sapiens,REST,tf,GM12878,B Lymphocyte,Blood,1
74934|CUX1,0.000281007759751493,Homo sapiens,CUX1,tf,K562,Leukemia Cell,None,1
49258|SCML2,0.0002816172895657594,Homo sapiens,SCML2,tf,293T-Rex,None,None,1
67766|IRF2,0.000282228050510213,Homo sapiens,IRF2,predicted transcription factor,None,Hematopoietic stem and progenitor cell,Bone Marrow,1
55294|WWTR1,0.000282228050510213,Homo sapiens,WWTR1,other,MDA-MB-231,Epithelium,Breast,1
63983|FOSL2,0.000282228050510213,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
41491|RNF2,0.00028345327490202153,Homo sapiens,RNF2,predicted transcription factor,DU145,Epithelium,Prostate,1
54087|ESR1,0.00028345327490202153,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
56433|TOP2B,0.00028345327490202153,Homo sapiens,TOP2B,predicted chromatin regulator,MCF-7,Epithelium,Breast,0
71869|NIPBL,0.0002840677429149351,Homo sapiens,NIPBL,not sure,A549,Epithelium,Lung,1
77148|ZNF282,0.0002846834511891642,Homo sapiens,ZNF282,tf,293T,None,None,1
33606|FAIRE,0.0002853004020168986,Homo sapiens,FAIRE,other,None,Epithelium,Cervix,1
46255|ZBTB33,0.00028715873279969915,Homo sapiens,ZBTB33,tf,HepG2,Epithelium,Liver,1
46176|SP2,0.00028778067683893707,Homo sapiens,SP2,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,1
37109|HSF1,0.00028902832944587866,Homo sapiens,HSF1,tf,NCI-H441,Epithelium,Lung,1
62957|SREBF1,0.00028965404264721906,Homo sapiens,SREBF1,tf,MCF-7,Epithelium,Breast,1
4959|RELA,0.00029028101687591476,Homo sapiens,RELA,tf,GM10847,Lymphoblastoid,Blood,1
64173|ZNF580,0.00029028101687591476,Homo sapiens,ZNF580,,HEK293,Epithelium,Embryonic Kidney,1
58343|MED1,0.00029028101687591476,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
38474|ESR1,0.00029090925445831434,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,0
51582|SOX2,0.0002915387577245906,Homo sapiens,SOX2,tf,HUES64,Embryonic Stem Cell,Embryo,1
54140|ATF4,0.0002915387577245906,Homo sapiens,ATF4,tf,None,Mesenchymal Stem Cell,None,1
64660|PBX2,0.0002921695290087404,Homo sapiens,PBX2,tf,HepG2,Epithelium,Liver,1
47288|JUN,0.000292801570648596,Homo sapiens,JUN,tf,BT-549,Epithelium,Mammary Gland,1
76499|ZMYND8,0.00029343488498582575,Homo sapiens,ZMYND8,cr,ZR-75-30,None,None,1
69290|AR,0.0002947053411383057,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
58300|FOXO1,0.000295342487656129,Homo sapiens,FOXO1,tf,None,B Lymphocyte,Tonsil,1
50116|VDR,0.00029598091627648605,Homo sapiens,VDR,tf,THP-1,Monocyte,Blood,1
76152|MYC,0.0002972616292724202,Homo sapiens,MYC,tf,LNCaP,Epithelium,Prostate,1
63398|ZFP37,0.0002972616292724202,Homo sapiens,ZFP37,,HEK293,Epithelium,Embryonic Kidney,1
54514|ZBTB17,0.0002985474990600766,Homo sapiens,ZBTB17,tf,MCF-10A,Epithelium,Breast,1
1955|RUNX1,0.00029919237368463786,Homo sapiens,RUNX1,tf,Jurkat E6-1,T Lymphocyte,Blood,1
47330|FOXA1,0.0002998385446355107,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1
54024|ESR1,0.0002998385446355107,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
38203|CTCF,0.0003004860142969311,Homo sapiens,CTCF,tf,MCF-7,Epithelium,Breast,1
76278|CALU,0.0003004860142969311,Homo sapiens,CALU,other,Calu-3,None,Lung,1
49621|RARA,0.00030113478505703744,Homo sapiens,RARA,tf,MCF-7,Epithelium,Breast,1
55741|REST,0.00030113478505703744,Homo sapiens,REST,tf,K562,Erythroblast,Bone Marrow,1
63633|ZNF101,0.0003017848593078759,Homo sapiens,ZNF101,,HEK293,Epithelium,Embryonic Kidney,1
44577|AR,0.0003017848593078759,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
64525|RFX1,0.0003030889278694969,Homo sapiens,RFX1,tf,MCF-7,Epithelium,Breast,1
72502|ESR1,0.0003030889278694969,Homo sapiens,ESR1,tf,None,None,Breast,1
77061|ZNF682,0.0003030889278694969,Homo sapiens,ZNF682,tf,293T,None,None,1
65157|ZNF260,0.0003030889278694969,Homo sapiens,ZNF260,,HEK293,Epithelium,Embryonic Kidney,1
62755|FOSL2,0.00030374292698395674,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
47077|TAL1,0.0003043982391965115,Homo sapiens,TAL1,tf,None,Erythroid Cell,None,0
57110|EPO,0.0003050548669188246,Homo sapiens,EPO,not sure,RL95-2,None,Uterus,1
