,0,TF
MS00174|RUNX2,3.387989300856462e-22,RUNX2
MC00386|BCL6,2.5399145355642027e-13,BCL6
MS00739|E2F8,2.974216080565702e-13,E2F8
MC00328|Zfx,3.219367480040966e-13,Zfx
UP00423|Gm5454,4.790592512026767e-13,Gm5454
MS00523|Zic3,6.973499146475611e-13,Zic3
UP00094|Zfp128,8.236443641793446e-13,Zfp128
MS00235|SP4,1.0230123212390879e-12,SP4
MS00301|ZBTB7A,1.3752716646470784e-12,ZBTB7A
MS00157|Klf12,2.1119327009696784e-12,Klf12
M01118|WT1,2.702236199327474e-12,WT1
MC00183|Snai1,3.13707832256606e-12,Snai1
MS00346|ZIC3,4.761451382256052e-12,ZIC3
MS00534|CENPB,6.0533540732229836e-12,CENPB
MS00334|ZIC1,1.5866812658131556e-11,ZIC1
M00139|AHR,2.182813768589549e-11,AHR
MS00183|GMEB2,3.529676073539047e-11,GMEB2
MS00067|IRF5,3.791267101668964e-11,IRF5
MC00278|ETS1,5.0330924562823634e-11,ETS1
MC00140|Stat3,5.269018696873102e-11,Stat3
MC00160|ETV3,8.999753620175844e-11,ETV3
M01243|MTF1,1.0036662572630755e-10,MTF1
MA0131|HINFP,1.227611861554232e-10,HINFP
MC00333|ESR2,1.245571713503577e-10,ESR2
MC00128|CTCF,1.3494741341277771e-10,CTCF
MS00357|ZIC4,1.35196330541193e-10,ZIC4
MS00260|HEY2,1.409589768468782e-10,HEY2
UP00028|Tcfap2e,1.682900694899323e-10,Tcfap2e
M00332|FOXN1,1.7435439745039017e-10,FOXN1
MC00430|Egr2,2.0076241194649608e-10,Egr2
UP00088|PLAGL1,2.1166598447309717e-10,PLAGL1
M00647|NR1H3,2.33112365501595e-10,NR1H3
UP00412|Etv5,2.7832267022628837e-10,Etv5
MS00323|ZBTB7C,3.4427598340690585e-10,ZBTB7C
UP00057|ZIC2,3.8441503868766714e-10,ZIC2
MC00319|EGR2,4.035770185543986e-10,EGR2
MS00240|Tcfap2a,5.61145020823739e-10,Tcfap2a
MC00252|Rara,5.707337391500462e-10,Rara
MS00128|PAX9,6.455673700045478e-10,PAX9
MC00532|Mycn,6.72451493695351e-10,Mycn
MS00188|MGA,7.714785585063341e-10,MGA
MC00207|ELK4,7.775184973048913e-10,ELK4
MS00035|GLIS2,8.964509640057772e-10,GLIS2
MC00320|EGR1,9.033157142914468e-10,EGR1
M01009|HES1,9.062390359325978e-10,HES1
M00468|KLF12,1.0181909626027566e-09,KLF12
UP00031|Zbtb3,1.0336803450266996e-09,Zbtb3
MS00333|Mafb,1.0825399209863417e-09,Mafb
MS00211|TBX2,1.3110792668900073e-09,TBX2
MS00258|HEY1,1.5036636857924886e-09,HEY1
MC00461|Max,1.581747888931162e-09,Max
MC00113|SP1,1.7706547901047317e-09,SP1
MS00021|ETV6,2.106902698452248e-09,ETV6
UP00404|ELF2,2.2888385324209744e-09,ELF2
MS00227|TFAP2A,3.1587281509891473e-09,TFAP2A
MS00268|YY2,3.3305061073624326e-09,YY2
M01109|ZNF589,3.3923170831676637e-09,ZNF589
MS00146|KLF16,3.765984651226206e-09,KLF16
MS00228|TFAP2B,3.793828273492649e-09,TFAP2B
MS00048|GCM1,3.889237502062194e-09,GCM1
MS00102|MYBL2,4.9341346356220455e-09,MYBL2
MS00290|ZBED1,5.3230466879273245e-09,ZBED1
MS00312|ZBTB7B,5.359925752409137e-09,ZBTB7B
MC00394|MYC,5.6565079835806875e-09,MYC
M00792|SMAD1,6.0125280225529395e-09,SMAD1
M01714|KLF15,6.3512835393078075e-09,KLF15
MC00457|ELF1,7.432714948599474e-09,ELF1
MC00187|Ctcf,1.1062839874418352e-08,Ctcf
MC00262|ARNT,1.6588080789949685e-08,ARNT
M01744|ZFP42,1.6696148008604687e-08,ZFP42
MC00206|ELK1,1.9698729677817244e-08,ELK1
M01067|GFI1,2.2926386348884977e-08,GFI1
UP00010|Tcfap2b,2.4525813177129876e-08,Tcfap2b
MS00223|SP3,2.7010054291679656e-08,SP3
MC00110|Klf1,2.774726183677375e-08,Klf1
MC00477|ZNF711,2.8676352074697193e-08,ZNF711
UP00087|Tcfap2c,2.9757803787932912e-08,Tcfap2c
M00491|PATZ1,3.091801140628884e-08,PATZ1
MS00062|HSFY2,3.544205708247343e-08,HSFY2
MC00367|GABPA,3.946088928798453e-08,GABPA
MC00109|Klf4,4.420553655343692e-08,Klf4
MC00364|NFYA,4.889534073637872e-08,NFYA
MS00246|SP8,5.678177766642855e-08,SP8
UP00086|IRF3,7.402301241055683e-08,IRF3
M01248|NR0B1,8.036073794072623e-08,NR0B1
M00500|STAT6,9.812899313879451e-08,STAT6
UP00020|ATF1,1.1687934552226462e-07,ATF1
M00179|ATF2,1.2520449184730373e-07,ATF2
MC00174|REST,1.331034456627069e-07,REST
M00649|MAZ,1.339786356161438e-07,MAZ
MS00024|GLIS1,1.475827226834663e-07,GLIS1
MS00160|PROX1,1.519998947076988e-07,PROX1
MS00843|GLI2,1.569879945261057e-07,GLI2
MC00191|Nfya,1.5927671203069297e-07,Nfya
MA0145|Tcfcp2l1,1.594835418357139e-07,Tcfcp2l1
MC00373|Mxi1,1.697600079335893e-07,Mxi1
MS00727|ZBTB49,1.7074792942730223e-07,ZBTB49
M00514|ATF4,1.9138504473894743e-07,ATF4
MC00408|Myb,2.1175410934843953e-07,Myb
M01104|Ovol2,2.5469725427346084e-07,Ovol2
MS00274|NHLH1,3.6986867410591816e-07,NHLH1
MS00022|Elf5,4.1420299553950176e-07,Elf5
M01592|TFCP2L1,5.278157733857443e-07,TFCP2L1
MC00203|RFX3,6.367124598105968e-07,RFX3
M01112|RBPJ,7.175244152077543e-07,RBPJ
UP00038|Spdef,7.750566661877954e-07,Spdef
MS00288|TFE3,8.210443734915109e-07,TFE3
MC00170|PGR,9.456688785005637e-07,PGR
MC00391|ZNF143,1.1522892109200163e-06,ZNF143
MS00023|Elk3,1.3373208216316783e-06,Elk3
M01105|ZNF350,1.8063104683608488e-06,ZNF350
MC00448|Nr1h2,2.121939091902727e-06,Nr1h2
MS00838|ELF5,2.223384493886073e-06,ELF5
UP00413|Elf4,2.346441812269893e-06,Elf4
MC00125|Rest,2.820339571465608e-06,Rest
MS00401|ZNF306,4.665746160509366e-06,ZNF306
M01207|ETS2,4.714484146482026e-06,ETS2
MS00018|ETV4,5.023846620353612e-06,ETV4
MS00834|ELF4,5.415092966769149e-06,ELF4
MC00316|HIF1A,5.536790878773368e-06,HIF1A
MA0161|NFIC,5.948603194134851e-06,NFIC
MS00027|FLI1,6.5377443750958365e-06,FLI1
M00085|ZBTB6,6.684914215307568e-06,ZBTB6
M00490|BACH2,7.154898162501623e-06,BACH2
MS00533|LBX2,7.301720324131853e-06,LBX2
MC00473|ATF3,7.318182565201616e-06,ATF3
MC00359|TP53,7.995482179563859e-06,TP53
MC00475|Nfic,8.093503633174143e-06,Nfic
MS00019|ETV5,8.197755502883224e-06,ETV5
MS00684|RARG,9.079786184560157e-06,RARG
MS00248|BHLHB3,9.484181496559799e-06,BHLHB3
MS00285|TCF4,9.649746481636037e-06,TCF4
M01656|Trp63,9.703817290730442e-06,Trp63
MS00848|ERG,1.0184140887822245e-05,ERG
MS00756|E2F7,1.1016807712884157e-05,E2F7
MC00468|AR,1.1358401342428765e-05,AR
MS00846|ERF,1.2133777886683147e-05,ERF
MS00072|IRF8,1.2387456557465223e-05,IRF8
MC00439|TP63,1.271349261777516e-05,TP63
MS00124|KLF13,1.6979971019304932e-05,KLF13
MC00518|Tfcp2,1.8657660379464262e-05,Tfcp2
UP00085|Sfpi1,2.2305425695719507e-05,Sfpi1
MS00383|FOXO4,2.2831636799721134e-05,FOXO4
UP00024|Glis2,2.4639482957588895e-05,Glis2
UP00095|Zfp691,2.7359872498659543e-05,Zfp691
M01241|GTF2IRD1,2.9168565972343576e-05,GTF2IRD1
MA0051|IRF2,2.929042656511875e-05,IRF2
MS00256|HES7,3.28889532491199e-05,HES7
MC00335|ESR1,4.04026373044257e-05,ESR1
MC00132|TP73,4.1541304114625864e-05,TP73
MS00331|MAFK,4.5603677406888325e-05,MAFK
MC00224|EPAS1,4.570627369299081e-05,EPAS1
MC00163|Creb1,4.594388864849548e-05,Creb1
UP00000|SMAD3,4.7487302279906734e-05,SMAD3
MS00016|ETV2,5.016637293316668e-05,ETV2
MS00247|BHLHB2,5.216412544905311e-05,BHLHB2
MS00836|HOXD12,5.984429321514496e-05,HOXD12
MS00111|NFKB2,6.684926351941835e-05,NFKB2
MS00514|Hoxa11,6.971160863794569e-05,Hoxa11
M00644|UBP1,7.095199109085692e-05,UBP1
MS00308|CREB3,7.221446482913022e-05,CREB3
MS00475|HMX3,7.586420481342176e-05,HMX3
MC00289|HSF1,7.987061961539094e-05,HSF1
MC00142|PPARG,8.123719050882438e-05,PPARG
MS00255|HES5,8.345010282533284e-05,HES5
MS00844|ELK3,9.353082715671837e-05,ELK3
MC00334|SIX5,9.592840776490484e-05,SIX5
MC00377|Trp53,9.859041611412203e-05,Trp53
MS00729|ZNF282,0.00010332931054148496,ZNF282
MC00124|MAX,0.00010585869733236212,MAX
MS00327|MAFG,0.0001185890558715443,MAFG
UP00066|HNF4A,0.00012060605500901849,HNF4A
MS00025|FEV,0.0001321852302014712,FEV
M01247|NANOG,0.00013333976623766292,NANOG
MS00304|CREB3L1,0.00013487089519935306,CREB3L1
M00518|PPARG::RXRA,0.00014101578695834826,PPARG::RXRA
MC00465|NR3C1,0.00016251617613306492,NR3C1
UP00177|Hoxd12,0.00016371787299451592,Hoxd12
MC00407|Myc,0.00019150061978771192,Myc
MS00065|IRF4,0.00020379105513983187,IRF4
M00456|BPTF,0.00020632288211228715,BPTF
M01122|ZNF219,0.0002294234049686934,ZNF219
MC00396|Nr3c1,0.00023931042825128525,Nr3c1
MA0163|PLAG1,0.0002844724844433607,PLAG1
MC00337|Ikzf3,0.00030164452196641166,Ikzf3
MS00177|RUNX3,0.00033707445174686955,RUNX3
MS00778|EHF,0.00033730589064074896,EHF
UP00052|Osr2,0.00035532390811247514,Osr2
MC00372|Yy1,0.00035619907448030297,Yy1
M00694|E4F1,0.00036478496807333997,E4F1
M01037|GLI1,0.0003988606279671279,GLI1
UP00125|PITX2,0.0004058376051503762,PITX2
UP00184|Lhx8,0.0004195271430368601,Lhx8
MS00694|RXRG,0.00042416660569691473,RXRG
MS00110|NFKB1,0.0004356116573845435,NFKB1
MS00479|ZNF784,0.0004657953909009503,ZNF784
MC00295|Esr1,0.0006239492467872154,Esr1
MC00281|PBX3,0.0006381504061761365,PBX3
UP00152|Arx,0.0006967704104931569,Arx
UP00112|Gsc,0.000771567096664101,Gsc
UP00197|HOXC9,0.0007881383359856354,HOXC9
MS00217|TBX5,0.0008129117338069937,TBX5
M00115|CNTN2::CREB1,0.0008216502339930457,CNTN2::CREB1
M01334|Nkx1-1,0.0008459940481784582,Nkx1-1
MS00252|Bhlhb2,0.0008680555547147256,Bhlhb2
MS00311|Creb3l2,0.0008926901371194213,Creb3l2
M00133|POU3F1,0.0009733609686772645,POU3F1
MS00207|TBX21,0.0009958639726447317,TBX21
MA0155|INSM1,0.0010296042213918538,INSM1
MC00223|SMAD2/3,0.0011782718412384615,SMAD2/3
UP00199|SIX4,0.0012066929913269338,SIX4
MA0073|RREB1,0.001247398288801384,RREB1
MS00251|BHLHE41,0.001266917250898953,BHLHE41
MC00374|TFAP2C,0.0012827388374233473,TFAP2C
M01075|ZBTB16,0.0013316440569050435,ZBTB16
MS00046|GLIS3,0.001405112434456018,GLIS3
UP00151|BARX2,0.0015631721447710348,BARX2
MS00506|HOXD11,0.00161713143704697,HOXD11
MS00527|IRX5,0.0016429193576706935,IRX5
MC00392|SMAD4,0.0016913693160253796,SMAD4
M00433|Hmx3,0.0021395727723790073,Hmx3
MS00517|Hoxc10,0.0021547820507031,Hoxc10
MS00433|DMBX1,0.0021962749371235656,DMBX1
MS00316|Dbp,0.002404726019710035,Dbp
MS00414|BARHL2,0.002712672111744205,BARHL2
MC00467|RXRA,0.002933345979969655,RXRA
MS00521|Hoxd3,0.003064434001157167,Hoxd3
UP00035|HIC1,0.0036692645372321197,HIC1
MS00073|IRF9,0.003909781964669709,IRF9
M00478|CDC5L,0.004094971953473187,CDC5L
MS00045|GATA5,0.004489870938367389,GATA5
UP00009|Nr2f2,0.004710414905472837,Nr2f2
M00999|AIRE,0.004889462404299656,AIRE
MC00385|Ets1,0.004957152432597165,Ets1
MS00070|IRF7,0.005032570925645499,IRF7
MS00822|NFIX,0.005141633284099694,NFIX
MS00302|CEBPG,0.0053757525085494735,CEBPG
UP00119|Nkx2-9,0.005466955539592105,Nkx2-9
MS00556|GRHL1,0.005881580208601681,GRHL1
MS00343|FOXB1,0.005895692615515478,FOXB1
MS00168|PRDM1,0.006140491830212059,PRDM1
MS00313|Creb5,0.006270938421058007,Creb5
MC00342|YY1,0.006340183587179423,YY1
MS00057|HIC2,0.006443123581626403,HIC2
MS00525|Hoxd9,0.006474633490661105,Hoxd9
MS00162|RFX2,0.00660190439657575,RFX2
MS00503|HOXC12,0.007082407354445217,HOXC12
MS00579|TFCP2,0.007406169741494939,TFCP2
MC00130|Pparg,0.007479210888447047,Pparg
UP00021|Zfp281,0.0075623965168764564,Zfp281
MS00812|ELF3,0.008247101463674203,ELF3
MS00532|Irx3,0.008380856320133976,Irx3
MC00129|Fli1,0.009822970157212691,Fli1
MS00114|NFIB,0.010274544434614294,NFIB
MS00315|DBP,0.010906328508764525,DBP
MS00267|MNT,0.011250070442735405,MNT
MS00423|ZNF524,0.011287474362595118,ZNF524
UP00164|HOXA7,0.011542918487358503,HOXA7
MS00171|Rfx2,0.011710676023027734,Rfx2
MC00476|Rarg,0.011711660176723213,Rarg
UP00261|LHX4,0.01189194452805096,LHX4
MS00339|TEF,0.012892042469082519,TEF
MS00194|TBX19,0.013193565691638548,TBX19
UP00140|Hoxd1,0.013207783321557606,Hoxd1
MS00360|FOXG1,0.013208270166554337,FOXG1
MS00358|FOXD3,0.013335285532943116,FOXD3
MS00496|HOXC10,0.013506406581101681,HOXC10
MC00362|Arntl,0.013986907953702924,Arntl
MS00366|FOXJ2,0.015233294816954209,FOXJ2
M00467|ZNF423,0.01599372414973433,ZNF423
MS00253|CLOCK,0.016110893753068636,CLOCK
MS00355|FOXD2,0.016628718338837143,FOXD2
MS00202|TBX20,0.01679223168275267,TBX20
MS00474|HMX2,0.01716394088717678,HMX2
UP00159|SIX2,0.017489735780452893,SIX2
MS00317|HLF,0.018574845253643796,HLF
MS00264|MESP1,0.018977832878223622,MESP1
MS00710|THRB,0.019084325931497503,THRB
UP00056|RFX4,0.019795437083755377,RFX4
UP00206|Hoxb7,0.01997241921712023,Hoxb7
UP00389|NKX3-1,0.02010926731398249,NKX3-1
MC00169|Usf2,0.02049045624387918,Usf2
UP00243|Isx,0.020525344201906298,Isx
UP00190|NKX2-3,0.020809281012292232,NKX2-3
MS00480|HOXA10,0.020840748749808638,HOXA10
UP00193|Rhox11,0.021728589528873025,Rhox11
UP00150|IRX6,0.021935604392128355,IRX6
MS00497|HOXC11,0.02255554292223849,HOXC11
UP00148|Hdx,0.02258073385479092,Hdx
MC00344|Hnf4a,0.025038095466467958,Hnf4a
M00465|POU6F1,0.02560515852102337,POU6F1
MC00304|FOXH1,0.02585288086914459,FOXH1
M00159|CEBPA,0.02635026393265228,CEBPA
UP00132|Evx2,0.026452717929279248,Evx2
MA0040|Foxq1,0.027058934293191835,Foxq1
UP00259|HOXB6,0.029519164767436684,HOXB6
MA0101|REL,0.030189635047233838,REL
UP00236|IRX2,0.03063383299763921,IRX2
UP00048|RARA,0.0319877231216252,RARA
MS00011|BCL6B,0.032802769237467694,BCL6B
MS00386|FOXO6,0.03288195634356235,FOXO6
M00750|HMGA1,0.033024889770862584,HMGA1
MS00101|Hic1,0.033182456695897075,Hic1
M01288|NEUROD1,0.034299715364942106,NEUROD1
MC00121|Cebpb,0.034997579343449735,Cebpb
M00222|TCF3,0.03575994974901605,TCF3
MS00476|HNF1A,0.03604870785466544,HNF1A
MS00318|Hlf,0.036384332512163164,Hlf
UP00218|Dbx2,0.0391667264863187,Dbx2
UP00117|Hoxd11,0.039611116634945855,Hoxd11
M00483|ATF6,0.04116764868146985,ATF6
UP00213|HOXA9,0.045184985811838434,HOXA9
MS00463|GSC2,0.04597537466389163,GSC2
MS00473|HMX1,0.04617441778057669,HMX1
M01148|DMRT3,0.047958279593086135,DMRT3
MS00033|SPDEF,0.050065570847386644,SPDEF
UP00207|HOXB9,0.05341699877420255,HOXB9
MS00419|BSX,0.05631363128664735,BSX
UP00030|Sox11,0.05725960238528388,Sox11
UP00043|Bcl6b,0.05824630116514075,Bcl6b
MS00528|ISL2,0.06035407961336681,ISL2
UP00027|Osr1,0.060908297423185,Osr1
MS00325|Jdp2,0.06156215761179023,Jdp2
MS00320|JDP2,0.06480424380016535,JDP2
UP00192|SIX1,0.06489451839136053,SIX1
MA0386|TBP,0.06749047246534322,TBP
M01466|Obox3,0.07058123026051608,Obox3
MS00520|Hoxd13,0.0720298839607296,Hoxd13
M00155|NR2F2,0.07205414904568569,NR2F2
MS00489|HOXB13,0.07243961437678784,HOXB13
MS00326|MAFF,0.07404393027308233,MAFF
M00416|ALX1,0.0762351679756788,ALX1
MS00638|ESRRG,0.0775777115374985,ESRRG
MS00472|HMBOX1,0.07812263909040937,HMBOX1
MS00376|FOXO1,0.07832451076127558,FOXO1
MS00300|CEBPE,0.07870673712427516,CEBPE
MS00505|HOXC13,0.08002013061054541,HOXC13
M01364|Obox2,0.08137645947936474,Obox2
UP00194|IRX4,0.08159459474423675,IRX4
MC00193|RELA,0.08302870111211591,RELA
MS00131|POU2F1,0.08381018313247879,POU2F1
MS00338|NRL,0.08418217691807171,NRL
MC00339|NFE2L2,0.08462016985858468,NFE2L2
MS00577|NKX6-2,0.08719605005907732,NKX6-2
UP00185|PBX1,0.08793348747245451,PBX1
MS00337|NFIL3,0.08866295000177413,NFIL3
MS00445|ZNF740,0.08951405812313362,ZNF740
MS00609|RHOXF1,0.08958720817698575,RHOXF1
UP00161|Hmbox1,0.08990967774834206,Hmbox1
MC00135|Rela,0.09040080545390375,Rela
UP00244|TLX2,0.09309399474329766,TLX2
M01435|Rhox6,0.09311907271179688,Rhox6
MC00368|Hsf1,0.09346283951195489,Hsf1
MS00271|NEUROD2,0.09392746708585716,NEUROD2
MS00294|ATF7,0.09456028732128009,ATF7
MS00557|MNX1,0.0958986310690009,MNX1
MS00466|GSX2,0.09647050825116443,GSX2
MS00588|PDX1,0.10191993506330492,PDX1
MS00370|FOXJ3,0.10294358847105503,FOXJ3
MS00485|HOXA13,0.10348550903497768,HOXA13
MS00732|CPEB1,0.10544128340536589,CPEB1
MS00486|HOXA1,0.10692365716341704,HOXA1
M01149|Dmrta1,0.10750697960758758,Dmrta1
MA0116|Zfp423,0.10772132771519048,Zfp423
UP00175|Lhx9,0.10960862945757355,Lhx9
MS00169|RFX5,0.11226297772772725,RFX5
M00041|ATF2::JUN,0.11505368652298097,ATF2::JUN
MS00214|TBX4,0.11517318947231871,TBX4
MS00709|THRA,0.11578321242234084,THRA
UP00263|Hoxb8,0.1162008735574156,Hoxb8
MS00126|PAX7,0.11644554853301614,PAX7
MS00491|HOXB2,0.11697380208213161,HOXB2
MS00539|LHX6,0.11797951543771752,LHX6
MS00449|EN1,0.11888896286842619,EN1
MC00272|CEBPB,0.11930830815711718,CEBPB
M01723|SATB1,0.12041783164717294,SATB1
UP00221|PHOX2A,0.12126851051580134,PHOX2A
MS00586|Otx1,0.12275915432706455,Otx1
MS00626|VSX1,0.12506016720561916,VSX1
MS00291|Tcf21,0.12789858415761401,Tcf21
M00105|CUX1,0.13190673367384317,CUX1
M00454|ARID5B,0.1328860243742864,ARID5B
MS00512|Zfp740,0.1331367678900421,Zfp740
MS00478|HNF1B,0.13706173414108,HNF1B
MA0031|FOXD1,0.13975438588874448,FOXD1
MS00581|Nkx6-1,0.14051496626920254,Nkx6-1
MC00305|Sox6,0.14453681428731824,Sox6
MC00293|Gfi1b,0.14603753434639308,Gfi1b
MC00357|Crx,0.15422561967588508,Crx
MC00413|Runx1,0.15698388219850143,Runx1
MS00555|MIXL1,0.15895820449753248,MIXL1
UP00238|Nkx6-3,0.16073685850978595,Nkx6-3
MS00144|POU3F3,0.16092882241029477,POU3F3
MS00145|POU3F4,0.16631833671648075,POU3F4
MS00243|Ascl2,0.16690974396303204,Ascl2
MS00662|NR3C2,0.16709119364874866,NR3C2
MS00418|BARX1,0.1718431546540905,BARX1
MS00299|CEBPD,0.17196350135954167,CEBPD
M01312|NKX2-1,0.17382778157107207,NKX2-1
MC00501|FOXP1,0.1781016593405018,FOXP1
MS00593|PHOX2B,0.17836035070780357,PHOX2B
M00062|IRF1,0.17958350935335393,IRF1
MS00441|EMX1,0.18724706847500464,EMX1
MS00547|Lhx4,0.18848568312404926,Lhx4
MC00192|ZNF263,0.18851607179905777,ZNF263
MS00596|PITX3,0.18877179645673034,PITX3
MS00455|EVX2,0.1892818054859685,EVX2
MS00575|NKX6-1,0.19127703138913288,NKX6-1
MS00740|SOX10,0.20298618412245903,SOX10
MS00373|FOXL1,0.20328295620273454,FOXL1
MS00679|ONECUT2,0.20537977203572363,ONECUT2
MS00552|MEOX2,0.2055660553750127,MEOX2
MS00785|SOX9,0.20766752283629372,SOX9
MS00700|Rarb,0.21403260471824048,Rarb
MS00422|Barhl1,0.21761017919560868,Barhl1
UP00169|LMX1B,0.2213522592827245,LMX1B
MS00769|SOX7,0.22185061118384472,SOX7
MS00606|RAX,0.2219903390171931,RAX
MC00122|Cebpa,0.2258625438888385,Cebpa
MS00543|LMX1A,0.2282820754397218,LMX1A
MC00355|SRF,0.23418283697355496,SRF
UP00187|ALX4,0.23439102541799925,ALX4
MS00405|ARX,0.23592036225084043,ARX
MS00469|Gbx2,0.23671691978391765,Gbx2
MS00805|Sox3,0.2385951955365987,Sox3
MA0030|FOXF2,0.23975765108944946,FOXF2
MS00460|GBX2,0.2414485850202008,GBX2
MS00425|CDX1,0.24543993675924936,CDX1
MC00265|Tcf3,0.247504731615922,Tcf3
MS00265|MLXIPL,0.24760595672632632,MLXIPL
MS00352|FOXC2,0.2482814965337957,FOXC2
MS00470|HESX1,0.24925356211431818,HESX1
M01004|IKZF2,0.252645449490247,IKZF2
MS00440|Dlx2,0.25561369522530486,Dlx2
UP00242|HOXC8,0.26081331423348586,HOXC8
M00706|GTF2I,0.26798101109140476,GTF2I
MS00582|OTX1,0.2725756589575303,OTX1
MS00289|TFEB,0.2728342508099958,TFEB
UP00082|Zfp187,0.2730127391405528,Zfp187
MS00088|Meis3,0.27539333712599784,Meis3
MC00389|CDX2,0.2783551684614725,CDX2
MS00597|PROP1,0.28740969450091725,PROP1
MS00055|HOMEZ,0.28787641075911435,HOMEZ
MS00437|DRGX,0.2880564529662409,DRGX
UP00121|Hoxd10,0.29265708576571897,Hoxd10
UP00120|Lbx2,0.2935554885567335,Lbx2
M01480|Obox5,0.29394918338467246,Obox5
MS00397|Foxj3,0.29655535568197267,Foxj3
MC00341|Olig2,0.2994274926660575,Olig2
UP00241|HOXD3,0.2997652352291756,HOXD3
UP00041|Foxj1,0.3001481646357945,Foxj1
UP00138|Bsx,0.3029414807998278,Bsx
MS00464|GSC,0.3037323696350279,GSC
M00640|HOXA4,0.30442114574345164,HOXA4
MS00428|DLX2,0.30501317259912947,DLX2
UP00166|BARHL1,0.3050730626361753,BARHL1
MS00362|FOXI1,0.30572088877022546,FOXI1
M00964|NR1I2,0.30826975271043067,NR1I2
MS00151|POU4F3,0.31231040297224266,POU4F3
MS00388|Foxc1,0.3151500473310463,Foxc1
MC00348|STAT1,0.3168273419978545,STAT1
M00526|NR6A1,0.31871286842724145,NR6A1
MS00686|RORA,0.3192428462219793,RORA
M00495|BACH1,0.3203894760371346,BACH1
UP00144|Hoxb4,0.3219505376663182,Hoxb4
UP00137|Hoxb3,0.32505647226810164,Hoxb3
MC00217|FOXA2,0.3270302027943872,FOXA2
MS00452|ESX1,0.32915347071032414,ESX1
MS00511|HOXD13,0.32933175885678834,HOXD13
MS00513|HOXD8,0.3296102781909566,HOXD8
UP00091|SOX5,0.3316759455432713,SOX5
MC00511|Rxrg,0.3337801361868563,Rxrg
M01483|Dbx1,0.3365084737293256,Dbx1
MC00458|TAL1,0.3375565070770821,TAL1
MS00155|POU6F2,0.33763544702583814,POU6F2
MC00369|Myod1,0.33823008219176987,Myod1
MS00551|MEOX1,0.34203237858212754,MEOX1
MS00717|Tp53,0.342253334954991,Tp53
M00648|MAF,0.34294730007341273,MAF
UP00195|SIX3,0.34362171944004855,SIX3
UP00231|NKX2-2,0.34668373073764575,NKX2-2
MS00468|ZNF75A,0.3475318317462604,ZNF75A
MS00407|Alx1,0.3492527328626447,Alx1
MS00431|DLX5,0.3493174674360801,DLX5
MS00808|TFEC,0.35085748132832223,TFEC
MS00393|Foxg1,0.35160617371033825,Foxg1
M00405|MEF2A,0.3519230418520313,MEF2A
MS00387|FOXP3,0.3614733652323106,FOXP3
