,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
38585|TAF3,0.00000000000000000000000000000000000000000036444265474946950747709752519389248085413340156240844497052590169687389781737045557393304698986431607337175714178187942664278473230514763632133185559822802217507299247714826212932387604154690491708989,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
4929|TAFII,0.00000000000000000000000000000000000000000036655359385640364347876098518962034527238287661101057629243374872063789039072051463263658027943871105189179867267941317342600393780488214061033831125060432421532309246608163000596312352383598069445939,Homo sapiens,TAFII,not sure,H1,Embryonic Stem Cell,Embryo,1,TAFII
5195|YY1,0.00000000000000000000000000000000000000000041917586683826309780678582835422577159518082636183772449293970392463138698646481809342313568235804821022355324838656774227809224798036872258460134745408359093104733629624559245604208602969032485798169,Homo sapiens,YY1,tf,None,T Lymphocyte,Blood,1,YY1
43400|XBP1,0.00000000000000000000000000000000000000000087195626825125441975348882481756866712032226998815715844458174377344922657571776659000038098747640888700921248482326949160346903391780447314994727399979597088937112394214624142836811227845954565804664,Homo sapiens,XBP1,tf,T47D,Epithelium,Mammary Gland,1,XBP1
49481|RPE,0.0000000000000000000000000000000000000000013306323142711486705422582999353411062710446469307778332561526184539489329678246995871716082067387839874909591512094620966760568941399914758272576674723034799512558087778515332219691705022190787401487,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
38654|NFATC1,0.0000000000000000000000000000000000000000028482828355975820133027473738332905771801477779238848702174881548323161654001073129503557851775275819641570930002683275772676997338402472079751959517778206880866755718094540668823736167205201710142906,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
43104|NOTCH1,0.0000000000000000000000000000000000000000074158149404543383610397602002959771873692132681718154563753627300636370805420808677893487927222900947068514738865898828638293071245813341048833658116236842342656786153228850097045605564094697972186484,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
5570|POLR2M,0.000000000000000000000000000000000000000030222128858471990358494656885821426504037165085614219519371922157444377123592860231276532470328091312217784974169606927453927068784654289856073417537284826053155805379002367737121065280395356029950317,Homo sapiens,POLR2M,tf,HeLa,Epithelium,Cervix,1,POLR2M
32814|MAX,0.000000000000000000000000000000000000000035419799618624080864288826337148072033119722557415323562041926643535788045416278898615487559090280913822723494876658400170227853220953830367383383825702122887973678130490012213766821408373532644344542,Homo sapiens,MAX,tf,P493-6,B cell lymphoma,None,1,MAX
50876|SPI1,0.000000000000000000000000000000000000000081888660154266204246456232476485373815959706817872903996600502893601887437905408039300063106534769074460525400711015980087372168519989301769785015366286729609912468224377300785386264414387618909523849,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
63097|SMAD5,0.000000000000000000000000000000000000000088062220425339973455257857889823807275505680011294508486209428323913461568264692586267003587381227966088482786849536685379494860090469179016582371122040288238773168326409073741633559930308334903383621,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
