,0,TF
M00483|ATF6,1.4836551453731826e-12,ATF6
MS00512|Zfp740,1.5067735900327122e-12,Zfp740
MC00467|RXRA,2.16412135145952e-12,RXRA
MA0081|SPIB,2.51685235986385e-12,SPIB
MC00129|Fli1,2.5314816120320256e-12,Fli1
MC00357|Crx,2.913670914327869e-12,Crx
MS00217|TBX5,3.83518011975512e-12,TBX5
MS00202|TBX20,5.8685528692082596e-12,TBX20
MS00274|NHLH1,7.615702207999857e-12,NHLH1
MS00713|THRB,8.241740651690467e-12,THRB
MS00739|E2F8,1.0406611332110117e-11,E2F8
MS00401|ZNF306,1.118595007690548e-11,ZNF306
M00649|MAZ,1.1800451612411528e-11,MAZ
MS00778|EHF,1.3365678868171352e-11,EHF
MS00065|IRF4,1.3370259293656442e-11,IRF4
MS00294|ATF7,1.531737020577237e-11,ATF7
UP00112|Gsc,1.9125506635181475e-11,Gsc
MC00374|TFAP2C,1.9503529720560885e-11,TFAP2C
MS00160|PROX1,2.1134495597360515e-11,PROX1
MS00062|HSFY2,2.307090133879798e-11,HSFY2
MS00343|FOXB1,2.4204041264801647e-11,FOXB1
M00500|STAT6,2.936623517619499e-11,STAT6
MC00476|Rarg,4.451710487808735e-11,Rarg
MS00579|TFCP2,5.273891190354438e-11,TFCP2
MS00556|GRHL1,5.426347717163727e-11,GRHL1
MC00223|SMAD2/3,6.56553466937214e-11,SMAD2/3
MS00057|HIC2,8.144786439422264e-11,HIC2
UP00009|Nr2f2,9.301818316177273e-11,Nr2f2
MC00448|Nr1h2,9.51586026422634e-11,Nr1h2
MC00170|PGR,1.0421179168018722e-10,PGR
M01656|Trp63,1.170479252739336e-10,Trp63
MS00433|DMBX1,1.2560788593326723e-10,DMBX1
MA0116|Zfp423,1.3240568163286732e-10,Zfp423
MC00344|Hnf4a,1.5475685648783676e-10,Hnf4a
MS00194|TBX19,1.669709380109112e-10,TBX19
MC00289|HSF1,1.7363054130141665e-10,HSF1
MS00638|ESRRG,1.740007641288716e-10,ESRRG
MC00337|Ikzf3,1.8678712405572212e-10,Ikzf3
MS00609|RHOXF1,1.9108768360212464e-10,RHOXF1
MC00281|PBX3,2.3046405851113543e-10,PBX3
M00105|CUX1,2.399891584097211e-10,CUX1
M00644|UBP1,2.590371717159804e-10,UBP1
UP00184|Lhx8,3.2088340815548197e-10,Lhx8
M00706|GTF2I,3.222126449344717e-10,GTF2I
M01067|GFI1,5.484048618507848e-10,GFI1
MS00626|VSX1,5.903553120225376e-10,VSX1
MS00073|IRF9,6.259437602637002e-10,IRF9
MS00072|IRF8,6.722476340263896e-10,IRF8
M00490|BACH2,6.80696394042262e-10,BACH2
