,0,TF
UP00035|HIC1,0.021862164099123414,HIC1
MC00187|Ctcf,0.02202663720001455,Ctcf
MS00524|Hoxd9,0.02233068386791923,Hoxd9
MC00293|Gfi1b,0.022550437118429308,Gfi1b
MC00508|Batf,0.023247080038906697,Batf
MS00740|SOX10,0.02341216298430536,SOX10
MS00495|HOXC10,0.02354549239852909,HOXC10
M00085|ZBTB6,0.023584761218245025,ZBTB6
MS00089|Meis3,0.024093071766868045,Meis3
MS00492|HOXB3,0.024458557454873738,HOXB3
MS00268|YY2,0.024982873936963218,YY2
MC00505|POLR2B,0.025049329550112243,POLR2B
UP00088|PLAGL1,0.025290859348637368,PLAGL1
MC00413|Runx1,0.02582913468594959,Runx1
MC00248|USF1,0.025946161303400914,USF1
MS00335|Mafb,0.02620303202360775,Mafb
MC00512|Esrrb,0.02635651089875301,Esrrb
MC00513|SFPI1,0.02662833935772484,SFPI1
MS00218|T,0.026718301206248095,T
MC00304|FOXH1,0.02814091146450046,FOXH1
MS00288|TFE3,0.028232499712946155,TFE3
MS00216|TBX5,0.02875952088136281,TBX5
M00405|MEF2A,0.029931527194028112,MEF2A
UP00011|IRF6,0.029999221687468113,IRF6
MS00093|Pknox2,0.030036504056526105,Pknox2
MC00334|SIX5,0.030543466019808303,SIX5
M00624|DBP,0.030614276682428013,DBP
MA0161|NFIC,0.030809321408165453,NFIC
MC00532|Mycn,0.03127647604223499,Mycn
MC00128|CTCF,0.03140715040224302,CTCF
MS00318|Hlf,0.03146504530485418,Hlf
MC00457|ELF1,0.03183487374213289,ELF1
MC00356|Tbx21,0.03190009863371487,Tbx21
MC00141|Stat1,0.03196790257021346,Stat1
MS00359|FOXD3,0.03208544585687938,FOXD3
M01247|NANOG,0.03209382461762479,NANOG
M00341|GABPB1,0.03228722896984731,GABPB1
M00737|E2F1::TFDP2,0.03258873463651716,E2F1::TFDP2
UP00161|Hmbox1,0.03330944985199548,Hmbox1
UP00148|Hdx,0.034282292416748544,Hdx
MS00162|RFX2,0.034889334215105317,RFX2
M00483|ATF6,0.03518630376826741,ATF6
UP00423|Gm5454,0.03724814162925069,Gm5454
UP00147|Nkx2-6,0.04103103002604037,Nkx2-6
UP00195|SIX3,0.04184714923951168,SIX3
MC00120|GATA1,0.04185531401072749,GATA1
MC00407|Myc,0.041942788749407794,Myc
M00632|GATA4,0.042871009750811456,GATA4
M00792|SMAD1,0.04324812888825736,SMAD1
MC00502|HMGN1,0.04352097293668943,HMGN1
M01364|Obox2,0.04385874195632047,Obox2
MS00256|HES7,0.04452188773352345,HES7
M00041|ATF2::JUN,0.04477954824723513,ATF2::JUN
MC00351|FOSL1,0.04536887073225051,FOSL1
M01010|HMGA1,0.04544080762960293,HMGA1
MC00398|FLI1,0.04549995639547032,FLI1
MS00586|Otx1,0.04559567900280368,Otx1
MS00282|Srebf1,0.04678927940017638,Srebf1
MC00392|SMAD4,0.047786114973658304,SMAD4
MS00057|HIC2,0.04926437654057416,HIC2
M00222|TCF3,0.05067902313782757,TCF3
M01450|Obox1,0.05117514857752389,Obox1
UP00159|SIX2,0.051218773223418446,SIX2
M01722|RORB,0.05149851687638613,RORB
UP00190|NKX2-3,0.05226997931939304,NKX2-3
M00999|AIRE,0.052318337849085725,AIRE
M00456|BPTF,0.05232545223502595,BPTF
MS00019|ETV5,0.0529091028377914,ETV5
MS00251|BHLHE41,0.05330956778252038,BHLHE41
MS00190|SCRT2,0.05424867384476276,SCRT2
MS00692|RXRB,0.0543843982430866,RXRB
MS00704|Rarg,0.054841809617425324,Rarg
M00467|ZNF423,0.05497368614898054,ZNF423
MC00280|NR4A1,0.05521853221418141,NR4A1
UP00040|Irf5,0.055571471670322885,Irf5
UP00065|Zfp161,0.05642390688548089,Zfp161
MA0365|RFX1,0.056633230953191754,RFX1
MC00327|Gata1,0.05865352444228836,Gata1
UP00170|Isl2,0.059608061396904846,Isl2
MS00366|FOXJ2,0.06001920225606044,FOXJ2
MA0081|SPIB,0.06046414942901931,SPIB
MS00115|NFIX,0.060861176163416325,NFIX
MS00571|NKX2-8,0.06307197543794553,NKX2-8
UP00389|NKX3-1,0.06460317502048263,NKX3-1
MS00472|HMBOX1,0.06471460886325259,HMBOX1
MS00848|ERG,0.06541372703650644,ERG
MS00552|MEOX2,0.0656984279237259,MEOX2
M01150|Dmrta2,0.07019225565074859,Dmrta2
UP00158|POU1F1,0.07114877718591449,POU1F1
MS00658|NR2F6,0.07125565937400306,NR2F6
MC00359|TP53,0.07169213686490504,TP53
MS00316|Dbp,0.07193811925038221,Dbp
MS00214|TBX4,0.07196995884108628,TBX4
MS00331|MAFK,0.07209646575809554,MAFK
MC00377|Trp53,0.07216651711408652,Trp53
MS00188|MGA,0.07262761345343359,MGA
M00062|IRF1,0.07295802795187069,IRF1
M01744|ZFP42,0.07474808692851731,ZFP42
MS00766|SOX4,0.07479533884215733,SOX4
MS00067|IRF5,0.07523107883702237,IRF5
MC00303|Sox2,0.07693351393465032,Sox2
MS00160|PROX1,0.07753815146242359,PROX1
MS00582|OTX1,0.07765900012559321,OTX1
UP00052|Osr2,0.07769682840428771,Osr2
MS00302|CEBPG,0.08009601022933824,CEBPG
MS00609|RHOXF1,0.08149338683445358,RHOXF1
MA0130|ZNF354C,0.08171139615592622,ZNF354C
MS00111|NFKB2,0.08359954059346468,NFKB2
MC00312|RUNX1,0.08406558052531303,RUNX1
UP00043|Bcl6b,0.08482724531870194,Bcl6b
MC00289|HSF1,0.0853055162144721,HSF1
MS00409|Arx,0.08541177136106104,Arx
MC00453|STAT5A,0.08595072348462088,STAT5A
M01466|Obox3,0.08600602000961008,Obox3
MS00072|IRF8,0.0867390969965605,IRF8
MS00336|NFE2,0.08729974111020779,NFE2
MS00021|ETV6,0.08809159525271823,ETV6
MS00095|TGIF2LX,0.09012722628978492,TGIF2LX
UP00243|Isx,0.09025640723723093,Isx
MC00223|SMAD2/3,0.09400526132891586,SMAD2/3
MS00502|HOXC12,0.09466974591568278,HOXC12
MS00808|TFEC,0.09517802554749663,TFEC
MA0030|FOXF2,0.09520674731873509,FOXF2
MS00299|CEBPD,0.09585805565638447,CEBPD
MC00324|Gata4,0.09761973002588968,Gata4
M01312|NKX2-1,0.0986452379183004,NKX2-1
MS00464|GSC,0.10053382959221117,GSC
MC00288|POU2F1,0.10061627600872808,POU2F1
MS00618|Uncx,0.10109810054307654,Uncx
UP00038|Spdef,0.10162117952297711,Spdef
M00289|FOXI1,0.10213688194796228,FOXI1
M01105|ZNF350,0.1030879291010178,ZNF350
UP00019|ZBTB12,0.10388050502571154,ZBTB12
MS00338|NRL,0.1062618948986993,NRL
MS00094|TGIF1,0.10664042788177418,TGIF1
MC00191|Nfya,0.10674450558333339,Nfya
UP00145|BARHL2,0.10806855682199137,BARHL2
M01445|Obox6,0.11527659902825775,Obox6
MC00372|Yy1,0.11613583066640092,Yy1
MS00397|Foxj3,0.1170271518494949,Foxj3
MS00771|SOX8,0.11753954065665742,SOX8
M01268|NR1H4,0.12016674913869572,NR1H4
MC00388|Tal1,0.12025404102929552,Tal1
MS00061|HSFY2,0.12087138075155694,HSFY2
MS00780|SOX9,0.12146069167435151,SOX9
MS00337|NFIL3,0.12294345389691352,NFIL3
MC00124|MAX,0.12331220181771403,MAX
M01709|MAFA,0.12404644410254133,MAFA
M00694|E4F1,0.12422809635662226,E4F1
UP00250|IRX5,0.12514734745151393,IRX5
MC00111|Bcl6,0.12555615803805883,Bcl6
UP00221|PHOX2A,0.12601519643110604,PHOX2A
MC00326|Gata3,0.12657286202797843,Gata3
MS00399|Foxk1,0.12729132060753284,Foxk1
MA0103|ZEB1,0.12946851915978458,ZEB1
MS00501|Zfp652,0.12997281238542574,Zfp652
MC00162|LMO2,0.13282196137527888,LMO2
UP00418|Etv6,0.13329677105441864,Etv6
UP00023|Sox30,0.13559816638401054,Sox30
MC00367|GABPA,0.13683357797774592,GABPA
MC00231|MEF2C,0.1371755110880827,MEF2C
UP00027|Osr1,0.13719486319040622,Osr1
MS00356|FOXD2,0.13942005127195317,FOXD2
MS00096|TGIF2,0.1395797601821535,TGIF2
M01069|GZF1,0.1401779233855415,GZF1
UP00041|Foxj1,0.1405409282855313,Foxj1
UP00185|PBX1,0.14095038983632088,PBX1
UP00175|Lhx9,0.14154839571417815,Lhx9
UP00009|Nr2f2,0.14292128749436836,Nr2f2
MA0131|HINFP,0.1431501414048095,HINFP
MS00022|Elf5,0.14495033314818312,Elf5
MS00834|ELF4,0.14500078061008295,ELF4
MS00556|GRHL1,0.14534525693627892,GRHL1
MS00300|CEBPE,0.14584818256809573,CEBPE
MS00054|Tcf7,0.14722998095189838,Tcf7
MC00206|ELK1,0.1476325549241572,ELK1
UP00132|Evx2,0.14821848978926008,Evx2
MC00402|Hoxc9,0.14906718423159707,Hoxc9
MS00376|FOXO1,0.15099999609116738,FOXO1
MC00121|Cebpb,0.1520180285807356,Cebpb
MS00463|GSC2,0.15428963365024664,GSC2
MA0031|FOXD1,0.15453872520838435,FOXD1
MS00442|EMX1,0.1554309707025724,EMX1
M00155|NR2F2,0.1562436959470253,NR2F2
MS00532|Irx3,0.1579040825454211,Irx3
MS00490|ZSCAN4,0.15874930966406145,ZSCAN4
MS00481|HOXA10,0.1619028665794078,HOXA10
MC00448|Nr1h2,0.16293371860591147,Nr1h2
MS00425|CDX1,0.1629404836088872,CDX1
MS00686|RORA,0.16360595879703585,RORA
MS00386|FOXO6,0.16547141177164373,FOXO6
MC00146|Smad2/3,0.16552636206194724,Smad2/3
MC00339|NFE2L2,0.16737189054401322,NFE2L2
MS00454|EVX1,0.1683507286060587,EVX1
MC00373|Mxi1,0.1700042922548942,Mxi1
UP00169|LMX1B,0.17080179596894948,LMX1B
MS00729|ZNF282,0.1727275249831601,ZNF282
MS00732|CPEB1,0.17362985142071632,CPEB1
MC00348|STAT1,0.1739217614437477,STAT1
MS00795|Sox11,0.17439618076211114,Sox11
MS00621|VAX2,0.17602830390126423,VAX2
MS00144|POU3F3,0.17767874208809345,POU3F3
MC00341|Olig2,0.1780224605885435,Olig2
UP00231|NKX2-2,0.17867030086728308,NKX2-2
MS00361|FOXG1,0.17947997446434652,FOXG1
MC00473|ATF3,0.18120028894659368,ATF3
MC00178|Nkx2-5,0.1814957550524581,Nkx2-5
M01149|Dmrta1,0.18295520454237124,Dmrta1
MC00364|NFYA,0.18322589577903445,NFYA
MS00317|HLF,0.1867102370168381,HLF
MC00325|Gata2,0.18717886744887188,Gata2
MS00564|Msx3,0.18741990982295278,Msx3
MS00060|HSF4,0.19151705072421024,HSF4
MC00352|Nr5a2,0.1937812541833586,Nr5a2
MS00838|ELF5,0.19702782608953903,ELF5
MS00372|FOXL1,0.19705020981049537,FOXL1
UP00130|LHX3,0.20012367566417133,LHX3
MC00151|SPI1,0.20178091781765256,SPI1
UP00252|HOXC5,0.2027118958968045,HOXC5
UP00207|HOXB9,0.20654972026499707,HOXB9
MS00152|POU5F1P1,0.2070319066693825,POU5F1P1
UP00261|LHX4,0.2071709230024714,LHX4
MC00385|Ets1,0.20765518126645885,Ets1
MS00053|TCF7L1,0.211737700449334,TCF7L1
UP00404|ELF2,0.21232725541719671,ELF2
M01067|GFI1,0.21509968451472494,GFI1
M01147|DMRT2,0.21528792490527676,DMRT2
MS00285|TCF4,0.2183875169681024,TCF4
MC00309|TCF7L2,0.22034665825139604,TCF7L2
UP00081|Mybl1,0.22293800382107384,Mybl1
UP00391|HOXA3,0.22747779936669338,HOXA3
MS00652|NR2E1,0.23243881334803246,NR2E1
MS00392|Foxg1,0.23324538121290245,Foxg1
MS00837|HOXD12,0.23439577206777257,HOXD12
MC00273|CEBPA,0.23608389343458144,CEBPA
MC00287|POU2F2,0.23784457290601846,POU2F2
MC00118|GATA2,0.23924056382312572,GATA2
MS00424|CART1,0.24147062805595673,CART1
MS00405|ARX,0.242606316130196,ARX
MC00126|TCF12,0.2469352014340792,TCF12
M00992|FOXP3,0.24908399653681934,FOXP3
MS00422|Barhl1,0.25168404811451467,Barhl1
UP00128|POU3F2,0.253672594542262,POU3F2
UP00213|HOXA9,0.2539626038769894,HOXA9
UP00192|SIX1,0.25453147325842135,SIX1
MS00465|GSX1,0.255272714769684,GSX1
M01081|ZNF628,0.2553380923757118,ZNF628
MS00458|En2,0.2556589625889285,En2
UP00137|Hoxb3,0.25656484751232655,Hoxb3
M01195|TBX22,0.2587371782524728,TBX22
MC00452|STAT5B,0.26309404887124754,STAT5B
UP00166|BARHL1,0.2650404864337578,BARHL1
MS00041|Spic,0.2678797527445096,Spic
UP00244|TLX2,0.2699970599306937,TLX2
MS00252|Bhlhb2,0.27469851278753654,Bhlhb2
MS00528|ISL2,0.27564922758002036,ISL2
UP00236|IRX2,0.2784881661949857,IRX2
MC00272|CEBPB,0.28061926737295945,CEBPB
MS00073|IRF9,0.28113005107649935,IRF9
M00712|MYOG,0.28350942918337646,MYOG
M00105|CUX1,0.28403285368004566,CUX1
MC00408|Myb,0.28411228326462523,Myb
MS00577|NKX6-2,0.28430476781761527,NKX6-2
MS00669|Nr2f6,0.2847573101494103,Nr2f6
MS00491|HOXB2,0.28531471722600826,HOXB2
MC00354|Neurod1,0.28949210834062045,Neurod1
MC00514|Cbfa2t2,0.2928596315805237,Cbfa2t2
MS00616|UNCX,0.2934020824132257,UNCX
MS00258|HEY1,0.2963567011683333,HEY1
MS00145|POU3F4,0.2974077840088441,POU3F4
MS00626|VSX1,0.29889091512844473,VSX1
MS00474|HMX2,0.30126041437753354,HMX2
MS00493|HOXB5,0.3034248711742857,HOXB5
MS00844|ELK3,0.3044278092844596,ELK3
MS00202|TBX20,0.30448440751035893,TBX20
MS00169|RFX5,0.3050092650912814,RFX5
MS00343|FOXB1,0.30506819263702967,FOXB1
M01295|ATF5,0.30539329553590017,ATF5
MC00461|Max,0.3059397730839025,Max
MS00260|HEY2,0.3075318644898906,HEY2
MA0152|NFATC2,0.313239332657281,NFATC2
UP00094|Zfp128,0.31543910843883677,Zfp128
MS00367|FOXJ3,0.315997039563187,FOXJ3
MS00436|DPRX,0.3175264468005019,DPRX
MS00757|SOX21,0.32112014785658793,SOX21
MS00657|NR2F1,0.32354906152420176,NR2F1
MS00059|HSF2,0.32592256593488,HSF2
MS00668|Nr2e1,0.32630618344452955,Nr2e1
UP00249|NKX2-5,0.32820706916183046,NKX2-5
MC00347|STAT4,0.33452959886704914,STAT4
MS00731|ZNF713,0.33500908332302204,ZNF713
MC00370|Npas4,0.33660073450339695,Npas4
UP00388|SIX6,0.3401016559041399,SIX6
M01262|TBX18,0.34025655913292335,TBX18
MS00326|MAFF,0.3475192994804154,MAFF
MS00498|HOXC11,0.3481900602870307,HOXC11
UP00101|Sox12,0.3497043363874733,Sox12
MC00504|Scx,0.35022378886523137,Scx
M01650|NR2E3,0.3506881660099577,NR2E3
MS00510|HOXD13,0.3508636881676226,HOXD13
MA0108|TBP,0.35704623341222513,TBP
M01075|ZBTB16,0.357785110794671,ZBTB16
MS00371|FOXK1,0.3665839728395901,FOXK1
MS00289|TFEB,0.36888248786268757,TFEB
UP00164|HOXA7,0.3689603687940211,HOXA7
MS00730|ZNF435,0.3728024201282412,ZNF435
MS00271|NEUROD2,0.37336637292442787,NEUROD2
MS00110|NFKB1,0.37587878130620345,NFKB1
MS00543|LMX1A,0.3836428541898477,LMX1A
M01453|ALX1,0.38831515081705176,ALX1
UP00086|IRF3,0.38921348334124667,IRF3
MS00033|SPDEF,0.39209263999220956,SPDEF
MS00407|Alx1,0.3972344461853909,Alx1
MS00739|E2F8,0.39743489135186144,E2F8
MS00551|MEOX1,0.3978578565876447,MEOX1
UP00129|Pou3f1,0.3988716841721499,Pou3f1
MS00380|FOXO3,0.39890011042481505,FOXO3
