,0,TF
MC00207|ELK4,0.0013770968236952517,ELK4
MS00252|Bhlhb2,0.0013878133310007397,Bhlhb2
MS00638|ESRRG,0.0014779637408728569,ESRRG
MC00160|ETV3,0.001577145920688698,ETV3
MS00668|Nr2e1,0.0016221643913415025,Nr2e1
UP00412|Etv5,0.0016377274676131477,Etv5
MS00190|SCRT2,0.0016413477948013175,SCRT2
MS00022|Elf5,0.0016509971582700515,Elf5
MS00214|TBX4,0.0017948350438406046,TBX4
MS00073|IRF9,0.0019145320451560525,IRF9
MC00265|Tcf3,0.0019733855245019074,Tcf3
UP00040|Irf5,0.0021312266195462346,Irf5
MS00018|ETV4,0.002326620227044165,ETV4
MC00359|TP53,0.002369702727687816,TP53
M00500|STAT6,0.0024984397879452085,STAT6
MS00125|PAX6,0.0025718705228753103,PAX6
MS00669|Nr2f6,0.0026226990373213652,Nr2f6
MS00820|NFIA,0.0026755287256572326,NFIA
MS00376|FOXO1,0.002720002287204295,FOXO1
M00712|MYOG,0.0027521931661705994,MYOG
MC00371|JUNB,0.002834730289370545,JUNB
M00483|ATF6,0.0029069439595969574,ATF6
MC00342|YY1,0.0029656130987424263,YY1
MS00390|ZNF238,0.0030014420539296463,ZNF238
MC00398|FLI1,0.00302511203481015,FLI1
MS00700|Rarb,0.003193232183946132,Rarb
MS00253|CLOCK,0.0033479119964381866,CLOCK
MS00114|NFIB,0.003369039908782562,NFIB
MC00262|ARNT,0.003418698336640915,ARNT
MS00072|IRF8,0.0034422773972223792,IRF8
MS00479|ZNF784,0.0038914552402441447,ZNF784
M00749|SREBF1,0.00398478145200848,SREBF1
MC00347|STAT4,0.004084097420879291,STAT4
MC00467|RXRA,0.0043389205423781125,RXRA
MC00312|RUNX1,0.0043684651172278734,RUNX1
MA0081|SPIB,0.004904648458921988,SPIB
MS00265|MLXIPL,0.005045860344201929,MLXIPL
MS00308|CREB3,0.005467154723334641,CREB3
MC00385|Ets1,0.00639746473692546,Ets1
MS00186|MGA,0.006564644484143653,MGA
MC00370|Npas4,0.006571157479387202,Npas4
MC00351|FOSL1,0.006709490448335715,FOSL1
MC00321|JUN,0.006780761273396929,JUN
MC00157|Tead4,0.0068585898892451905,Tead4
MS00183|GMEB2,0.0070565195106293355,GMEB2
MS00261|ID4,0.007090713814199617,ID4
MC00386|BCL6,0.007293428154063628,BCL6
MC00413|Runx1,0.007412731409245792,Runx1
UP00056|RFX4,0.007414835139799958,RFX4
MC00126|TCF12,0.00800153154090213,TCF12
UP00020|ATF1,0.008053697918416773,ATF1
MS00684|RARG,0.008342264449217603,RARG
MS00380|FOXO3,0.00847405754403327,FOXO3
MC00367|GABPA,0.008562139505328354,GABPA
MS00248|BHLHB3,0.008601323844553942,BHLHB3
MS00401|ZNF306,0.00876846122597699,ZNF306
MS00572|NKX3-1,0.008923932230624196,NKX3-1
MC00396|Nr3c1,0.009344568625017969,Nr3c1
UP00009|Nr2f2,0.009391224835463797,Nr2f2
MS00202|TBX20,0.009394299393659607,TBX20
MA0161|NFIC,0.009570787604513423,NFIC
MC00224|EPAS1,0.011862621882435576,EPAS1
MS00160|PROX1,0.012943410049718768,PROX1
MS00023|Elk3,0.012984351766142068,Elk3
MS00685|RORA,0.01325861073290818,RORA
UP00041|Foxj1,0.0145761499481712,Foxj1
M00141|IKZF1,0.014624299231470171,IKZF1
MC00169|Usf2,0.014794280475230836,Usf2
MC00248|USF1,0.015180718306694818,USF1
MC00170|PGR,0.015689106027976258,PGR
M01306|ZNF217,0.016450086764047113,ZNF217
M00490|BACH2,0.017968297906280455,BACH2
M01295|ATF5,0.01919640901422736,ATF5
MS00171|Rfx2,0.02036803676626457,Rfx2
MC00316|HIF1A,0.020647847310483324,HIF1A
M01112|RBPJ,0.020982789383552754,RBPJ
MS00729|ZNF282,0.02170782055469466,ZNF282
MS00025|FEV,0.021953652158362768,FEV
MC00334|SIX5,0.0221185207032529,SIX5
MS00320|JDP2,0.022376747183677957,JDP2
MS00730|ZNF435,0.02259650789603683,ZNF435
M01305|TEF,0.0226871605594275,TEF
M00526|NR6A1,0.024025935443828497,NR6A1
MS00807|MSC,0.02599632239826455,MSC
MC00293|Gfi1b,0.026864893677103378,Gfi1b
M01656|Trp63,0.027059115792087883,Trp63
MS00844|ELK3,0.02850161963079392,ELK3
UP00052|Osr2,0.028522431237738902,Osr2
MS00662|NR3C2,0.029221770044265426,NR3C2
MS00254|FIGLA,0.029762865515918533,FIGLA
M00433|Hmx3,0.030397704390122984,Hmx3
MS00201|SNAI2,0.03220202746132003,SNAI2
MC00465|NR3C1,0.03367719874984202,NR3C1
M00964|NR1I2,0.03375958640669912,NR1I2
MS00566|NKX2-3,0.03623437071387379,NKX2-3
MC00163|Creb1,0.03626065703347133,Creb1
MS00271|NEUROD2,0.040082816150709355,NEUROD2
MS00100|MYBL1,0.04116723663562332,MYBL1
MS00533|LBX2,0.04316670473791503,LBX2
MC00104|Foxa1,0.04668554246821582,Foxa1
M01207|ETS2,0.047112574852576805,ETS2
MC00281|PBX3,0.047773096692222856,PBX3
MC00452|STAT5B,0.04929559545687967,STAT5B
MS00371|FOXK1,0.05027316963162544,FOXK1
MS00708|Rxrb,0.05050203679436516,Rxrb
MC00369|Myod1,0.05178675901463554,Myod1
UP00413|Elf4,0.05309140650414277,Elf4
UP00184|Lhx8,0.053109250315115784,Lhx8
M01709|MAFA,0.05563944381443246,MAFA
MS00739|E2F8,0.05792652636871833,E2F8
M00456|BPTF,0.06378545260582281,BPTF
UP00094|Zfp128,0.06713274279324054,Zfp128
MS00103|MYBL2,0.06793121850027609,MYBL2
UP00159|SIX2,0.06983426991354788,SIX2
MC00330|FOS,0.07396286935554057,FOS
MS00692|RXRB,0.08283132913944653,RXRB
MC00357|Crx,0.0898787473003058,Crx
MA0130|ZNF354C,0.09240207881564187,ZNF354C
M01132|SF1,0.09577058618950653,SF1
UP00092|MYB,0.09829798864146055,MYB
MS00224|TEAD4,0.10077948981263506,TEAD4
M01334|Nkx1-1,0.10142778686323449,Nkx1-1
M00159|CEBPA,0.10154765353286199,CEBPA
MS00337|NFIL3,0.1152859564826116,NFIL3
MS00065|IRF4,0.11632035538885918,IRF4
M01123|NANOG,0.11750411115853848,NANOG
M01312|NKX2-1,0.11906778851910947,NKX2-1
MC00304|FOXH1,0.11907561808779958,FOXH1
MS00778|EHF,0.1228469602915536,EHF
MS00580|Nkx3-1,0.12354610553218268,Nkx3-1
MS00290|ZBED1,0.12491346855267912,ZBED1
