,0,TF
MC00518|Tfcp2,3.581503136491454e-13,Tfcp2
MS00177|RUNX3,2.456890016562208e-06,RUNX3
M00695|TEAD2,2.4793163992390687e-06,TEAD2
MC00339|NFE2L2,2.5031027622762533e-06,NFE2L2
MC00328|Zfx,2.503701572270646e-06,Zfx
MS00346|ZIC3,2.579166415780023e-06,ZIC3
MC00427|ETV1,2.7231571410108055e-06,ETV1
M00115|CNTN2::CREB1,2.8932332422222523e-06,CNTN2::CREB1
MS00212|SP1,3.2224233080195018e-06,SP1
MC00509|NR2C2,3.5526927933283247e-06,NR2C2
MC00391|ZNF143,3.5736752212065676e-06,ZNF143
M01177|SREBF2,3.5991598408591703e-06,SREBF2
MC00299|BRCA1,3.724074158978155e-06,BRCA1
UP00413|Elf4,3.8823090741500355e-06,Elf4
MS00534|CENPB,3.985783233585447e-06,CENPB
MS00188|MGA,4.06775452686226e-06,MGA
MS00050|GCM2,4.109432487409562e-06,GCM2
MS00567|EGR3,4.442285693994628e-06,EGR3
MC00362|Arntl,4.459396719445319e-06,Arntl
MS00021|ETV6,4.909721256326078e-06,ETV6
MC00221|Tbx3,5.272277671213013e-06,Tbx3
M00717|PAX8,5.466291730395089e-06,PAX8
M00072|TFCP2,5.979814761427004e-06,TFCP2
MS00512|Zfp740,6.409603455358707e-06,Zfp740
MS00221|TEAD3,7.3547789326660395e-06,TEAD3
UP00093|Klf7,7.37464361668631e-06,Klf7
MS00327|MAFG,7.542700589817878e-06,MAFG
MC00174|REST,7.660818817935177e-06,REST
MC00523|E2F4,7.693270060133885e-06,E2F4
M00500|STAT6,8.092041802280694e-06,STAT6
MS00146|KLF16,8.220018489277798e-06,KLF16
M00737|E2F1::TFDP2,8.566168588874148e-06,E2F1::TFDP2
MS00135|KLF14,9.292754380219537e-06,KLF14
UP00035|HIC1,9.917604627885889e-06,HIC1
M00647|NR1H3,1.0576673895544085e-05,NR1H3
MC00373|Mxi1,1.1490349578337643e-05,Mxi1
M00514|ATF4,1.1569029928548403e-05,ATF4
M00332|FOXN1,1.1760091320017335e-05,FOXN1
M01783|SP2,1.1924650474732181e-05,SP2
MS00248|BHLHB3,1.3558590430644012e-05,BHLHB3
MC00418|ZBTB33,1.401563679800856e-05,ZBTB33
MS00173|RUNX2,1.4048134118821709e-05,RUNX2
MC00160|ETV3,1.5141656618454563e-05,ETV3
MC00124|MAX,1.5998166229206122e-05,MAX
MS00326|MAFF,1.7065901009837737e-05,MAFF
MC00367|GABPA,1.735360773894921e-05,GABPA
UP00404|ELF2,1.802118698313402e-05,ELF2
UP00001|E2F2,2.2320262514940903e-05,E2F2
MS00101|Hic1,2.3468676565318146e-05,Hic1
UP00088|PLAGL1,2.3845935761159403e-05,PLAGL1
MS00268|YY2,2.6628409700986607e-05,YY2
MS00401|ZNF306,2.912318740563366e-05,ZNF306
MA0073|RREB1,2.964690666271552e-05,RREB1
UP00065|Zfp161,3.416169092952123e-05,Zfp161
MC00224|EPAS1,3.669535463620539e-05,EPAS1
MC00169|Usf2,3.808415876601609e-05,Usf2
MS00024|GLIS1,3.887184907036868e-05,GLIS1
MC00476|Rarg,4.1237061088428165e-05,Rarg
M01105|ZNF350,5.556375470916551e-05,ZNF350
UP00027|Osr1,5.766977735369711e-05,Osr1
MC00289|HSF1,6.043930516381946e-05,HSF1
MC00320|EGR1,6.0764111820249196e-05,EGR1
MS00264|MESP1,6.171780380491132e-05,MESP1
MS00285|TCF4,6.227049173251273e-05,TCF4
UP00231|NKX2-2,6.39086916781591e-05,NKX2-2
MC00110|Klf1,6.426500730200839e-05,Klf1
MS00386|FOXO6,6.55635920417708e-05,FOXO6
M00694|E4F1,6.704801522785324e-05,E4F1
MC00144|Rfx1,6.781366890903692e-05,Rfx1
M00467|ZNF423,7.237994738530065e-05,ZNF423
MS00160|PROX1,7.43054657838295e-05,PROX1
MC00337|Ikzf3,7.88574204758623e-05,Ikzf3
MS00392|Foxg1,8.040345777094181e-05,Foxg1
UP00003|E2F3,8.15593716720331e-05,E2F3
MS00445|ZNF740,8.532470580180123e-05,ZNF740
MS00311|Creb3l2,8.644231592770993e-05,Creb3l2
M01067|GFI1,9.667444043031149e-05,GFI1
MC00448|Nr1h2,0.0001033960527933065,Nr1h2
MS00838|ELF5,0.0001061396400587807,ELF5
MS00046|GLIS3,0.0001146405485278436,GLIS3
MS00265|MLXIPL,0.00011601183026201297,MLXIPL
MC00457|ELF1,0.00013246655360596435,ELF1
M01733|MZF1,0.00013903753984184823,MZF1
MC00407|Myc,0.0001403375122577119,Myc
MS00289|TFEB,0.00015015281012422318,TFEB
MS00022|Elf5,0.0001536525181355207,Elf5
MC00344|Hnf4a,0.00016305121518566762,Hnf4a
M00327|PAX3,0.00016626640454023753,PAX3
MC00168|ERG,0.00018134307601857565,ERG
MS00016|ETV2,0.00018995042627377895,ETV2
MS00065|IRF4,0.00021502349048794722,IRF4
MC00355|SRF,0.0002316311491044485,SRF
UP00119|Nkx2-9,0.000256677702831894,Nkx2-9
MS00202|TBX20,0.00027169994592478937,TBX20
MA0131|HINFP,0.00028094158809304756,HINFP
MS00207|TBX21,0.0002817468826354546,TBX21
UP00020|ATF1,0.00029712730873120857,ATF1
MC00512|Esrrb,0.0003093122502088554,Esrrb
M01132|SF1,0.00031842537082037246,SF1
MS00235|SP4,0.00033254091615933816,SP4
MS00267|MNT,0.00034175399974942396,MNT
UP00184|Lhx8,0.0003588600405157872,Lhx8
MS00710|THRB,0.00040803598216319713,THRB
MS00372|FOXL1,0.00041205232450773697,FOXL1
MC00305|Sox6,0.00043260313543439904,Sox6
UP00159|SIX2,0.00043570787086133885,SIX2
UP00192|SIX1,0.0004375481626932281,SIX1
MS00829|ESRRA,0.00044491524878545707,ESRRA
MS00085|MEIS3,0.0005847597342728558,MEIS3
MC00134|Ppara,0.0006006721407895457,Ppara
UP00038|Spdef,0.0006126666214971328,Spdef
MC00109|Klf4,0.0006237627615644411,Klf4
MS00125|PAX6,0.000663648666002099,PAX6
MS00331|MAFK,0.0007355458229243131,MAFK
MS00423|ZNF524,0.0007701223364640091,ZNF524
M00085|ZBTB6,0.00078326158300641,ZBTB6
MS00266|MLX,0.0007926918569797319,MLX
MS00025|FEV,0.0008308904565153966,FEV
UP00389|NKX3-1,0.0008884693915368069,NKX3-1
MS00362|FOXI1,0.0009049725281982807,FOXI1
M01596|GLI3,0.0009067558444955559,GLI3
M00964|NR1I2,0.0009108069267069262,NR1I2
MC00248|USF1,0.0009228369802145299,USF1
MS00057|HIC2,0.0009842660721466774,HIC2
MS00072|IRF8,0.0010091006449951868,IRF8
MS00114|NFIB,0.0010783003621632225,NFIB
MS00157|Klf12,0.0013098732860122439,Klf12
MC00104|Foxa1,0.0013692677485980219,Foxa1
MS00270|Mlx,0.0013761067707012322,Mlx
M01656|Trp63,0.0013900592386019278,Trp63
MS00378|FOXO3,0.0015087358441769423,FOXO3
M00220|SREBF1,0.0015896720452391734,SREBF1
UP00195|SIX3,0.0016180479079119803,SIX3
MC00170|PGR,0.001655481934983679,PGR
MS00291|Tcf21,0.0016610941266236969,Tcf21
UP00193|Rhox11,0.0016623461488606858,Rhox11
M01312|NKX2-1,0.0018054784791335934,NKX2-1
MC00364|NFYA,0.0018485211910410826,NFYA
MS00533|LBX2,0.0018593001369231056,LBX2
M00490|BACH2,0.0019978976298690022,BACH2
MC00191|Nfya,0.0020242373189568474,Nfya
MC00141|Stat1,0.0021514776720831354,Stat1
MS00218|T,0.0021818526729210697,T
MS00087|Meis2,0.0021832814364201687,Meis2
M00088|IKZF1,0.0023087188631133117,IKZF1
MS00586|Otx1,0.002418811234610527,Otx1
MS00383|FOXO4,0.0024542781071019443,FOXO4
M01207|ETS2,0.0025815109864960268,ETS2
MS00684|RARG,0.0026722808194614917,RARG
M00483|ATF6,0.00284703674408669,ATF6
MA0031|FOXD1,0.003072522626929182,FOXD1
UP00207|HOXB9,0.0033883193147715438,HOXB9
MS00409|Arx,0.0034462330297488864,Arx
UP00418|Etv6,0.003485465507299519,Etv6
MC00334|SIX5,0.003717479426224121,SIX5
MS00067|IRF5,0.0038478621685003145,IRF5
MS00296|BATF3,0.003902303580003422,BATF3
MS00061|HSFY2,0.004058104361461925,HSFY2
MS00812|ELF3,0.004207374038463371,ELF3
MS00214|TBX4,0.004277833516642171,TBX4
MC00357|Crx,0.004506434197638043,Crx
MS00846|ERF,0.00451153256725781,ERF
MS00243|Ascl2,0.0046242259834731875,Ascl2
MC00206|ELK1,0.00464620431315884,ELK1
MC00312|RUNX1,0.00469324814594828,RUNX1
MC00280|NR4A1,0.004946410068416225,NR4A1
M00420|MEIS1::HOXA9,0.00523566290990354,MEIS1::HOXA9
M00159|CEBPA,0.005237489613604952,CEBPA
UP00080|Gata5,0.00539473166583338,Gata5
UP00086|IRF3,0.005627355272600363,IRF3
M01445|Obox6,0.0059723844711588245,Obox6
MS00023|Elk3,0.0060066729213711315,Elk3
UP00018|Irf4,0.006114092808818071,Irf4
MS00405|ARX,0.006191557059486349,ARX
MC00281|PBX3,0.006366750671458212,PBX3
M01295|ATF5,0.006680382559568593,ATF5
MC00356|Tbx21,0.006837670807496138,Tbx21
MC00232|MEF2A,0.007040528950279908,MEF2A
MS00436|DPRX,0.0074350445205252635,DPRX
MS00371|FOXK1,0.007575808437060453,FOXK1
MA0116|Zfp423,0.007844548775805064,Zfp423
UP00213|HOXA9,0.007954793124028274,HOXA9
MS00054|Tcf7,0.008571923941202106,Tcf7
UP00058|TCF3,0.008600247618025995,TCF3
M00632|GATA4,0.008768827898555827,GATA4
M01241|GTF2IRD1,0.009824131420335907,GTF2IRD1
MS00476|HNF1A,0.010050367584708427,HNF1A
UP00048|RARA,0.010076026955155803,RARA
MS00511|HOXD13,0.010394034102830282,HOXD13
UP00009|Nr2f2,0.010509778651754077,Nr2f2
M00706|GTF2I,0.010592337950904088,GTF2I
MS00387|FOXP3,0.01064160745954071,FOXP3
MS00778|EHF,0.010819573103141765,EHF
MS00018|ETV4,0.010878788883819369,ETV4
MC00501|FOXP1,0.01091784116502906,FOXP1
UP00033|Zfp410,0.01106815480912468,Zfp410
UP00175|Lhx9,0.011471610093724136,Lhx9
MS00525|Hoxd9,0.011522288796342395,Hoxd9
MS00489|HOXB13,0.01153067155251441,HOXB13
M01435|Rhox6,0.01269718312735972,Rhox6
UP00121|Hoxd10,0.013118802170847621,Hoxd10
MS00217|TBX5,0.013643680113018012,TBX5
M00646|HNF1B,0.013725505439709788,HNF1B
MS00073|IRF9,0.01389407972314471,IRF9
MC00371|JUNB,0.014155006840817249,JUNB
MS00407|Alx1,0.015216502364394605,Alx1
MS00097|MYBL1,0.01610262703934282,MYBL1
MS00730|ZNF435,0.016525857437134375,ZNF435
MC00140|Stat3,0.016602150982656244,Stat3
MS00501|Zfp652,0.01721070947634547,Zfp652
UP00081|Mybl1,0.017243349112639517,Mybl1
UP00155|Hmx2,0.017436524094540183,Hmx2
MS00052|SOX9,0.017536873808767058,SOX9
MS00844|ELK3,0.018770223078503442,ELK3
UP00030|Sox11,0.01883869600010631,Sox11
MC00311|FOXA1,0.019206830100015334,FOXA1
MC00151|SPI1,0.019354381772403874,SPI1
M00155|NR2F2,0.019727630341902076,NR2F2
UP00186|MEIS1,0.01988345630674877,MEIS1
UP00249|NKX2-5,0.020907981082979497,NKX2-5
MS00253|CLOCK,0.022478919105524634,CLOCK
MS00528|ISL2,0.02271781494739643,ISL2
M01268|NR1H4,0.02285556476830588,NR1H4
MS00726|PRDM4,0.02290766702990623,PRDM4
MS00162|RFX2,0.023047084420852213,RFX2
MC00250|Nkx3-1,0.023452107212941484,Nkx3-1
UP00148|Hdx,0.023896565734612907,Hdx
M01037|GLI1,0.02423245515160445,GLI1
MS00609|RHOXF1,0.02432552097730917,RHOXF1
UP00092|MYB,0.02572059133916912,MYB
UP00187|ALX4,0.026052860388779908,ALX4
M00454|ARID5B,0.026675226438456143,ARID5B
MS00399|Foxk1,0.02727115595594175,Foxk1
MA0101|REL,0.027565364211823346,REL
MS00359|FOXD3,0.027630712215652543,FOXD3
MC00408|Myb,0.028884563481185437,Myb
MS00505|HOXC13,0.028985445652378955,HOXC13
MC00385|Ets1,0.02900092961507579,Ets1
MS00088|Meis3,0.02935524548614409,Meis3
MS00294|ATF7,0.02937203177184688,ATF7
MS00807|MSC,0.02975467875953888,MSC
MA0365|RFX1,0.030755395093971852,RFX1
M00495|BACH1,0.030780251303575857,BACH1
MS00728|ZNF232,0.030991072741950745,ZNF232
UP00113|HOXC4,0.031470809106623615,HOXC4
MC00321|JUN,0.03207421859884292,JUN
MS00449|EN1,0.03211443443160121,EN1
UP00244|TLX2,0.03242980534787633,TLX2
M01108|HOXA7,0.03302916582657084,HOXA7
MC00352|Nr5a2,0.03350617137590017,Nr5a2
MS00597|PROP1,0.033763579755027445,PROP1
MS00171|Rfx2,0.035939043718372095,Rfx2
MS00709|THRA,0.0372287285463629,THRA
MS00474|HMX2,0.038081310602820016,HMX2
M00622|CEBPG,0.038798534470824424,CEBPG
MC00330|FOS,0.04052927123364644,FOS
MS00618|Uncx,0.04120933633916998,Uncx
MS00155|POU6F2,0.04205931235964522,POU6F2
M00105|CUX1,0.04323343471512354,CUX1
MS00356|FOXD2,0.043731857859400744,FOXD2
M01230|ZNF333,0.0450853905353594,ZNF333
MC00304|FOXH1,0.04682903385844355,FOXH1
MA0161|NFIC,0.047342667285019825,NFIC
UP00161|Hmbox1,0.04789307776711662,Hmbox1
UP00190|NKX2-3,0.049734874590365095,NKX2-3
MS00475|HMX3,0.05234603607867196,HMX3
M01483|Dbx1,0.05443525495314712,Dbx1
MS00261|ID4,0.056272288649334756,ID4
MC00396|Nr3c1,0.05739463881207853,Nr3c1
MS00740|SOX10,0.05911662617285764,SOX10
UP00056|RFX4,0.06120242622932948,RFX4
MS00556|GRHL1,0.0612582905108766,GRHL1
MS00739|E2F8,0.06251366781220002,E2F8
MC00456|JUND,0.06281084783902575,JUND
M00133|POU3F1,0.06281093710280478,POU3F1
MC00378|POU5F1,0.06281431824701796,POU5F1
UP00221|PHOX2A,0.06359985243533521,PHOX2A
MS00490|ZSCAN4,0.06575307733963594,ZSCAN4
MC00211|NFATC1,0.06793991926239902,NFATC1
MS00403|ALX3,0.06833021439499788,ALX3
MC00370|Npas4,0.06844987336971288,Npas4
MS00141|POU3F2,0.06903574644904423,POU3F2
MC00524|Nr1d1,0.07119697801065322,Nr1d1
MC00414|Atoh1,0.07124313506574075,Atoh1
MS00040|SPIC,0.07136956352562387,SPIC
UP00040|Irf5,0.07231271667480715,Irf5
MS00520|Hoxd13,0.07381543840907559,Hoxd13
MS00527|IRX5,0.07452766419129402,IRX5
MS00348|FOXB1,0.0750402094391997,FOXB1
MS00624|VENTX,0.07521103253442281,VENTX
MC00349|Jun,0.07736035294499895,Jun
MS00019|ETV5,0.07844000629182503,ETV5
MS00479|ZNF784,0.07882724500498155,ZNF784
MS00626|VSX1,0.08067957828106236,VSX1
M01195|TBX22,0.08217747278472957,TBX22
MA0164|NR2E3,0.08351924948536157,NR2E3
MC00351|FOSL1,0.08393284804006315,FOSL1
MS00433|DMBX1,0.08457899922845563,DMBX1
M01734|NFATC4,0.08570487328079684,NFATC4
MC00288|POU2F1,0.08577289647782675,POU2F1
UP00019|ZBTB12,0.08615869528486088,ZBTB12
M00678|ETV7,0.08905559504983966,ETV7
MS00408|Alx4,0.09153076108992522,Alx4
MS00668|Nr2e1,0.09157848039592786,Nr2e1
UP00130|LHX3,0.09403678619645284,LHX3
M01709|MAFA,0.0950494105319076,MAFA
M00750|HMGA1,0.09517770918853127,HMGA1
MS00051|LEF1,0.09620586148585823,LEF1
M01334|Nkx1-1,0.09696037479597178,Nkx1-1
MC00231|MEF2C,0.09736972823229065,MEF2C
MS00096|TGIF2,0.10045472329243078,TGIF2
MS00582|OTX1,0.10081918309810069,OTX1
M00648|MAF,0.10201214095383374,MAF
MS00039|SPIB,0.10333903558571494,SPIB
UP00199|SIX4,0.10337328334568685,SIX4
MA0152|NFATC2,0.10359148160607795,NFATC2
MC00416|Rbfox2,0.10416584203234207,Rbfox2
MS00428|DLX2,0.1055108378363754,DLX2
MS00290|ZBED1,0.11080176480425942,ZBED1
MS00750|SOX15,0.11286973865133555,SOX15
M01480|Obox5,0.113189215587952,Obox5
UP00261|LHX4,0.11349000702088527,LHX4
MA0084|SRY,0.1170542448256031,SRY
M00993|TAL1,0.11857065403220965,TAL1
MC00193|RELA,0.11872391263485436,RELA
MS00376|FOXO1,0.11877427396169522,FOXO1
MS00282|Srebf1,0.12181473449083861,Srebf1
M00712|MYOG,0.12399359421271147,MYOG
MC00511|Rxrg,0.1258069714598092,Rxrg
MS00803|Sox3,0.12785543884362155,Sox3
UP00252|HOXC5,0.1281276486799902,HOXC5
MS00755|SOX21,0.12849342221104054,SOX21
M00478|CDC5L,0.1285819076784235,CDC5L
MC00129|Fli1,0.12998666809663686,Fli1
MS00718|Tp53,0.13011652579956523,Tp53
MC00135|Rela,0.13677109335277055,Rela
MC00180|Sfpi1,0.13930188063639448,Sfpi1
MC00506|Spi1,0.13930188063639448,Spi1
MS00201|SNAI2,0.14445376526804365,SNAI2
MA0030|FOXF2,0.14611379136410438,FOXF2
UP00139|Nkx1-2,0.14870609834235302,Nkx1-2
MS00041|Spic,0.14978435763529807,Spic
MS00507|HOXD11,0.15035993737820022,HOXD11
MS00599|PRRX1,0.15121309992362625,PRRX1
MS00430|DLX4,0.1522795405282146,DLX4
MS00194|TBX19,0.1532831915554324,TBX19
MS00473|HMX1,0.15491426599481622,HMX1
M01127|ISL1,0.15582235737568903,ISL1
M01450|Obox1,0.15636093465903064,Obox1
MS00367|FOXJ3,0.15961194757571154,FOXJ3
MS00438|DUXA,0.16354060852994068,DUXA
UP00041|Foxj1,0.16650788035109879,Foxj1
MS00351|FOXC1,0.166537713256848,FOXC1
MS00272|NEUROG2,0.16698727294127858,NEUROG2
MC00126|TCF12,0.1676120949638915,TCF12
UP00112|Gsc,0.16777348508847084,Gsc
MS00657|NR2F1,0.17074179424526628,NR2F1
MS00224|TEAD4,0.1711093054906906,TEAD4
MS00603|PRRX2,0.17311899745130502,PRRX2
UP00132|Evx2,0.1733214031510437,Evx2
MC00105|Foxa2,0.17460963817270853,Foxa2
MS00011|BCL6B,0.17842910595468034,BCL6B
MS00571|NKX2-8,0.17988734154843414,NKX2-8
MA0051|IRF2,0.18379403048998375,IRF2
MS00432|DLX6,0.18456801258647174,DLX6
MC00163|Creb1,0.18485185696755632,Creb1
MS00354|FOXC2,0.18759478628399603,FOXC2
MS00419|BSX,0.19022289536747444,BSX
MS00515|Hoxa11,0.19063556017611055,Hoxa11
MS00083|MEIS2,0.19092852681309586,MEIS2
M00624|DBP,0.19131971975182827,DBP
UP00215|Vax1,0.1932281855137539,Vax1
UP00260|Hoxc6,0.1940634554228149,Hoxc6
MS00662|NR3C2,0.19637965445413133,NR3C2
UP00214|HOXB5,0.19814257255018936,HOXB5
M01364|Obox2,0.19814557974404645,Obox2
MS00766|SOX4,0.19967673761691263,SOX4
MS00416|BARHL2,0.20084597546648522,BARHL2
UP00120|Lbx2,0.20115181990866896,Lbx2
MS00422|Barhl1,0.20197939098458315,Barhl1
MS00472|HMBOX1,0.21276172913957403,HMBOX1
MS00464|GSC,0.21382237900625958,GSC
MC00186|Nr1d2,0.21535034736575379,Nr1d2
MS00338|NRL,0.21582453238881388,NRL
MS00494|HOXC10,0.21671791019934433,HOXC10
MS00319|JDP2,0.21820800560530604,JDP2
UP00140|Hoxd1,0.21822519234867668,Hoxd1
MS00336|NFE2,0.21870839412834198,NFE2
MS00437|DRGX,0.21895000411862447,DRGX
M01723|SATB1,0.22094545948033045,SATB1
M01247|NANOG,0.22381851372571065,NANOG
MS00731|ZNF713,0.22501630188074004,ZNF713
MC00265|Tcf3,0.22694364109546766,Tcf3
MC00411|BATF,0.229182348091616,BATF
MS00254|FIGLA,0.22930378886600467,FIGLA
UP00096|SOX13,0.23424387959016482,SOX13
UP00391|HOXA3,0.23490132124137647,HOXA3
MS00605|RAXL1,0.24322318846040053,RAXL1
UP00388|SIX6,0.24358073082911172,SIX6
MS00481|HOXA10,0.24776922339749594,HOXA10
