,0,TF
MS00264|MESP1,9.17291691987652e-07,MESP1
M00736|E2F1::TFDP1,9.337049685906515e-07,E2F1::TFDP1
M00467|ZNF423,1.018168032184657e-06,ZNF423
MC00289|HSF1,1.0283977072618228e-06,HSF1
MC00168|ERG,1.0823850147797617e-06,ERG
MS00383|FOXO4,1.5259012173174285e-06,FOXO4
UP00412|Etv5,1.9499997915712815e-06,Etv5
MS00285|TCF4,2.0591756778207714e-06,TCF4
UP00423|Gm5454,2.1399223663610195e-06,Gm5454
MC00457|ELF1,2.2218625169631775e-06,ELF1
MC00367|GABPA,2.716176767015341e-06,GABPA
UP00027|Osr1,3.083924228939492e-06,Osr1
MS00327|MAFG,3.8031871396193466e-06,MAFG
UP00404|ELF2,4.720652212384581e-06,ELF2
UP00056|RFX4,6.855240575843089e-06,RFX4
MS00171|Rfx2,9.198340054790859e-06,Rfx2
MC00124|MAX,9.35938046478373e-06,MAX
MA0116|Zfp423,9.542391259753667e-06,Zfp423
MS00401|ZNF306,1.0083040043570361e-05,ZNF306
MS00289|TFEB,1.048215149321553e-05,TFEB
UP00011|IRF6,1.102441277902961e-05,IRF6
MS00392|Foxg1,1.1742031725432413e-05,Foxg1
M01105|ZNF350,1.1802815868723444e-05,ZNF350
MC00278|ETS1,1.4587694018022015e-05,ETS1
MS00100|MYBL1,1.7068344502954487e-05,MYBL1
UP00095|Zfp691,1.7116967246845244e-05,Zfp691
MS00485|HOXA13,1.7237322204432132e-05,HOXA13
UP00086|IRF3,2.3752605466738932e-05,IRF3
MS00110|NFKB1,2.3785283930594866e-05,NFKB1
UP00413|Elf4,2.4256833761870125e-05,Elf4
MC00448|Nr1h2,2.477697605434996e-05,Nr1h2
MC00342|YY1,2.7671434547182536e-05,YY1
MS00114|NFIB,2.8485179427648577e-05,NFIB
UP00066|HNF4A,3.2122011862693894e-05,HNF4A
MS00710|THRB,4.1895825344673395e-05,THRB
MC00206|ELK1,4.363364240657839e-05,ELK1
UP00040|Irf5,4.414007099326727e-05,Irf5
MS00253|CLOCK,5.2365644682637296e-05,CLOCK
MC00348|STAT1,5.502999615482762e-05,STAT1
MS00709|THRA,5.589951622551435e-05,THRA
MA0161|NFIC,6.262743375929553e-05,NFIC
MS00271|NEUROD2,7.040149706217581e-05,NEUROD2
MS00376|FOXO1,8.426042953687561e-05,FOXO1
MC00130|Pparg,8.519012065182802e-05,Pparg
MC00224|EPAS1,9.209437506681383e-05,EPAS1
M00694|E4F1,0.00011383339170870866,E4F1
M00155|NR2F2,0.00011716276126620254,NR2F2
M00179|ATF2,0.00011857393302114046,ATF2
M01241|GTF2IRD1,0.00016025519662549276,GTF2IRD1
MS00739|E2F8,0.00019687118347712173,E2F8
MS00177|RUNX3,0.00020073799380863522,RUNX3
M00648|MAF,0.00023745149975938783,MAF
MC00385|Ets1,0.0002796933031942581,Ets1
MS00021|ETV6,0.00029823721115378686,ETV6
M01149|Dmrta1,0.0003168121917240892,Dmrta1
MS00019|ETV5,0.00033312486666087503,ETV5
MS00067|IRF5,0.0003534685492768013,IRF5
MS00270|Mlx,0.0003677632913230825,Mlx
MS00372|FOXL1,0.0003905778499945639,FOXL1
MC00293|Gfi1b,0.0004816499369751806,Gfi1b
MS00105|MYBL2,0.0004993401389351155,MYBL2
MC00339|NFE2L2,0.000501277178545274,NFE2L2
UP00018|Irf4,0.0005132430252245733,Irf4
M00072|TFCP2,0.0005450180234049542,TFCP2
MC00468|AR,0.0005838751551886758,AR
M01207|ETS2,0.0006003317031476913,ETS2
MS00290|ZBED1,0.0006212441347402509,ZBED1
M01288|NEUROD1,0.0006283795027794001,NEUROD1
MC00356|Tbx21,0.0006543922314082642,Tbx21
M00706|GTF2I,0.0006755688115881228,GTF2I
MC00467|RXRA,0.0006771221684448111,RXRA
MC00476|Rarg,0.0007132064561526329,Rarg
MS00194|TBX19,0.0007397484877764382,TBX19
MC00364|NFYA,0.0008325126595814051,NFYA
MS00315|DBP,0.0008659192809471359,DBP
M01247|NANOG,0.0008916357313889477,NANOG
UP00085|Sfpi1,0.0009662547582128912,Sfpi1
MS00338|NRL,0.0012962672980487838,NRL
MS00527|IRX5,0.0014633979791169392,IRX5
MS00533|LBX2,0.001468847515302227,LBX2
MS00362|FOXI1,0.0015167602674261628,FOXI1
MS00291|Tcf21,0.001526242282235483,Tcf21
UP00020|ATF1,0.0015943979602963698,ATF1
MS00834|ELF4,0.001726066290174764,ELF4
M01334|Nkx1-1,0.0017446979214912751,Nkx1-1
UP00082|Zfp187,0.0019102495018953492,Zfp187
MS00265|MLXIPL,0.0019944637700456984,MLXIPL
MC00273|CEBPA,0.0021669814789013185,CEBPA
MS00398|Foxk1,0.0021860754502213823,Foxk1
MA0030|FOXF2,0.002226400465410303,FOXF2
MS00520|Hoxd13,0.0023064411824188784,Hoxd13
MS00018|ETV4,0.002390958198265615,ETV4
MS00160|PROX1,0.0026895439677225258,PROX1
MC00337|Ikzf3,0.0027357746322064134,Ikzf3
MA0101|REL,0.0027679183201503926,REL
M00483|ATF6,0.0028228723081634337,ATF6
M00456|BPTF,0.0028691526869455016,BPTF
MA0041|FOXD3,0.0029309493505935624,FOXD3
M01723|SATB1,0.0030435148071372184,SATB1
MC00501|FOXP1,0.003682389906085038,FOXP1
MS00317|HLF,0.004109102916415974,HLF
UP00009|Nr2f2,0.004251655579549192,Nr2f2
UP00254|POU2F1,0.0045791433407452375,POU2F1
MS00316|Dbp,0.005016253700897451,Dbp
MC00193|RELA,0.005710473178491309,RELA
MS00846|ERF,0.00582223882674792,ERF
UP00034|Sox7,0.00590464447865223,Sox7
MS00217|TBX5,0.0059306889359035065,TBX5
MC00163|Creb1,0.0060175941546109545,Creb1
M00646|HNF1B,0.006061459548962793,HNF1B
M00141|IKZF1,0.006237139216467418,IKZF1
MC00372|Yy1,0.006652959353543603,Yy1
MS00153|POU5F1P1,0.006705021249688754,POU5F1P1
MC00223|SMAD2/3,0.007020667032377534,SMAD2/3
MS00844|ELK3,0.007049733201017555,ELK3
UP00119|Nkx2-9,0.007276134614832075,Nkx2-9
M00500|STAT6,0.007391413939132936,STAT6
MS00060|HSF4,0.007728099836100106,HSF4
MS00269|MYF6,0.007814706169009505,MYF6
MS00662|NR3C2,0.008088529482530481,NR3C2
M01146|DMRT1,0.008761422334471606,DMRT1
MS00299|CEBPD,0.008946095754886842,CEBPD
MS00091|PKNOX1,0.009031499451336456,PKNOX1
UP00033|Zfp410,0.009069000730415147,Zfp410
MS00339|TEF,0.00912041986684359,TEF
MS00351|FOXC1,0.00940334993730897,FOXC1
M01147|DMRT2,0.009529988650840027,DMRT2
MS00023|Elk3,0.00959524447885172,Elk3
MS00468|ZNF75A,0.010898812538215475,ZNF75A
M00220|SREBF1,0.012779155245442096,SREBF1
MC00402|Hoxc9,0.012785459369454051,Hoxc9
MS00665|NR4A2,0.013732463375505955,NR4A2
MS00137|POU2F3,0.013762021210610209,POU2F3
MA0051|IRF2,0.014093986329048446,IRF2
MS00367|FOXJ3,0.014340122744504915,FOXJ3
MS00778|EHF,0.014561831684421796,EHF
MS00266|MLX,0.014787627617255867,MLX
UP00218|Dbx2,0.01509766015482306,Dbx2
MS00162|RFX2,0.015437865661168637,RFX2
M00490|BACH2,0.015614491796464429,BACH2
MA0031|FOXD1,0.015937973155495614,FOXD1
MS00386|FOXO6,0.01599143414788186,FOXO6
MS00348|FOXB1,0.016011205417844482,FOXB1
MS00061|HSFY2,0.017439417977113295,HSFY2
MS00095|TGIF2LX,0.018062281722642883,TGIF2LX
UP00193|Rhox11,0.01904914286956682,Rhox11
M00115|CNTN2::CREB1,0.01907100188291496,CNTN2::CREB1
MS00070|IRF7,0.01918689262940386,IRF7
UP00214|HOXB5,0.019563616893269648,HOXB5
UP00121|Hoxd10,0.019857674901965255,Hoxd10
MS00318|Hlf,0.020507758714349487,Hlf
UP00105|POU3F4,0.02081756425337648,POU3F4
MS00494|HOXC10,0.022208388284248603,HOXC10
UP00237|Otp,0.02334189466928531,Otp
MS00214|TBX4,0.023404806753841986,TBX4
MC00126|TCF12,0.024436824714909773,TCF12
MC00388|Tal1,0.02474321009802204,Tal1
MS00354|FOXC2,0.025895261572309123,FOXC2
MS00505|HOXC13,0.026315387181874362,HOXC13
MS00096|TGIF2,0.027095191828889798,TGIF2
MS00407|Alx1,0.027150093166983483,Alx1
MC00413|Runx1,0.027480031556422403,Runx1
MS00356|FOXD2,0.027632991581552444,FOXD2
M00809|FOXH1,0.028362887109289928,FOXH1
MS00537|LHX2,0.028639299272910097,LHX2
M00062|IRF1,0.029385953276013697,IRF1
MC00248|USF1,0.029409869483424632,USF1
UP00139|Nkx1-2,0.030141184828382232,Nkx1-2
M01300|HMGA2,0.030385233110308062,HMGA2
M00622|CEBPG,0.03046899091537753,CEBPG
MS00155|POU6F2,0.030480694388886495,POU6F2
MC00370|Npas4,0.03103378760622424,Npas4
UP00170|Isl2,0.031145620379336124,Isl2
MC00453|STAT5A,0.03188740803694155,STAT5A
UP00041|Foxj1,0.03223322081977174,Foxj1
UP00244|TLX2,0.0322642744053323,TLX2
MC00458|TAL1,0.03273330898635084,TAL1
MS00300|CEBPE,0.03288848618589906,CEBPE
UP00212|LHX5,0.033070352546927466,LHX5
UP00259|HOXB6,0.03362946570907763,HOXB6
UP00043|Bcl6b,0.034452872188808464,Bcl6b
MC00347|STAT4,0.03494403296269787,STAT4
MS00052|SOX9,0.035067483868563676,SOX9
MC00508|Batf,0.03532318132332774,Batf
MC00355|SRF,0.03538018461870667,SRF
UP00199|SIX4,0.03550778097165794,SIX4
MA0108|TBP,0.0357602853401182,TBP
MS00551|MEOX1,0.03671362690037397,MEOX1
MS00526|IRX2,0.03817449299053346,IRX2
UP00150|IRX6,0.03865795813141034,IRX6
MS00488|HOXB13,0.03906163535524847,HOXB13
UP00196|HOXA4,0.03964620104008056,HOXA4
UP00148|Hdx,0.04066100628567,Hdx
MS00409|Arx,0.041039904857457614,Arx
MA0040|Foxq1,0.04143837619725964,Foxq1
MS00073|IRF9,0.04245816503504315,IRF9
MS00371|FOXK1,0.04252842275070852,FOXK1
MS00795|Sox11,0.04318591990940339,Sox11
MA0081|SPIB,0.044773667493050354,SPIB
MC00121|Cebpb,0.04515530792343797,Cebpb
M01075|ZBTB16,0.046646439416487585,ZBTB16
MA0164|NR2E3,0.04800888924685227,NR2E3
MS00479|ZNF784,0.04879677632600756,ZNF784
MS00652|NR2E1,0.0506917781119201,NR2E1
M00082|RUNX1,0.051098816079590714,RUNX1
M01709|MAFA,0.05117075598748006,MAFA
UP00137|Hoxb3,0.05123221536902544,Hoxb3
MS00506|HOXD11,0.05328794986590923,HOXD11
UP00129|Pou3f1,0.05384882493667001,Pou3f1
MC00272|CEBPB,0.053981839675472494,CEBPB
UP00048|RARA,0.055445562853993886,RARA
UP00081|Mybl1,0.05653966955002368,Mybl1
UP00184|Lhx8,0.05693544911209896,Lhx8
