Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
NFIX,MS00115;1.98E-01,MS00822;2.53E-01,,,
BCL6,M01171;1.99E-01,MC00386;2.49E-01,,,
NR1H4,M01268;1.99E-01,,,,
ZNF410,MS00412;2.03E-01,,,,
TCF12,MC00126;2.04E-01,,,,
Rela,MC00135;2.05E-01,,,,
Zfp652,MS00501;2.05E-01,,,,
Dbp,MS00316;2.06E-01,,,,
ATF1,UP00020;2.07E-01,,,,
TGIF2,MS00096;2.08E-01,,,,
Trp63,M01656;2.12E-01,,,,
Klf12,MS00157;2.13E-01,,,,
Hoxb4,MC00136;2.13E-01,UP00144;9.06E-01,,,
OLIG3,MS00280;2.18E-01,,,,
KLF16,MS00146;2.19E-01,,,,
Atf4,MS00295;2.19E-01,,,,
STAT5A,MC00453;2.19E-01,,,,
RORA,MS00686;2.20E-01,MS00685;3.95E-01,,,
CEBPA,M00159;2.20E-01,MC00273;8.33E-01,,,
SIX5,MC00334;2.20E-01,,,,
MSC,MS00807;2.26E-01,,,,
RXRB,MS00692;2.27E-01,,,,
SP4,MS00235;2.29E-01,,,,
KLF14,MS00135;2.29E-01,,,,
BHLHE23,MS00250;2.30E-01,,,,
Rxra,MC00471;2.30E-01,,,,
TFAP4,MS00287;2.31E-01,,,,
Zfp423,MA0116;2.32E-01,,,,
SOX14,MS00748;2.32E-01,,,,
GLI2,MS00843;2.32E-01,,,,
BCL6B,MS00011;2.32E-01,,,,
MGA,MS00186;2.34E-01,MS00188;3.08E-01,,,
Tcfap2b,UP00010;2.35E-01,,,,
Foxa2,MC00105;2.37E-01,,,,
Hoxa11,MS00515;2.37E-01,MS00514;7.23E-01,,,
Otx1,MS00586;2.38E-01,,,,
ATF3,MC00473;2.39E-01,,,,
ZNF628,M01081;2.41E-01,,,,
HMGA1,M00750;2.44E-01,M01010;9.15E-01,,,
ZNF282,MS00729;2.45E-01,,,,
Egr3,MS00789;2.47E-01,,,,
DLX4,MS00430;2.48E-01,,,,
TBX2,MS00213;2.49E-01,MS00211;3.23E-01,,,
Jund,MC00154;2.49E-01,,,,
Rara,MS00698;2.49E-01,MC00252;3.20E-01,,,
Foxg1,MS00392;2.50E-01,MS00393;5.48E-01,,,
SIX2,UP00159;2.50E-01,,,,
NFIL3,MS00337;2.51E-01,,,,
ATF2::JUN,M00041;2.52E-01,,,,
NR6A1,M00526;2.52E-01,,,,
ZIC4,MS00357;2.53E-01,,,,
PAX3,MS00119;2.56E-01,M00327;6.46E-01,,,
GATA4,M00632;2.57E-01,,,,
MYBL2,MS00105;2.58E-01,MS00102;7.40E-01,MS00103;9.66E-01,,
DLX2,MS00428;2.59E-01,UP00126;6.34E-01,,,
NKX3-2,MS00573;2.61E-01,,,,
SOX4,MS00766;2.63E-01,UP00401;6.20E-01,,,
IRX2,MS00526;2.63E-01,UP00236;6.52E-01,,,
FOXK1,MS00371;2.64E-01,,,,
GCM2,MS00050;2.65E-01,,,,
