,0,TF
MC00473|ATF3,0.23235023866028698,ATF3
MS00337|NFIL3,0.23691432562673853,NFIL3
MS00392|Foxg1,0.23726263200768372,Foxg1
MS00096|TGIF2,0.2397596506928533,TGIF2
M00159|CEBPA,0.23984235398394013,CEBPA
M01656|Trp63,0.24155412989443836,Trp63
MS00789|Egr3,0.24215787523902618,Egr3
UP00159|SIX2,0.243729679938101,SIX2
M00526|NR6A1,0.24438587514397278,NR6A1
M00632|GATA4,0.24620787857568255,GATA4
UP00010|Tcfap2b,0.2462263668908196,Tcfap2b
MS00357|ZIC4,0.2477062988159551,ZIC4
MS00213|TBX2,0.2479037351519481,TBX2
MS00428|DLX2,0.24824017754612285,DLX2
MC00453|STAT5A,0.24981988555436888,STAT5A
MS00430|DLX4,0.2504316737560757,DLX4
MS00295|Atf4,0.2514714187164774,Atf4
MS00573|NKX3-2,0.2556746036827715,NKX3-2
MS00250|BHLHE23,0.2563910415108132,BHLHE23
MS00105|MYBL2,0.25703195824024283,MYBL2
MS00119|PAX3,0.2573794975452942,PAX3
MS00371|FOXK1,0.2605280280037157,FOXK1
M01783|SP2,0.26135654765881267,SP2
M01004|IKZF2,0.26262485580208034,IKZF2
MS00698|Rara,0.2634192422883511,Rara
MC00154|Jund,0.2652696893574884,Jund
M00444|VDR,0.26605180836823256,VDR
MS00567|EGR3,0.26685903999487737,EGR3
MS00515|Hoxa11,0.2673483621172725,Hoxa11
MS00315|DBP,0.2688759353427319,DBP
M01742|Zscan10,0.2694364180783729,Zscan10
MS00319|JDP2,0.27108527995390974,JDP2
MC00316|HIF1A,0.27247366078634905,HIF1A
M00750|HMGA1,0.2726221367449136,HMGA1
MS00766|SOX4,0.27322032320602613,SOX4
MS00432|DLX6,0.2735882152104813,DLX6
MS00079|HINFP1,0.27412144436291996,HINFP1
M01480|Obox5,0.27550964006020345,Obox5
MS00171|Rfx2,0.2781375723301837,Rfx2
M00041|ATF2::JUN,0.27971696612561975,ATF2::JUN
MS00603|PRRX2,0.2809453960650587,PRRX2
MS00526|IRX2,0.28487239502178896,IRX2
MS00700|Rarb,0.2860014838259547,Rarb
MS00658|NR2F6,0.2875952787608383,NR2F6
MS00679|ONECUT2,0.28801617177870076,ONECUT2
MS00050|GCM2,0.2889898891249786,GCM2
MS00628|Vsx1,0.2903835744557838,Vsx1
MC00278|ETS1,0.2929846022450518,ETS1
UP00207|HOXB9,0.29334463404521155,HOXB9
MC00505|POLR2B,0.29360062538003184,POLR2B
MC00187|Ctcf,0.2984544722015947,Ctcf
M00695|TEAD2,0.2993135411635253,TEAD2
MC00432|HNF4A,0.30043789425989353,HNF4A
MS00425|CDX1,0.3028141393915481,CDX1
MS00162|RFX2,0.3038994838714883,RFX2
MS00788|SRY,0.30480487376622706,SRY
MC00373|Mxi1,0.30797494421869415,Mxi1
UP00185|PBX1,0.3094974152795274,PBX1
MS00258|HEY1,0.3127177682820327,HEY1
MA0103|ZEB1,0.314938197486024,ZEB1
MS00351|FOXC1,0.31507214089964714,FOXC1
MC00293|Gfi1b,0.315201255081884,Gfi1b
MC00128|CTCF,0.31771656567501433,CTCF
MC00532|Mycn,0.31926568647720566,Mycn
M01744|ZFP42,0.3200748439361231,ZFP42
MS00091|PKNOX1,0.3248133043814202,PKNOX1
MS00324|Jdp2,0.3251020766938206,Jdp2
MC00439|TP63,0.3259150658959388,TP63
M01252|E2F6,0.3266935916455233,E2F6
MS00260|HEY2,0.32721771433958635,HEY2
MS00035|GLIS2,0.3272420066503744,GLIS2
MC00183|Snai1,0.3293314405606146,Snai1
UP00088|PLAGL1,0.3301847107138204,PLAGL1
MS00609|RHOXF1,0.33297389006939626,RHOXF1
UP00084|Gmeb1,0.33308340854536284,Gmeb1
MS00520|Hoxd13,0.33689381638695787,Hoxd13
MC00260|Pax3,0.33712151288399006,Pax3
MC00511|Rxrg,0.342703000570849,Rxrg
M01479|POU6F1,0.3434529984302228,POU6F1
M00644|UBP1,0.3442870502105401,UBP1
MS00463|GSC2,0.3450367039390907,GSC2
MC00413|Runx1,0.345955534353743,Runx1
MC00374|TFAP2C,0.3461346548565321,TFAP2C
MC00467|RXRA,0.34621122367553164,RXRA
M01177|SREBF2,0.3490263430078938,SREBF2
UP00252|HOXC5,0.35112424208282783,HOXC5
M01118|WT1,0.3533465198719682,WT1
MS00485|HOXA13,0.35399449558679125,HOXA13
MS00615|Shox2,0.35515682872332033,Shox2
MS00272|NEUROG2,0.35535360849502184,NEUROG2
M01195|TBX22,0.356685053815574,TBX22
MC00402|Hoxc9,0.3597419313633355,Hoxc9
MS00431|DLX5,0.3600534750605311,DLX5
UP00003|E2F3,0.36243723587365667,E2F3
MS00605|RAXL1,0.36429446526517767,RAXL1
