Gene,Protein,category_PDL_Time18,category_PDL_Time25,category_PDL_Time32,category_PDL_Time33,category_PDL_Time37,category_PDL_Time46,category_PDL_Time50,category_PDLPval_Time,category_PDLlocalFDR_Time,category_PDLPval_Category,category_PDLlocalFDR_Category,category_hTERT_Time18,category_hTERT_Time25,category_hTERT_Time32,category_hTERT_Time33,category_hTERT_Time37,category_hTERT_Time46,category_hTERT_Time50,category_hTERTPval_Time,category_hTERTlocalFDR_Time,category_hTERTPval_Category,category_hTERTlocalFDR_Category
IRAK2,sp|O43187|IRAK2-HUMAN,-0.389301,-0.30752,-0.225739,-0.214056,-0.167323,-0.0621761,-0.015444,0.297135607285519,0.359801370292813,0.418074712234614,0.456274934491109,-0.109207,-0.0559101,-0.00261356,0.00500023,0.0354554,0.10398,0.134435,0.455303815655194,0.754692878690732,,
EOGT,sp|Q5NDL2|EOGT-HUMAN,-0.0179161,0.0753909,0.168698,0.182028,0.235346,0.355312,0.40863,0.000414637369477071,0.000963065789407575,0.0000000000141204244851539,0.0000000000963763391396033,-0.0450034,-0.13736,-0.229717,-0.242911,-0.295686,-0.414431,-0.467206,0.000488913433241377,0.0141325102442594,,
SAMD4B,sp|Q5PRF9|SMAG2-HUMAN,0.107018,0.100366,0.093714,0.0927638,0.0889626,0.08041,0.0766088,0.880768324522363,0.902745242031419,0.498743854120744,0.533640877099952,-0.0106775,-0.0158328,-0.0209881,-0.0217246,-0.0246705,-0.0312987,-0.0342446,0.907875639656118,0.971681160707381,,
BRMS1L,sp|Q5PSV4|BRM1L-HUMAN,0.537229,0.313696,0.0901628,0.0582295,-0.0695036,-0.356903,-0.484636,0.00126303974998967,0.00266998843068655,0.00287398713443019,0.00460567177034773,,,,,0.23174,0.401019,0.476254,0.292355881808148,0.618646926656,,
TBCEL,sp|Q5QJ74|TBCEL-HUMAN,-0.153458,-0.038769,0.0759202,0.0923044,0.157841,0.305299,0.370836,0.000000502104052659539,0.00000217775233752286,0.00000000000559310340670645,0.0000000000422391535734973,-0.216831,-0.239469,-0.262106,-0.26534,-0.278276,-0.307381,-0.320317,0.235625571844805,0.559029892101997,,
DNTTIP2,sp|Q5QJE6|TDIF2-HUMAN,0.346717,0.119934,-0.106848,-0.139246,-0.268836,-0.560413,-0.690003,0.0000000000532040094571291,0.000000000874499413911208,0.000000000023450320117387,0.000000000152171289093896,0.189005,0.200292,0.211579,0.213191,0.219641,0.234153,0.240603,0.64748667632766,0.869185292887158,,
DCAF10,sp|Q5QP82|DCA10-HUMAN,0.193357,0.13732,0.081283,0.0732777,0.0412565,-0.0307912,-0.0628124,0.0275349559144562,0.0434462403297742,0.145922089879076,0.174746440360385,0.0535032,0.0698636,0.086224,0.0885612,0.0979099,0.118945,0.128293,0.555372766809525,0.820893758574193,,
RABGAP1L,sp|Q5R372-5|RBG1L-HUMAN,-0.122082,-0.254899,-0.387716,-0.406689,-0.482585,-0.653349,-0.729244,0.0309253126299692,0.0482263331237859,0.000000411669877358812,0.00000116263642852239,0.324487,0.355447,0.386407,0.39083,0.408521,0.448327,0.466018,0.605110510596728,0.846024510164287,,
ELFN2,sp|Q5R3F8|PPR29-HUMAN,-0.852041,-0.434323,-0.016605,0.043069,0.281765,0.818831,1.05753,0.00106474921977279,0.00228114603985245,0.0785188987884381,0.0987618013542747,,,,,0.0600483,0.178522,0.231176,0.670791168371946,0.879018784877552,,
TTC38,sp|Q5R3I4|TTC38-HUMAN,0.0778892,0.117032,0.156175,0.161766,0.184134,0.23446,0.256827,0.14265366170385,0.188589163379384,0.00000339560951648755,0.00000834957742707512,-0.228675,-0.205339,-0.182003,-0.17867,-0.165335,-0.135332,-0.121997,0.37955295788453,0.695520235423937,,
COX20,sp|Q5RI15-2|COX20-HUMAN,0.343302,0.194136,0.04497,0.0236606,-0.061577,-0.253362,-0.338599,0.00000000859494793017525,0.0000000610585630694499,0.000224067379365959,0.000424342843527113,0.10906,0.0844248,0.0597891,0.0562698,0.0421923,0.0105179,-0.00355962,0.225436494136091,0.546607918072285,,
WDR91,sp|A4D1P6|WDR91-HUMAN,-0.0108902,0.035316,0.0815222,0.0881231,0.114527,0.173935,0.200338,0.0524144138222484,0.0772668201987815,0.0000419048794514437,0.0000883817231065329,-0.119401,-0.131047,-0.142692,-0.144356,-0.151011,-0.165984,-0.172639,0.617589193370161,0.853407755442268,,
PHF1,sp|O43189|PHF1-HUMAN,0.0374113,-0.010517,-0.0584452,-0.0652921,-0.0926796,-0.154302,-0.181689,0.207696415459504,0.262603681194582,0.027645369176666,0.0375657182205669,0.13774,0.137369,0.136999,0.136946,0.136734,0.136257,0.136045,0.992613015244557,0.997372192826639,,
EXOSC6,sp|Q5RKV6|EXOS6-HUMAN,0.268468,0.0171991,-0.23407,-0.269965,-0.413548,-0.736608,-0.88019,0.00000000301165412892175,0.0000000250782373620486,0.000000000158007752787547,0.000000000845450331482278,0.226607,0.223455,0.220303,0.219852,0.218051,0.213999,0.212198,0.922307200648389,0.977097927706369,,
TMEM201,sp|Q5SNT2|TM201-HUMAN,0.217395,0.0947797,-0.0278354,-0.0453519,-0.115418,-0.273066,-0.343132,0.000000055041219387135,0.000000308379762917899,0.0000232167887576142,0.0000508266878285756,0.08571,0.0903079,0.0949058,0.0955626,0.0981899,0.104101,0.106729,0.831171121883238,0.947461141488629,,
