,0,TF
UP00199|SIX4,1.1362693181837408e-06,SIX4
MC00407|Myc,1.2427599628978376e-06,Myc
MC00122|Cebpa,1.4147442116403916e-06,Cebpa
MS00304|CREB3L1,1.7106071180113572e-06,CREB3L1
UP00190|NKX2-3,1.7129905072200224e-06,NKX2-3
MC00335|ESR1,1.7512946481458376e-06,ESR1
MC00408|Myb,1.8477453829489274e-06,Myb
MS00018|ETV4,1.9925347990487443e-06,ETV4
M01334|Nkx1-1,2.2089706787582208e-06,Nkx1-1
MS00274|NHLH1,2.364558728368363e-06,NHLH1
MC00130|Pparg,2.3916665582135357e-06,Pparg
UP00418|Etv6,2.401154698260755e-06,Etv6
MA0051|IRF2,2.68444124307499e-06,IRF2
MC00339|NFE2L2,2.7159058269197133e-06,NFE2L2
MC00473|ATF3,2.7332703242848293e-06,ATF3
UP00404|ELF2,3.0998902106655214e-06,ELF2
MC00273|CEBPA,3.1999471893067975e-06,CEBPA
MS00046|GLIS3,3.4736327342489354e-06,GLIS3
MS00062|HSFY2,3.5127094038660384e-06,HSFY2
MS00641|Esrra,3.6125421975574224e-06,Esrra
MS00794|Sox10,4.41913544845332e-06,Sox10
UP00000|SMAD3,4.733558535372245e-06,SMAD3
MC00385|Ets1,5.0616087841302276e-06,Ets1
MC00187|Ctcf,5.148941649662223e-06,Ctcf
UP00413|Elf4,5.281549112156045e-06,Elf4
MS00548|Lhx8,5.59840353608679e-06,Lhx8
MS00248|BHLHB3,5.869795108991652e-06,BHLHB3
MS00016|ETV2,6.349586503004772e-06,ETV2
M00072|TFCP2,6.551049177015393e-06,TFCP2
MC00124|MAX,7.949509495511337e-06,MAX
MC00439|TP63,8.538023038154523e-06,TP63
MC00370|Npas4,8.884974469825275e-06,Npas4
MS00308|CREB3,1.3259152330349584e-05,CREB3
MS00266|MLX,1.4033307671222518e-05,MLX
MC00337|Ikzf3,1.5614021157020624e-05,Ikzf3
MS00073|IRF9,1.685351815342777e-05,IRF9
MS00050|GCM2,1.8342993938377795e-05,GCM2
UP00092|MYB,1.9481717262034623e-05,MYB
MC00333|ESR2,2.0271125723368886e-05,ESR2
MC00132|TP73,2.1254419960572215e-05,TP73
UP00020|ATF1,2.8908699826487625e-05,ATF1
MS00247|BHLHB2,3.0059699154039288e-05,BHLHB2
UP00086|IRF3,3.118308303928637e-05,IRF3
MS00111|NFKB2,3.167322815996039e-05,NFKB2
MS00727|ZBTB49,3.200002692282808e-05,ZBTB49
M00133|POU3F1,3.2011512272663405e-05,POU3F1
MC00448|Nr1h2,3.51360374487347e-05,Nr1h2
MS00638|ESRRG,4.4319374104641736e-05,ESRRG
MS00256|HES7,4.52791946497741e-05,HES7
MC00377|Trp53,5.239511140556768e-05,Trp53
MC00355|SRF,6.0310984696739916e-05,SRF
MS00065|IRF4,6.164432034753417e-05,IRF4
M01241|GTF2IRD1,6.472481270604477e-05,GTF2IRD1
M00500|STAT6,7.130240349982535e-05,STAT6
MA0116|Zfp423,8.208432067097894e-05,Zfp423
MC00272|CEBPB,9.093128375112736e-05,CEBPB
MS00282|Srebf1,0.00010128361158816414,Srebf1
MS00416|BARHL2,0.00011060433872691311,BARHL2
MS00177|RUNX3,0.000113103198290356,RUNX3
MS00327|MAFG,0.0001173729794815531,MAFG
MS00445|ZNF740,0.00012700543616596383,ZNF740
MS00527|IRX5,0.00012983462638755847,IRX5
M00405|MEF2A,0.00013520487838200986,MEF2A
MS00326|MAFF,0.00016302816595082837,MAFF
M00179|ATF2,0.0001737105492441177,ATF2
MS00512|Zfp740,0.00017828458074606847,Zfp740
UP00081|Mybl1,0.00017972800410018917,Mybl1
MA0073|RREB1,0.0001933343951708099,RREB1
MS00300|CEBPE,0.00021706350586073758,CEBPE
M00706|GTF2I,0.00022485411107520188,GTF2I
MS00270|Mlx,0.0002258385028399273,Mlx
MS00684|RARG,0.00026950103270411227,RARG
MC00128|CTCF,0.0002733870203228616,CTCF
MC00467|RXRA,0.00030454431258904115,RXRA
M01069|GZF1,0.00031112088504504443,GZF1
UP00401|SOX4,0.0003480687935354658,SOX4
MS00251|BHLHE41,0.0003739783201871627,BHLHE41
MC00359|TP53,0.00041529951375598165,TP53
MS00022|Elf5,0.00042245390095626325,Elf5
MS00302|CEBPG,0.000426647970604725,CEBPG
MS00611|Rhox11,0.00044590633373427907,Rhox11
M00467|ZNF423,0.00045945807108560343,ZNF423
MS00101|Hic1,0.00047365258714577,Hic1
M01709|MAFA,0.000487750061625933,MAFA
UP00185|PBX1,0.0005017721268850518,PBX1
MS00207|TBX21,0.0005067689824124865,TBX21
MA0386|TBP,0.0005369883325084355,TBP
M01067|GFI1,0.0005787003769233563,GFI1
MS00834|ELF4,0.0005925911199261355,ELF4
UP00243|Isx,0.000617996574505448,Isx
MC00281|PBX3,0.0006851383603503843,PBX3
MS00355|FOXD2,0.0006904952897736989,FOXD2
M01656|Trp63,0.0006968208667707165,Trp63
MS00526|IRX2,0.0007059269162606256,IRX2
UP00035|HIC1,0.0007218400493217719,HIC1
M00694|E4F1,0.0007725971377374811,E4F1
MC00289|HSF1,0.0008052593404909703,HSF1
MS00507|HOXD11,0.0008301661469512716,HOXD11
M01364|Obox2,0.0008557385716383384,Obox2
MC00295|Esr1,0.0008678770420100007,Esr1
M00115|CNTN2::CREB1,0.0008805583970332653,CNTN2::CREB1
MS00162|RFX2,0.0009158546173205961,RFX2
UP00048|RARA,0.0009282400978108042,RARA
MC00475|Nfic,0.0009329132613982559,Nfic
MC00316|HIF1A,0.0010082235226660523,HIF1A
MS00338|NRL,0.00102549351680334,NRL
M01723|SATB1,0.0011429953320151063,SATB1
MS00371|FOXK1,0.0011511709241338493,FOXK1
MS00255|HES5,0.0011593187896458365,HES5
UP00011|IRF6,0.001179692143396346,IRF6
M00648|MAF,0.0012310729999835904,MAF
MS00694|RXRG,0.001231509002226908,RXRG
MS00125|PAX6,0.001258140130593682,PAX6
M00105|CUX1,0.0012820564200445735,CUX1
UP00164|HOXA7,0.0013165293921264343,HOXA7
MA0030|FOXF2,0.001332793846980325,FOXF2
MS00525|Hoxd9,0.001423779819124833,Hoxd9
M00478|CDC5L,0.0015260006113915548,CDC5L
MS00386|FOXO6,0.0015549609733220577,FOXO6
MC00524|Nr1d1,0.0015549991796792396,Nr1d1
MC00141|Stat1,0.0015629587899033473,Stat1
M00041|ATF2::JUN,0.0016077656581335459,ATF2::JUN
MS00194|TBX19,0.0016168960773212753,TBX19
UP00125|PITX2,0.001628003184640927,PITX2
M00999|AIRE,0.0017031551902720544,AIRE
MS00422|Barhl1,0.0018171532814437402,Barhl1
MC00129|Fli1,0.0018307833723344965,Fli1
UP00177|Hoxd12,0.0018749536134072106,Hoxd12
MS00115|NFIX,0.0019022166213697863,NFIX
MS00812|ELF3,0.0019090674293343614,ELF3
MS00503|HOXC12,0.0020073731158075604,HOXC12
MS00383|FOXO4,0.0020904006060628215,FOXO4
MC00192|ZNF263,0.0021281034818304285,ZNF263
UP00148|Hdx,0.002145309363262366,Hdx
M00085|ZBTB6,0.002409335858181392,ZBTB6
MS00249|BHLHE22,0.002414632560676744,BHLHE22
MS00168|PRDM1,0.002421457843378787,PRDM1
MC00476|Rarg,0.0025261037830461817,Rarg
MS00358|FOXD3,0.0025736356436157196,FOXD3
M00644|UBP1,0.002754733073222555,UBP1
MS00343|FOXB1,0.00277265446400973,FOXB1
UP00132|Evx2,0.0027916041940850792,Evx2
MS00582|OTX1,0.002852434189484789,OTX1
MS00376|FOXO1,0.002865935452868283,FOXO1
MS00128|PAX9,0.0028710921386270118,PAX9
MS00808|TFEC,0.0028937942605224997,TFEC
MA0101|REL,0.0030319703927795846,REL
MC00134|Ppara,0.003033393750535343,Ppara
MS00264|MESP1,0.003042708009276362,MESP1
