,0,TF
MS00838|ELF5,1.1169036029200061e-05,ELF5
UP00065|Zfp161,1.1684978523363625e-05,Zfp161
MC00412|VDR,1.335189335624582e-05,VDR
MC00367|GABPA,1.349302198511775e-05,GABPA
M00665|SP3,1.3617745151445029e-05,SP3
MS00267|MNT,1.3895251158926634e-05,MNT
M00179|ATF2,1.4373380842852977e-05,ATF2
MC00128|CTCF,1.4390603261247887e-05,CTCF
MC00333|ESR2,1.4557189839549432e-05,ESR2
MC00124|MAX,1.4690269414516394e-05,MAX
UP00035|HIC1,1.5011449138934897e-05,HIC1
MS00258|HEY1,1.5340613269146846e-05,HEY1
UP00330|XBP1,1.6509677685892128e-05,XBP1
M01733|MZF1,1.8305311669717234e-05,MZF1
M00518|PPARG::RXRA,1.8534445872919887e-05,PPARG::RXRA
MC00187|Ctcf,1.9816622564744807e-05,Ctcf
MS00394|Foxj3,1.998586544223215e-05,Foxj3
UP00423|Gm5454,1.998619196654708e-05,Gm5454
MC00532|Mycn,2.0131346320248257e-05,Mycn
M00433|Hmx3,2.0148304574881074e-05,Hmx3
MC00373|Mxi1,2.0480198135312953e-05,Mxi1
MC00458|TAL1,2.0631820663281448e-05,TAL1
MC00335|ESR1,2.0632211406737688e-05,ESR1
MS00572|NKX3-1,2.1300636559040846e-05,NKX3-1
MS00325|Jdp2,2.1444863885312586e-05,Jdp2
M00341|GABPB1,2.3310446242968442e-05,GABPB1
MS00662|NR3C2,2.341106742311894e-05,NR3C2
MS00323|ZBTB7C,2.472054134993834e-05,ZBTB7C
M00648|MAF,2.4721954997702025e-05,MAF
MC00316|HIF1A,2.474102753206045e-05,HIF1A
MC00206|ELK1,2.6056023424238412e-05,ELK1
M00072|TFCP2,2.6218844263125002e-05,TFCP2
MC00356|Tbx21,2.6642629365194556e-05,Tbx21
MC00351|FOSL1,2.769250262861472e-05,FOSL1
M01288|NEUROD1,2.967946073875643e-05,NEUROD1
M01783|SP2,3.0401502586362243e-05,SP2
MS00846|ERF,3.132050674683395e-05,ERF
MA0073|RREB1,3.192792879981178e-05,RREB1
M00327|PAX3,3.275968771153968e-05,PAX3
MS00423|ZNF524,3.3134722143495106e-05,ZNF524
MC00407|Myc,3.358494546931519e-05,Myc
MC00509|NR2C2,3.533067127037521e-05,NR2C2
UP00095|Zfp691,3.6186819728581525e-05,Zfp691
UP00028|Tcfap2e,3.7757859471136016e-05,Tcfap2e
MS00235|SP4,3.8664248089694615e-05,SP4
MS00230|TFAP2B,3.9906028482329275e-05,TFAP2B
MS00027|FLI1,4.2083098603384474e-05,FLI1
MS00179|SCRT1,4.210757953680033e-05,SCRT1
MC00132|TP73,4.3464711891428317e-05,TP73
MS00255|HES5,4.396239457797547e-05,HES5
MC00126|TCF12,4.4974125778003234e-05,TCF12
M01118|WT1,4.5194031325311514e-05,WT1
MC00359|TP53,4.533493784152371e-05,TP53
MC00193|RELA,4.7715864331478764e-05,RELA
MS00087|Meis2,5.088812728598372e-05,Meis2
UP00094|Zfp128,5.210248064937902e-05,Zfp128
MC00396|Nr3c1,5.4064184983161157e-05,Nr3c1
M00999|AIRE,5.4538323746990064e-05,AIRE
M01009|HES1,5.5543310854995316e-05,HES1
M01177|SREBF2,5.563189846351556e-05,SREBF2
MS00392|Foxg1,5.822217040817633e-05,Foxg1
MS00088|Meis3,5.9250330193428945e-05,Meis3
MC00394|MYC,5.9695011493661664e-05,MYC
