,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
73696|LEO1,0.0026896951917879976,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
41167|CEBPA,0.0026896951917879976,Homo sapiens,CEBPA,tf,SGBS,Adipocyte,Adipose,1,CEBPA
76859|IRAK1,0.002824339277974534,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
34565|SPI1,0.003708710069035453,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0,SPI1
37623|MYH11,0.0042578841882320575,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
64414|HMBOX1,0.004587129528759306,Homo sapiens,HMBOX1,,K562,Erythroblast,Bone Marrow,1,HMBOX1
74345|OTX2,0.004760124098470772,Homo sapiens,OTX2,tf,D283 Med,None,None,1,OTX2
49036|ERCC6,0.005076906236812367,Homo sapiens,ERCC6,predicted chromatin regulator,None,Fibroblast,Skin,1,ERCC6
49021|CPSF3L,0.005545193860834103,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
41303|IRF1,0.0058901293567857295,Homo sapiens,IRF1,tf,None,Monocyte,Blood,1,IRF1
44433|TAL1,0.006069630656541822,Homo sapiens,TAL1,tf,None,None,Cord blood,1,TAL1
74206|BRD4,0.006106107196955291,Homo sapiens,BRD4,cr,SF8628,None,Pontine,1,BRD4
45744|JUN,0.00748950496591282,Homo sapiens,JUN,tf,HeLa-S3,Epithelium,Cervix,1,JUN
41737|NR3C1,0.008757752240420278,Homo sapiens,NR3C1,tf,HEK293,Epithelium,Embryonic Kidney,1,NR3C1
63808|HLF,0.008858782041022016,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
40166|TCF7L1,0.01113604771683763,Homo sapiens,TCF7L1,tf,Kasumi-1,Myeloblast,Blood,1,TCF7L1
70095|TET2,0.011901909701982159,Homo sapiens,TET2,cr,293T,None,None,1,TET2
64576|MAFG,0.012000783217364409,Homo sapiens,MAFG,tf,K562,Erythroblast,Bone Marrow,1,MAFG
65086|ZSCAN16,0.013029333768548724,Homo sapiens,ZSCAN16,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN16
41572|ING2,0.013029333768548724,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
51455|FOXA2,0.0141713658464532,Homo sapiens,FOXA2,tf,HUES64,Embryonic Stem Cell,Embryo,1,FOXA2
45932|GTF2B,0.014209598317771197,Homo sapiens,GTF2B,tf,K562,Erythroblast,Bone Marrow,1,GTF2B
49266|SCML2,0.015982107325917358,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
76812|NEUROG2,0.016540790666613733,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1,NEUROG2
65147|EGR2,0.017251273995306904,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
55668|PAF1,0.017754717433122034,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
69247|SIX2,0.01822321817797631,Homo sapiens,SIX2,tf,None,Cortex,Kidney,1,SIX2
74657|ARID3A,0.019490881555475733,Homo sapiens,ARID3A,tf,HepG2,Epithelium,Liver,1,ARID3A
38661|CAMTA2,0.019743062199270647,Homo sapiens,CAMTA2,tf,LoVo,None,Colon,1,CAMTA2
8770|CHD1,0.020100764349941343,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,CHD1
64077|ATF3,0.02041172659775132,Homo sapiens,ATF3,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ATF3
65116|FEZF1,0.021315008101901442,Homo sapiens,FEZF1,,HEK293,Epithelium,Embryonic Kidney,1,FEZF1
51516|NANOG,0.02153238975343608,Homo sapiens,NANOG,tf,HUES64,Embryonic Stem Cell,Embryo,1,NANOG
73185|GRHL2,0.021806749030368968,Homo sapiens,GRHL2,tf,MCF-7,asynchonous cells,Breast,1,GRHL2
34017|SMAD3,0.02208405511683356,Homo sapiens,SMAD3,tf,BG03,Embryonic Stem Cell,Embryo,1,SMAD3
49606|TRIM28,0.022195807984914502,Homo sapiens,TRIM28,cr,None,Embryonic Stem Cell,Embryo,0,TRIM28
1010|FOXH1,0.024169814857606463,Homo sapiens,FOXH1,tf,H9,Embryonic Stem Cell,Embryo,1,FOXH1
65122|ZFP64,0.024350861070270964,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
44874|5HMC,0.02453304456031847,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
6546|TP73,0.024594026033346917,Homo sapiens,TP73,predicted transcription factor,Saos-2,Osteosarcoma cell,Bone,1,TP73
73970|ZNF202,0.02465513465497797,Homo sapiens,ZNF202,,293T,None,None,1,ZNF202
45771|STAT3,0.025335777571408574,Homo sapiens,STAT3,tf,HeLa-S3,Epithelium,Cervix,1,STAT3
48334|SNAI2,0.026096179328046816,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,0,SNAI2
5460|CDX2,0.026353850300861785,Homo sapiens,CDX2,tf,LS180,Epithelium,Colon,1,CDX2
52496|TCF21,0.026548496123455737,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
9230|CBX3,0.026744341591989768,Homo sapiens,CBX3,cr,HCT-116,None,Colon,1,CBX3
50112|MAFB,0.026744341591989768,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
68052|RELB,0.02842376621269036,Homo sapiens,RELB,tf,L1236,Hodgkin Lymphoma Cell,None,1,RELB
74831|T,0.02926053951700787,Homo sapiens,T,tf,T47D,None,None,1,T
68048|NFKB1,0.031069615407583424,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
74838|JMJD6,0.034075825768414864,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
2811|RARA,0.034316655360576695,Homo sapiens,RARA,tf,UPR9,Promyelocytic cell,Bone Marrow,1,RARA
64770|SRSF3,0.034802511438957295,Homo sapiens,SRSF3,,HepG2,Epithelium,Liver,1,SRSF3
54241|FOSL2,0.035791169405898896,Homo sapiens,FOSL2,tf,None,Stromal Cell,Endometrium,1,FOSL2
69203|TRIM24,0.03612579223194808,Homo sapiens,TRIM24,both predicted transcription factor and chromatin regulator,LNCaP,Epithelium,Prostate,0,TRIM24
73002|CTCF,0.03654766879133087,Homo sapiens,CTCF,tf,MCF-7,None,Breast,0,CTCF
2684|PHF8,0.03697356768147625,Homo sapiens,PHF8,cr,SH-SY5Y,None,Bone Marrow,1,PHF8
45817|MAFK,0.03748999285467736,Homo sapiens,MAFK,tf,HepG2,Epithelium,Liver,1,MAFK
71206|PIAS1,0.04136572100236459,Homo sapiens,PIAS1,other,LNCaP,Epithelium,Prostate,1,PIAS1
73714|AFF1,0.04155361040533684,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
48997|AFF4,0.042888274466297095,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
5441|FLI1,0.042888274466297095,Homo sapiens,FLI1,tf,None,Endothelial Cell,Umbilical Vein,1,FLI1
41793|JARID2,0.043081737944453066,Homo sapiens,JARID2,cr,None,iPSC,None,1,JARID2
64780|JUNB,0.043373254380481285,Homo sapiens,JUNB,tf,GM12878,B Lymphocyte,Blood,1,JUNB
47774|LDB1,0.043470779696031775,Homo sapiens,LDB1,not sure,None,Erythroid Progenitor Cell,Blood,1,LDB1
8816|KDM4A,0.0442573697044649,Homo sapiens,KDM4A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM4A
35268|SNAPC1,0.04475478696779708,Homo sapiens,SNAPC1,not sure,MCF-10A,Epithelium,Breast,1,SNAPC1
57092|HEXIM1,0.044854808622931314,Homo sapiens,HEXIM1,other,HCT-116,None,Colon,1,HEXIM1
43684|KDM4C,0.044854808622931314,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
5457|TCF4,0.04566147573981194,Homo sapiens,TCF4,tf,LS180,Epithelium,Colon,1,TCF4
42176|MITF,0.04576312402728503,Homo sapiens,MITF,tf,None,Melanocyte,None,0,MITF
65018|ZNF18,0.04617153719564091,Homo sapiens,ZNF18,,HEK293,Epithelium,Embryonic Kidney,1,ZNF18
56667|HOXB13,0.04689329974877116,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
37565|REPIN1,0.047101171430342814,Homo sapiens,REPIN1,predicted transcription factor,DLD-1,Epithelium,Colon,1,REPIN1
74398|IL1B,0.0473097812236388,Homo sapiens,IL1B,other,MCF-7,None,Breast,1,IL1B
8658|HDAC1,0.04815163514147812,Homo sapiens,HDAC1,cr,VCaP,Epithelium,Prostate,1,HDAC1
72878|MYF5,0.04868385244186215,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
52302|TP63,0.048898051633757454,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,None,1,TP63
51468|GATA4,0.04998036684906408,Homo sapiens,GATA4,tf,HUES64,Embryonic Stem Cell,Embryo,1,GATA4
37604|CBFB,0.051192888259196496,Homo sapiens,CBFB,predicted transcription factor,ME-1,Leukemia Cell,None,1,CBFB
62919|ZSCAN29,0.051415840832432815,Homo sapiens,ZSCAN29,,K562,Erythroblast,Bone Marrow,1,ZSCAN29
77098|ZNF534,0.05175171694466823,Homo sapiens,ZNF534,tf,293T,None,None,1,ZNF534
58881|RAD21,0.05220226202827815,Homo sapiens,RAD21,not sure,TF-1,Erythroblast,Bone Marrow,1,RAD21
64128|MEF2D,0.05242869985066364,Homo sapiens,MEF2D,tf,K562,Erythroblast,Bone Marrow,1,MEF2D
65108|OSR2,0.0562786344238208,Homo sapiens,OSR2,,HEK293,Epithelium,Embryonic Kidney,1,OSR2
43893|HOXC9,0.0562786344238208,Homo sapiens,HOXC9,tf,BE2-C,Neuroblast,Brain,1,HOXC9
2397|STAG1,0.05761035899116632,Homo sapiens,STAG1,not sure,MCF-7,Epithelium,Breast,1,STAG1
53873|MEF2B,0.058223823974877985,Homo sapiens,MEF2B,tf,HEK293A,None,None,1,MEF2B
53629|STAT5B,0.058842409220088765,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,1,STAT5B
8448|TCF7L2,0.05971707866492376,Homo sapiens,TCF7L2,tf,U937,None,Pleura,1,TCF7L2
36075|MYOD1,0.05996884626988831,Homo sapiens,MYOD1,tf,None,Myoblast,None,1,MYOD1
55517|ATF4,0.06149694890311,Homo sapiens,ATF4,tf,HAP-1,None,None,1,ATF4
73958|ZNF320,0.06149694890311,Homo sapiens,ZNF320,,293T,None,None,1,ZNF320
74909|POLR3D,0.061625651214626674,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0,POLR3D
50898|PAX6,0.062272320125225274,Homo sapiens,PAX6,tf,6540 cells,Epithelium,None,1,PAX6
32850|TERC,0.0633179839292719,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
51448|EOMES,0.06531538956322652,Homo sapiens,EOMES,tf,HUES64,Embryonic Stem Cell,Embryo,1,EOMES
45801|MAFF,0.06667391846742851,Homo sapiens,MAFF,tf,HepG2,Epithelium,Liver,1,MAFF
76964|CNOT3,0.06805421326413091,Homo sapiens,CNOT3,tf,HCT-116,Colorectal cancer cell line,None,1,CNOT3
77299|TRIM25,0.06875258278346258,Homo sapiens,TRIM25,,BT-549,None,Breast,1,TRIM25
46183|SIN3A,0.06931524671668549,Homo sapiens,SIN3A,tf,H1,Embryonic Stem Cell,Embryo,1,SIN3A
8800|SAP30,0.0717462126377528,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
45753|TFAP2A,0.07305939839379938,Homo sapiens,TFAP2A,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2A
77148|ZNF282,0.07409342091276958,Homo sapiens,ZNF282,tf,293T,None,None,1,ZNF282
73933|ZNF680,0.07604335701949116,Homo sapiens,ZNF680,,293T,None,None,1,ZNF680
45770|TFAP2C,0.07634678340912301,Homo sapiens,TFAP2C,predicted transcription factor,HeLa-S3,Epithelium,Cervix,1,TFAP2C
70756|MYC,0.07634678340912301,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1,MYC
41788|EZH2,0.07680364915463737,Homo sapiens,EZH2,cr,None,iPSC,None,1,EZH2
58139|RUNX1,0.07803211843033052,Homo sapiens,RUNX1,tf,U937,None,Pleura,1,RUNX1
35704|SUMO2,0.07865191637539333,Homo sapiens,SUMO2,other,WI-38,Fibroblast,Lung,1,SUMO2
45863|RFX5,0.08037559501571373,Homo sapiens,RFX5,tf,IMR90,Fibroblast,Lung,1,RFX5
74680|FOXO3,0.08037559501571373,Homo sapiens,FOXO3,tf,K562,Erythroblast,Bone Marrow,1,FOXO3
44562|EMX1,0.08069203473013231,Homo sapiens,EMX1,tf,293FT,None,Embryonic Kidney,1,EMX1
5888|LIN9,0.08196720645732193,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
54155|FOXP1,0.08261045903138102,Homo sapiens,FOXP1,tf,OCI-Ly10,B Lymphocyte,Bone Marrow,1,FOXP1
54665|HNF4A,0.08341985873675123,Homo sapiens,HNF4A,tf,HCT-116,None,Colon,1,HNF4A
52549|SOX10,0.0835824515454921,Homo sapiens,SOX10,tf,501-Mel,Melanoma Cell,None,1,SOX10
76857|ZMYND8,0.08390835135915338,Homo sapiens,ZMYND8,cr,HEK293,None,Kidney,1,ZMYND8
46377|REST,0.08390835135915338,Homo sapiens,REST,tf,U87,None,Brain,1,REST
58302|BCL6,0.08439898904903526,Homo sapiens,BCL6,predicted transcription factor,None,B Lymphocyte,Tonsil,1,BCL6
64654|FOXJ2,0.08456301239649455,Homo sapiens,FOXJ2,tf,K562,Erythroblast,Bone Marrow,1,FOXJ2
43448|GFI1B,0.08571787695562127,Homo sapiens,GFI1B,predicted transcription factor,None,Proerythroblast,Bone Marrow,1,GFI1B
4931|SOX2,0.08755645904452307,Homo sapiens,SOX2,tf,H1,Embryonic Stem Cell,Embryo,1,SOX2
41412|ERCC2,0.08823228021345192,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
70174|DNMT3B,0.08840184144204644,Homo sapiens,DNMT3B,cr,None,Keratinocyte,Foreskin,1,DNMT3B
49200|PDX1,0.08857164535965739,Homo sapiens,PDX1,tf,None,Embryonic Stem Cell,Embryo,1,PDX1
76854|CDCA2,0.08874169212296174,Homo sapiens,CDCA2,other,HeLa,Epithelium,Cervix,1,CDCA2
45781|TBP,0.09097446970358493,Homo sapiens,TBP,tf,HeLa-S3,Epithelium,Cervix,1,TBP
42938|JUND,0.0927201485843568,Homo sapiens,JUND,tf,GP5d,None,Colon,1,JUND
63552|HES2,0.09289606979820657,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1,HES2
72702|HOXA9,0.09484751482054138,Homo sapiens,HOXA9,tf,HEK293FT,None,Kidney,1,HOXA9
59170|SETD1A,0.09574445421960133,Homo sapiens,SETD1A,predicted chromatin regulator,SEM,Pre-B Lymphocyte,None,1,SETD1A
63591|TCF7,0.09574445421960133,Homo sapiens,TCF7,tf,HepG2,Epithelium,Liver,1,TCF7
65062|ZNF467,0.09592458847294284,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
64052|CEBPG,0.0961049718504534,Homo sapiens,CEBPG,tf,K562,Erythroblast,Bone Marrow,1,CEBPG
53653|CTNNB1,0.09701063055739467,Homo sapiens,CTNNB1,tf,None,Embryonic Stem Cell,None,1,CTNNB1
58843|XRN2,0.10200961003387073,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
64555|IKZF2,0.10238722759965424,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
38585|TAF3,0.10409908805237827,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
63363|C11orf30,0.10505904125011177,Homo sapiens,C11orf30,,K562,Erythroblast,Bone Marrow,1,C11orf30
65186|EGR3,0.1062194224143933,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
44098|FOXP3,0.10641371585712717,Homo sapiens,FOXP3,tf,None,T Lymphocyte,Blood,1,FOXP3
1086|SMAD4,0.1069981356006679,Homo sapiens,SMAD4,predicted transcription factor,H9,Embryonic Stem Cell,Embryo,1,SMAD4
58936|NRF1,0.10719345571941064,Homo sapiens,NRF1,tf,None,Epithelium,None,1,NRF1
64978|WT1,0.10876527739079817,Homo sapiens,WT1,tf,HEK293,Epithelium,Embryonic Kidney,1,WT1
46221|TAF1,0.11035360472734823,Homo sapiens,TAF1,tf,HeLa-S3,Epithelium,Cervix,1,TAF1
59002|LYL1,0.11175697670536212,Homo sapiens,LYL1,predicted transcription factor,HL-60,Promyeloblast,Blood,1,LYL1
77449|NFKB2,0.11216027473978324,Homo sapiens,NFKB2,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB2
