,0,TF
MC00355|SRF,0.007545324250952494,SRF
MC00352|Nr5a2,0.0075652316893242465,Nr5a2
MS00319|JDP2,0.00763498122767319,JDP2
MC00461|Max,0.007696314405602995,Max
MC00122|Cebpa,0.007795128268617743,Cebpa
MS00033|SPDEF,0.007863827623866174,SPDEF
MS00057|HIC2,0.007870212742917533,HIC2
MS00246|SP8,0.007930497146756968,SP8
M00141|IKZF1,0.008193853709619116,IKZF1
UP00112|Gsc,0.008202781343072724,Gsc
M00478|CDC5L,0.008252342343703225,CDC5L
MC00411|BATF,0.008334139855364747,BATF
MC00111|Bcl6,0.008465437158675686,Bcl6
MS00837|HOXD12,0.008605074654141813,HOXD12
MS00399|Foxk1,0.00865628656613363,Foxk1
MS00484|HOXA13,0.008670823459955136,HOXA13
MC00321|JUN,0.008753004828906539,JUN
UP00192|SIX1,0.008862235181650491,SIX1
M01248|NR0B1,0.008920571306416656,NR0B1
MS00376|FOXO1,0.00892199832803835,FOXO1
MC00341|Olig2,0.009160023689809057,Olig2
MS00521|Hoxd3,0.009422262411070068,Hoxd3
MS00356|FOXD2,0.009438440261076767,FOXD2
MA0386|TBP,0.009518718351872417,TBP
MS00143|POU3F3,0.009686382641617431,POU3F3
MS00807|MSC,0.010034941633591631,MSC
MS00190|SCRT2,0.010126578431366821,SCRT2
MS00753|SOX18,0.01032991242643512,SOX18
MC00278|ETS1,0.010906115473805536,ETS1
MC00501|FOXP1,0.010981390222923115,FOXP1
M00500|STAT6,0.011097036054740014,STAT6
MC00396|Nr3c1,0.011355360990356587,Nr3c1
MC00508|Batf,0.011386016871073662,Batf
M01148|DMRT3,0.011471145110595049,DMRT3
MS00454|EVX1,0.011643019911091847,EVX1
MS00542|LHX9,0.011847561877978377,LHX9
MS00425|CDX1,0.012409872246501166,CDX1
MS00045|GATA5,0.012417584213324645,GATA5
MS00251|BHLHE41,0.01247553144512004,BHLHE41
MC00217|FOXA2,0.012871602126248598,FOXA2
M01229|GTF2IRD1,0.013110268016867474,GTF2IRD1
MC00394|MYC,0.013366599386237545,MYC
MS00331|MAFK,0.013433461105651705,MAFK
MS00247|BHLHB2,0.013473824226208932,BHLHB2
UP00113|HOXC4,0.013917792488762818,HOXC4
MS00458|En2,0.01393658186091616,En2
