,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
54628|NCAPG,0.6356287559248188,Homo sapiens,NCAPG,predicted chromatin regulator,MCF-7,Epithelium,Breast,0
397|IGF1R,0.6356287559248188,Homo sapiens,IGF1R,not sure,DFB,Melanocyte,Skin,0
40358|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0
38670|T,0.6356287559248188,Homo sapiens,T,tf,LoVo,None,Colon,0
65150|SNAI1,0.6356287559248188,Homo sapiens,SNAI1,tf,HEK293,Epithelium,Embryonic Kidney,0
65149|SNAI1,0.6356287559248188,Homo sapiens,SNAI1,tf,HEK293,Epithelium,Embryonic Kidney,0
44101|FOXP3,0.6356287559248188,Homo sapiens,FOXP3,tf,None,T Lymphocyte,Blood,1
1348|SMC4,0.6356287559248188,Homo sapiens,SMC4,predicted chromatin regulator,HeLa,Epithelium,Cervix,0
42659|FOXP2,0.6356287559248188,Homo sapiens,FOXP2,tf,LoVo,None,Colon,0
2810|PML,0.6356287559248188,Homo sapiens,PML,tf,UPR9,Promyelocytic cell,Bone Marrow,0
55218|598-SKD,0.6356287559248188,Homo sapiens,598-SKD,other,HeLa,Epithelium,Cervix,1
55365|LOXL1,0.6356287559248188,Homo sapiens,LOXL1,other,None,None,Schlemm's canal,0
55366|LOXL1,0.6356287559248188,Homo sapiens,LOXL1,other,None,None,Lens capsule,0
58337|PAF1,0.6356287559248188,Homo sapiens,PAF1,not sure,LNCaP-abl,Epithelium,Prostate,0
38639|LEF1,0.6356287559248188,Homo sapiens,LEF1,tf,LoVo,None,Colon,0
42665|HIC2,0.6356287559248188,Homo sapiens,HIC2,tf,LoVo,None,Colon,0
37124|HSF1,0.6356287559248188,Homo sapiens,HSF1,tf,None,Epithelium,Mammary Gland,1
42664|HEY1,0.6356287559248188,Homo sapiens,HEY1,tf,LoVo,None,Colon,0
38637|OTX1,0.6356287559248188,Homo sapiens,OTX1,tf,LoVo,None,Colon,0
43546|C10orf12,0.6356287559248188,Homo sapiens,C10orf12,not sure,HEK293T,Epithelium,Embryonic Kidney,0
42663|HESX1,0.6356287559248188,Homo sapiens,HESX1,tf,LoVo,None,Colon,1
42662|HES7,0.6356287559248188,Homo sapiens,HES7,tf,LoVo,None,Colon,0
42661|HES5,0.6356287559248188,Homo sapiens,HES5,tf,LoVo,None,Colon,0
55561|MEF2B,0.6356287559248188,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,0
70104|DROSHA,0.6356287559248188,Homo sapiens,DROSHA,,HeLa,Epithelium,Cervix,1
40291|SIRT3,0.6356287559248188,Homo sapiens,SIRT3,cr,U2OS,None,Bone,0
33503|ESR1,0.6356287559248188,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,0
44055|ARRB1,0.6356287559248188,Homo sapiens,ARRB1,tf,A549,Epithelium,Lung,0
44056|ARRB1,0.6356287559248188,Homo sapiens,ARRB1,tf,A549,Epithelium,Lung,0
33498|ESR1,0.6356287559248188,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,0
37107|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
