,0,TF
UP00009|Nr2f2,0.0951036077803319,Nr2f2
MC00348|STAT1,0.0951784656921583,STAT1
M00490|BACH2,0.0961360945157598,BACH2
MA0101|REL,0.09828022547017781,REL
MC00293|Gfi1b,0.10191665335363607,Gfi1b
MS00653|NR2E1,0.10579632788184716,NR2E1
UP00023|Sox30,0.106724636498975,Sox30
UP00212|LHX5,0.10814398799060704,LHX5
MS00468|ZNF75A,0.10989553385559192,ZNF75A
MS00096|TGIF2,0.1101764488426655,TGIF2
M00964|NR1I2,0.11157659678020504,NR1I2
MS00525|Hoxd9,0.11379611178520284,Hoxd9
MS00641|Esrra,0.11438993601860017,Esrra
MS00356|FOXD2,0.11884904583730592,FOXD2
MC00248|USF1,0.11996070328634578,USF1
MS00094|TGIF1,0.12172570106744235,TGIF1
M00640|HOXA4,0.1219198857756163,HOXA4
MC00337|Ikzf3,0.12666911552091042,Ikzf3
MS00371|FOXK1,0.13468960173527986,FOXK1
M01466|Obox3,0.13500537589565612,Obox3
MC00341|Olig2,0.13539080031331424,Olig2
MS00807|MSC,0.1362179274696268,MSC
MS00011|BCL6B,0.14591495945403338,BCL6B
MS00095|TGIF2LX,0.14907161044426837,TGIF2LX
UP00181|BARX1,0.15056174891134264,BARX1
M01453|ALX1,0.15061375254945947,ALX1
MS00463|GSC2,0.1508866757277331,GSC2
MC00132|TP73,0.15326686017954602,TP73
UP00186|MEIS1,0.1539562440073889,MEIS1
UP00138|Bsx,0.1550497121269287,Bsx
MS00624|VENTX,0.1606787588558176,VENTX
M01067|GFI1,0.16107926742515022,GFI1
MC00414|Atoh1,0.17325141621634232,Atoh1
MS00726|PRDM4,0.1757665996115591,PRDM4
MS00191|TBR1,0.17621719322670618,TBR1
MS00609|RHOXF1,0.17640031459384728,RHOXF1
MC00126|TCF12,0.17666804774917624,TCF12
MS00582|OTX1,0.1796026321407197,OTX1
MS00419|BSX,0.1804919379256352,BSX
MS00192|TBX15,0.1829557023384866,TBX15
MC00130|Pparg,0.18443469494603684,Pparg
UP00155|Hmx2,0.18531778450201575,Hmx2
MC00359|TP53,0.18828364126536343,TP53
MS00808|TFEC,0.18846733080136935,TFEC
MS00299|CEBPD,0.18920984349501177,CEBPD
UP00051|Sox8,0.19542881902731346,Sox8
MS00744|SOX10,0.1965731508788641,SOX10
MS00616|UNCX,0.2033309876975335,UNCX
MA0073|RREB1,0.206559600240589,RREB1
MC00186|Nr1d2,0.2066246212686662,Nr1d2
UP00044|Mafk,0.207691192243266,Mafk
UP00085|Sfpi1,0.20988853628719245,Sfpi1
MS00454|EVX1,0.2165420617414184,EVX1
MS00045|GATA5,0.21671917367822477,GATA5
UP00078|ARID3A,0.21680464040144193,ARID3A
MC00344|Hnf4a,0.21711810251507377,Hnf4a
MC00141|Stat1,0.21782092831564326,Stat1
UP00140|Hoxd1,0.2233444659622618,Hoxd1
MS00586|Otx1,0.2255516916141308,Otx1
MS00265|MLXIPL,0.22573486841264687,MLXIPL
