Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6214	44582	AR	VCaP	Epithelium	Prostate	0.9999965585623823	0.021409305682544674	0.599307170145426	0.9999896740658177
6215	6589	ESR1	T47D	Epithelium	Mammary Gland	0.9999965982339768	0.9686768000921375	0.9722093831653301	0.9999897970521536
6216	36092	ESR1	None	Epithelium	Mammary Gland	0.9999966907103766	0.26590092317288033	0.395004122603034	0.9999900720024089
6217	54087	ESR1	MCF-7	Epithelium	Breast	0.9999968898822623	0.9139559066928505	0.970633420177825	0.999990670960943
6218	49726	ASCL1	NCI-H2107	Epithelium	Lung	0.9999974938212757	1.3763546479022521e-05	0.0015115103550804134	0.999990788972527
6219	2305	ESR1	MCF-7	Epithelium	Breast	0.9999969546825127	0.004467744897248152	0.18729427360451267	0.9999908576852526
6220	68074	AR	LNCaP	Epithelium	Prostate	0.9999969983888806	0.0024682380842538263	0.42198229973903634	0.9999909841815096
6221	68055	ESR1	LTED	None	Breast	0.9999970575394442	0.021825923926407174	0.2004152008262271	0.9999911713179401
6222	6590	ESR1	T47D	Epithelium	Mammary Gland	0.9999970774074979	0.8731140096962016	0.9376766650441055	0.9999912328194822
6223	50273	AR	LNCaP	Epithelium	Prostate	0.9999970946988153	0.06831233241229917	0.2759022378748367	0.999991283663895
6224	43856	AR	VCaP	Epithelium	Prostate	0.9999970992667445	0.05186168447646802	0.829549538626219	0.9999912974514646
6225	38759	ETV5	LoVo	None	Colon	0.9999972141210037	0.01733597993272462	0.037555359486297256	0.9999916404037208
6226	45830	JUN	HepG2	Epithelium	Liver	0.9999979493745967	7.817366943855579e-06	0.012548412057740287	0.9999916586994936
6227	71213	FOXA1	LNCaP	Epithelium	Prostate	0.9999972633333983	0.048017205897979164	0.33339217329262066	0.999991789495069
6228	58056	NR3C1	U2OS	None	Bone	0.9999973500427844	0.9961705822405621	0.9966950131385238	0.9999920619857121
6229	56114	AR	None	None	Prostate	0.9999973714684167	0.0059315923847420415	0.03692101099595853	0.9999921103502596
6230	74119	OLFM2	MCF7-LTED	None	None	0.9999974208242808	0.9929756115316851	0.9896111093523018	0.9999922672307355
6231	72942	TBX5	None	Cardiomyocyte	None	0.9999975160759828	0.016529608714646104	0.031083454212465653	0.999992546515188
6232	73996	ESR1	None	None	endometrioid adenocarcinoma	0.9999976331178925	0.12404326277171968	0.30698373230939763	0.9999928991884972
6233	68401	AR	C4-2B	Epithelium	Prostate	0.9999977495830127	0.41778315873868777	0.583033740144221	0.9999932487491701
6234	48640	IRF4	OCI-Ly3	B Lymphocyte	Bone Marrow	0.9999978206410686	0.25357051679607634	0.38854519035808627	0.9999934618630876
6235	64217	HES2	A549	Epithelium	Lung	0.9999978694495781	0.7852991159107963	0.8968728486771899	0.9999936085296279
6236	4492	PPARG	SGBS	Adipocyte	Adipose	0.999997896911992	0.00409508376723476	0.037710904447077635	0.9999936871436881
6237	54083	ESR1	MCF-7	Epithelium	Breast	0.9999979259763802	0.6429218233735196	0.6044320250546393	0.9999937779624746
6238	33507	ESR1	None	Epithelium	Mammary Gland	0.9999979369528543	0.02991597842801383	0.15983359629912536	0.9999938103599129
6239	33519	ESR1	None	Epithelium	Mammary Gland	0.9999979407036725	0.2953019177131585	0.1926767936582537	0.9999938220233078
6240	63147	FOXA1	HepG2	Epithelium	Liver	0.9999979567202306	0.001049289900465879	0.008834831895404422	0.9999938567776416
6241	41493	BMI1	DU145	Epithelium	Prostate	0.9477356633927482	0.9999967541969073	0.9999946480342679	0.9999939388595585
6242	69249	SIX2	None	Cortex	Kidney	0.9999979934700356	0.004884318867387018	0.28393055107337417	0.9999939779057384
6243	36811	GREB1	MCF-7	Epithelium	Breast	0.9999980262274394	0.6017567293428496	0.968305874185469	0.9999940790619835
