,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45849|MAX,1.0486891887660085e-14,Homo sapiens,MAX,tf,None,Endothelial Cell,Umbilical Vein,1,MAX
68966|PR,1.0680026251651244e-14,Homo sapiens,PR,predicted transcription factor,T47D,None,Breast,1,PR
76520|BPTF,1.1914504131706257e-14,Homo sapiens,BPTF,tf,None,Erythroid Cell,None,1,BPTF
64560|SP2,1.4819330807181992e-14,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
74838|JMJD6,1.5648174920740764e-14,Homo sapiens,JMJD6,cr,None,3565 cells,None,1,JMJD6
36356|POLR2B,1.8307273304887383e-14,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
69872|AFF4,1.8417965953288045e-14,Homo sapiens,AFF4,tf,None,Th1,None,1,AFF4
69874|RELA,1.87540079710282e-14,Homo sapiens,RELA,tf,None,Th1,None,1,RELA
38585|TAF3,2.1538613188821752e-14,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
58809|MAF,2.1668490838607684e-14,Homo sapiens,MAF,tf,None,Th2,None,1,MAF
8795|RBBP5,2.3711615827959815e-14,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
45701|CHD2,3.14191653878247e-14,Homo sapiens,CHD2,cr,H1,Embryonic Stem Cell,Embryo,1,CHD2
74907|POLR3D,3.3552040347093445e-14,Homo sapiens,POLR3D,tf,THP-1,Macrophage,None,1,POLR3D
45769|NFYA,3.871183525422017e-14,Homo sapiens,NFYA,tf,HeLa-S3,Epithelium,Cervix,1,NFYA
45390|KDM5B,3.9881129252803296e-14,Homo sapiens,KDM5B,cr,K562,Erythroblast,Bone Marrow,1,KDM5B
36841|TCF7L2,4.9096434246880544e-14,Homo sapiens,TCF7L2,tf,MDA-MB-453,Epithelium,Mammary Gland,1,TCF7L2
