,0,TF
MS00288|TFE3,4.8201368647520816e-08,TFE3
MC00518|Tfcp2,8.732188716933398e-08,Tfcp2
MC00183|Snai1,9.055967329449388e-08,Snai1
MS00274|NHLH1,9.286464804660812e-08,NHLH1
MS00256|HES7,9.579615835591332e-08,HES7
UP00040|Irf5,1.0492367580775404e-07,Irf5
MS00061|HSFY2,1.1454434568839482e-07,HSFY2
MC00392|SMAD4,1.2098374897427165e-07,SMAD4
M01656|Trp63,1.338248673648049e-07,Trp63
MC00223|SMAD2/3,1.762408036582425e-07,SMAD2/3
M00649|MAZ,1.805101514124302e-07,MAZ
M01334|Nkx1-1,1.8777197053431084e-07,Nkx1-1
MS00822|NFIX,2.0066042771843197e-07,NFIX
MS00157|Klf12,2.1010899585636423e-07,Klf12
UP00112|Gsc,2.1355872373639182e-07,Gsc
MC00461|Max,2.642408649322305e-07,Max
MC00335|ESR1,3.1307666178691357e-07,ESR1
MS00533|LBX2,4.0340187350313883e-07,LBX2
M01207|ETS2,4.850536258485036e-07,ETS2
MS00383|FOXO4,5.087969199205761e-07,FOXO4
MC00316|HIF1A,5.187905304363906e-07,HIF1A
MS00392|Foxg1,5.748439868422784e-07,Foxg1
M00179|ATF2,6.081613031386761e-07,ATF2
MS00047|GCM1,6.211348955207333e-07,GCM1
UP00095|Zfp691,6.622941369703066e-07,Zfp691
MC00377|Trp53,6.798316625948473e-07,Trp53
MS00128|PAX9,7.174984345242329e-07,PAX9
MC00374|TFAP2C,7.801687651240459e-07,TFAP2C
MS00160|PROX1,7.880427888171834e-07,PROX1
M00085|ZBTB6,8.163688000561577e-07,ZBTB6
MC00475|Nfic,8.211812305431813e-07,Nfic
MC00394|MYC,8.659977598179546e-07,MYC
MC00439|TP63,9.235441936200564e-07,TP63
M00999|AIRE,1.0955825616140435e-06,AIRE
MS00846|ERF,1.161563292841844e-06,ERF
MS00726|PRDM4,1.32030543437358e-06,PRDM4
MC00193|RELA,1.5624301943463233e-06,RELA
MC00109|Klf4,1.5911944043364376e-06,Klf4
MS00016|ETV2,1.99400984987979e-06,ETV2
MS00729|ZNF282,2.8291550254549856e-06,ZNF282
UP00035|HIC1,3.744842214712651e-06,HIC1
M00514|ATF4,5.675430655851664e-06,ATF4
M00518|PPARG::RXRA,5.7508403332147505e-06,PPARG::RXRA
MC00281|PBX3,8.22201740141528e-06,PBX3
MC00142|PPARG,8.555260416939745e-06,PPARG
MS00111|NFKB2,9.494316316708618e-06,NFKB2
MC00373|Mxi1,1.0109891706599198e-05,Mxi1
MC00337|Ikzf3,1.0344900802956329e-05,Ikzf3
MC00372|Yy1,1.1447052114430598e-05,Yy1
UP00052|Osr2,1.4607442114402406e-05,Osr2
UP00021|Zfp281,1.4956315774692507e-05,Zfp281
MS00527|IRX5,1.5591211114111297e-05,IRX5
MC00334|SIX5,1.562212824774502e-05,SIX5
MS00110|NFKB1,1.5754789016382488e-05,NFKB1
MS00177|RUNX3,1.581581600136161e-05,RUNX3
UP00056|RFX4,1.702708321680039e-05,RFX4
MS00114|NFIB,1.706756927901468e-05,NFIB
MS00162|RFX2,2.9353771053834664e-05,RFX2
